symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
APP	0.828933742802346	0.888682858890853	No data	0.8681618438110429	0.607930797611621	0.9882646210283564	No data	0.4238611729714425	amyloid beta precursor protein
PSEN1	0.7241430601388238	0.8723760335614361	No data	0.6432229884302734	0.4559480982087158	0.9175564903792635	0.04988096311450684	0.4548538227730149	presenilin 1
GRIN1	0.6972811478504712	No data	No data	0.9858026565035486	0.5815977542462042	0.7097600892857518	No data	No data	glutamate ionotropic receptor NMDA type subunit 1
CDK5	0.6794149794175904	No data	No data	No data	0.8774374222409351	0.88501612071824	0.08977986793197987	No data	cyclin dependent kinase 5
PSEN2	0.6788101271141604	0.8255852748353751	No data	0.6432229884302734	No data	0.6590885835331618	No data	No data	presenilin 2
SORL1	0.6581321355578018	0.7221262004163329	No data	No data	No data	0.9440668709205172	0.04768036208430157	0.5233068305840834	sortilin related receptor 1
APOE	0.6524753277123043	0.7692163197425237	No data	No data	0.26700204627896834	0.9972829712857341	0.017251532679053088	0.2784930983858836	apolipoprotein E
ACHE	0.6288897414086034	No data	No data	0.9965742812200109	No data	0.7580317969682591	No data	No data	acetylcholinesterase (Cartwright blood group)
GRIN2B	0.6222620338151034	No data	No data	0.9858026565035486	No data	0.7408477127889309	0.03279389384323798	No data	glutamate ionotropic receptor NMDA type subunit 2B
HMGCR	0.6214755591799784	No data	No data	0.8045429092944967	0.8055170742702947	0.6979609664010351	0.009364719397570819	No data	3-hydroxy-3-methylglutaryl-CoA reductase
BCHE	0.6203811208304159	No data	No data	0.9743378222804558	No data	0.9228402804560334	No data	No data	butyrylcholinesterase
GRIN3B	0.6095063376577241	0.05283580126951937	No data	0.9858026565035486	No data	0.1611016613670796	No data	No data	glutamate ionotropic receptor NMDA type subunit 3B
GRIN2A	0.6077496474460315	No data	No data	0.9861538397584776	No data	0.26235047706026293	0.01937961546337943	No data	glutamate ionotropic receptor NMDA type subunit 2A
CDK5R1	0.6048556104509107	No data	No data	No data	0.9549947196932794	0.7989366187170311	No data	No data	cyclin dependent kinase 5 regulatory subunit 1
GRIN3A	0.6034986330493585	No data	No data	0.9858026565035486	No data	0.13813538679064055	No data	No data	glutamate ionotropic receptor NMDA type subunit 3A
GRIN2D	0.6019792492023213	No data	No data	0.9858026565035486	No data	0.08814996565368506	No data	No data	glutamate ionotropic receptor NMDA type subunit 2D
GRIN2C	0.6009096162243677	No data	No data	0.9858026565035486	No data	0.037742370351721476	0.03424116316113702	No data	glutamate ionotropic receptor NMDA type subunit 2C
CDC25B	0.5984990742357819	No data	No data	No data	0.7861293910671364	0.08207065767756885	No data	No data	cell division cycle 25B
ABCA7	0.584294714912467	0.6977896862010903	No data	No data	No data	0.9080914891139721	No data	No data	ATP binding cassette subfamily A member 7
FOXO3	0.5614448716500374	No data	No data	No data	0.9066612367713315	0.3374588968481956	No data	No data	forkhead box O3
PTGS2	0.5562179928003687	No data	No data	0.8688789335744607	No data	0.921148584493981	No data	No data	prostaglandin-endoperoxide synthase 2
GSK3B	0.5518421522090261	No data	No data	0.1587374860430344	0.8434018784372057	0.9297617418916383	0.01687786532291258	No data	glycogen synthase kinase 3 beta
SLC6A3	0.5488084241528156	No data	No data	0.7757534716856291	0.47462246124321905	0.37525941040639893	No data	No data	solute carrier family 6 member 3
CDKN1A	0.5459181805699553	No data	No data	No data	0.865457038266544	0.650738310205518	No data	No data	cyclin dependent kinase inhibitor 1A
PTGS1	0.5413516415288446	No data	No data	0.8571345303614665	No data	0.6669562688839997	No data	No data	prostaglandin-endoperoxide synthase 1
PLK1	0.541295455215345	No data	No data	No data	0.865457038266544	0.49865766639633086	No data	No data	polo like kinase 1
PSAP	0.5403154814419595	No data	No data	No data	0.865457038266544	0.46641801750091594	No data	No data	prosaposin
SMPD1	0.5376109011873955	No data	No data	No data	0.8476183448053145	0.7342153036937061	No data	No data	sphingomyelin phosphodiesterase 1
SCARB1	0.5343748112425776	0.5133836835755291	No data	No data	0.7487167545710128	0.08744905315018023	No data	No data	scavenger receptor class B member 1
CDK4	0.5342884207892716	No data	No data	No data	0.865457038266544	0.26813687509568196	No data	No data	cyclin dependent kinase 4
AXL	0.5311771185467964	No data	No data	No data	0.865457038266544	0.16577975633484363	No data	No data	AXL receptor tyrosine kinase
AURKB	0.5282168742545728	No data	No data	No data	0.865457038266544	0.06839221473130737	No data	No data	aurora kinase B
NDUFA8	0.5280867808184603	No data	No data	No data	0.865457038266544	0.012158615952232422	0.058708508939063986	No data	NADH:ubiquinone oxidoreductase subunit A8
NDUFS5	0.5278346062347654	No data	No data	No data	0.8648140049855001	0.04255515583281348	0.04976344044409118	No data	NADH:ubiquinone oxidoreductase subunit S5
NDUFV2	0.5274073513557108	No data	No data	No data	0.8628203253537947	0.09449439900542635	No data	No data	NADH:ubiquinone oxidoreductase core subunit V2
LSM6	0.5268771472813407	No data	No data	No data	0.865457038266544	0.024317231904464845	No data	No data	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated
NDUFS2	0.5263795968486659	0.11287313240923695	No data	No data	0.8367191092120806	0.04126836897786887	No data	No data	NADH:ubiquinone oxidoreductase core subunit S2
RIOK2	0.5244154453403582	No data	No data	No data	0.8626235870935149	No data	No data	No data	RIO kinase 2
CDKN1C	0.5232565700225182	No data	No data	No data	0.860109394395054	0.012158615952232422	No data	No data	cyclin dependent kinase inhibitor 1C
NDUFS1	0.5229657543828149	No data	No data	No data	0.8569595677406294	0.05150524813098457	0.03168564303187851	No data	NADH:ubiquinone oxidoreductase core subunit S1
DDX39B	0.5221755934574827	No data	No data	No data	0.8274613634158176	0.616036541579776	0.030420464862567387	No data	DExD-box helicase 39B
BIN1	0.5220243193699742	0.8105967595217561	No data	No data	No data	0.9618721383217755	No data	No data	bridging integrator 1
ATP6V1B2	0.5205627276842205	No data	No data	No data	0.8511121299647298	0.021277577916406734	0.09402388136863021	No data	ATPase H+ transporting V1 subunit B2
CDKN2A	0.5177573364113485	No data	No data	No data	0.8172794927063161	0.6878402153968134	No data	No data	cyclin dependent kinase inhibitor 2A
ATP6V1A	0.5175343522399055	No data	No data	No data	0.8193144812519462	0.6294414156671122	0.023317173481998715	No data	ATPase H+ transporting V1 subunit A
CDK1	0.5149308898665266	No data	No data	No data	0.841870849538829	0.10302727983897801	No data	No data	cyclin dependent kinase 1
APH1B	0.5111371842584337	0.671608760001574	No data	0.6432229884302734	No data	0.37653069438705117	No data	No data	aph-1 homolog B, gamma-secretase subunit
AURKA	0.5068154667316028	0.054695815557680286	No data	No data	0.819999004813659	No data	No data	No data	aurora kinase A
NR1H2	0.5046650861740148	No data	No data	No data	0.8256025903265142	0.09066311288796634	No data	No data	nuclear receptor subfamily 1 group H member 2
AKAP11	0.5030645579618515	No data	No data	No data	0.8268950677973637	0.012158615952232422	No data	No data	A-kinase anchoring protein 11
MASTL	0.5030392466541774	No data	No data	No data	0.8274613634158176	No data	No data	No data	microtubule associated serine/threonine kinase like
MTMR3	0.5030392466541774	No data	No data	No data	0.8274613634158176	No data	No data	No data	myotubularin related protein 3
TARS2	0.5030392466541774	No data	No data	No data	0.8274613634158176	No data	No data	No data	threonyl-tRNA synthetase 2, mitochondrial
PIKFYVE	0.5029885875712482	No data	No data	No data	0.8169432866598113	0.1964393276749151	0.027575101239446696	No data	phosphoinositide kinase, FYVE-type zinc finger containing
ATP6V1C1	0.5028903323791624	No data	No data	No data	0.8248902578108095	0.012158615952232422	0.04111922929052129	No data	ATPase H+ transporting V1 subunit C1
CD2AP	0.5022053779152579	0.7864044386348389	No data	No data	No data	0.7937054804739153	No data	No data	CD2 associated protein
UQCRC1	0.5019972466516699	No data	No data	No data	0.8193144812519462	0.10949171404317302	0.04312285109460208	No data	ubiquinol-cytochrome c reductase core protein 1
NDUFA9	0.5016773792975052	No data	No data	No data	0.8234818374650712	0.034787151196664985	No data	No data	NADH:ubiquinone oxidoreductase subunit A9
CSNK1A1	0.5014708425530332	No data	No data	No data	0.8162783862259035	0.14782080309466428	0.05454141221640363	No data	casein kinase 1 alpha 1
CDK12	0.5012604633931973	No data	No data	No data	0.8245354000200357	No data	No data	No data	cyclin dependent kinase 12
PI4KB	0.499342162977125	No data	No data	No data	0.8213799414980975	No data	No data	No data	phosphatidylinositol 4-kinase beta
NDUFB7	0.4980803478528046	No data	No data	No data	0.8133006744240491	0.030396539880581056	0.10656396688129041	No data	NADH:ubiquinone oxidoreductase subunit B7
MTMR6	0.4976720718834108	No data	No data	No data	0.8186327684641345	No data	No data	No data	myotubularin related protein 6
CDKN2B	0.49748332707526977	No data	No data	No data	0.8142840051624642	0.08076584848514026	No data	No data	cyclin dependent kinase inhibitor 2B
NDUFAB1	0.49739215742061	No data	No data	No data	0.8136276097869971	0.04667219828997217	0.07015121357208141	No data	NADH:ubiquinone oxidoreductase subunit AB1
CR1	0.4972873540813848	0.7795151784194692	No data	No data	No data	0.7696951694629717	No data	No data	complement C3b/C4b receptor 1 (Knops blood group)
CD33	0.4968025208192981	0.6562314078727631	No data	No data	0.5688988374835828	0.8435837586473871	No data	No data	CD33 molecule
CAMLG	0.49420155075608413	No data	No data	No data	0.812924024737116	No data	No data	No data	calcium modulating ligand
KAT8	0.49412620245069294	0.19167415787273598	No data	No data	0.7599134970145264	0.22356207060604497	No data	No data	lysine acetyltransferase 8
TP53	0.49037075403760955	No data	No data	No data	0.7599134970145264	0.9341831600995195	No data	No data	tumor protein p53
SCN8A	0.4898150603444484	No data	No data	0.7734230702947845	No data	0.5077774727088351	No data	0.31034867218073253	sodium voltage-gated channel alpha subunit 8
KIF1A	0.4894133737249368	No data	No data	No data	0.793023723390932	0.21429560615809645	0.05892000314290202	No data	kinesin family member 1A
MTOR	0.4888336473568638	No data	No data	No data	0.7599134970145264	0.8836146846485451	No data	No data	mechanistic target of rapamycin kinase
OGG1	0.4859035968777123	No data	No data	No data	0.7599134970145264	0.7872204736408844	No data	No data	8-oxoguanine DNA glycosylase
PIK3CB	0.4798737213155578	No data	No data	No data	0.7589592933834	0.607930797611621	No data	No data	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta
GABRP	0.4792728924046622	No data	No data	0.13678442946261474	0.754171407962707	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit pi
XPO1	0.4768221757124814	No data	No data	No data	0.7599134970145264	0.48845550891433726	No data	No data	exportin 1
SCN1A	0.4754577135859698	No data	No data	0.7734230702947845	No data	0.16815845748251115	0.011737921547836644	No data	sodium voltage-gated channel alpha subunit 1
SCD	0.4743817193053509	No data	No data	No data	0.7599134970145264	0.38855483398671853	0.04413007206341658	No data	stearoyl-CoA desaturase
GABBR1	0.47417221699590617	No data	No data	0.7734230702947845	No data	0.10841432557407242	0.05100772579081623	No data	gamma-aminobutyric acid type B receptor subunit 1
GABBR2	0.47301118591704966	No data	No data	0.7734230702947845	No data	0.081817353178564	0.024909555299453295	No data	gamma-aminobutyric acid type B receptor subunit 2
PTPN1	0.4726195465080716	No data	No data	No data	0.7599134970145264	0.3501953904626762	No data	No data	protein tyrosine phosphatase non-receptor type 1
SCN5A	0.4720356032889607	No data	No data	0.7734230702947845	No data	0.06079307976116211	No data	No data	sodium voltage-gated channel alpha subunit 5
AP2S1	0.47194068074502665	No data	No data	No data	0.7573414188411011	0.3575459517423834	0.04895403649263028	No data	adaptor related protein complex 2 subunit sigma 1
SCN2A	0.47182684766650146	No data	No data	0.7734230702947845	No data	0.030396539880581056	0.0404157635312317	No data	sodium voltage-gated channel alpha subunit 2
SCN3A	0.47146629920678856	No data	No data	0.7734230702947845	No data	0.03343619386863916	0.019412203881495334	No data	sodium voltage-gated channel alpha subunit 3
SCN11A	0.47064967883389314	No data	No data	0.7734230702947845	No data	0.015198269940290528	No data	No data	sodium voltage-gated channel alpha subunit 11
SCN7A	0.4705572838702219	No data	No data	0.7734230702947845	No data	0.012158615952232422	No data	No data	sodium voltage-gated channel alpha subunit 7
SCN10A	0.4701877040155372	No data	No data	0.7734230702947845	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 10
SCN9A	0.4701877040155372	No data	No data	0.7734230702947845	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 9
