symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
SCN2A	0.7182661423122102	0.7433416677831013	No data	0.9956578469817372	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 2
DRD2	0.7149485403693838	0.6899954633266432	No data	0.9992257628021997	No data	0.19401444060788173	No data	No data	dopamine receptor D2
GRIN2A	0.6831463808268164	0.6852505835207968	No data	0.9494502582218982	No data	0.13324585204641812	No data	No data	glutamate ionotropic receptor NMDA type subunit 2A
HTR2A	0.6358586392074432	No data	No data	0.9992122244059817	No data	0.21079104124759876	No data	0.840854180209001	5-hydroxytryptamine receptor 2A
DRD3	0.632400139690474	No data	No data	0.9962617716819936	No data	0.15132731368650382	No data	0.812512176232882	dopamine receptor D3
SCN3A	0.6316940184127042	0.1737233872839254	No data	0.9956578469817372	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 3
HTR1A	0.6291073896198652	No data	No data	0.9906279541097727	No data	0.12311034587041848	No data	0.8294029255137233	5-hydroxytryptamine receptor 1A
GSK3B	0.6260208450498376	No data	No data	0.9940502396605445	No data	0.7141302948381758	No data	No data	glycogen synthase kinase 3 beta
HTR2C	0.6118187299475175	No data	No data	0.9990747690137151	No data	0.14641168912145877	No data	No data	5-hydroxytryptamine receptor 2C
DRD4	0.6093426722292947	No data	No data	0.9960280973378811	No data	0.12588658400346076	No data	No data	dopamine receptor D4
SCN8A	0.6077857330829985	No data	No data	0.9956578469817372	No data	0.08207065767756885	No data	No data	sodium voltage-gated channel alpha subunit 8
IMPA1	0.6074982397294342	No data	No data	0.9940502396605445	No data	0.10476470937439329	No data	No data	inositol monophosphatase 1
SCN9A	0.6071404120086077	No data	No data	0.9956602217114153	No data	0.06079307976116211	No data	No data	sodium voltage-gated channel alpha subunit 9
SCN11A	0.6071389683373003	No data	No data	0.9956578469817372	No data	0.06079307976116211	No data	No data	sodium voltage-gated channel alpha subunit 11
