symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
LRRK2	0.8783589580005684	0.9394705629760747	No data	No data	0.555469799179861	0.8267755954691484	No data	No data	leucine rich repeat kinase 2
SNCA	0.8564230693125408	0.9291306216532248	No data	0.16727781092716906	No data	0.5995083301220278	No data	No data	synuclein alpha
PRKN	0.8561045168305235	0.9304367805190451	No data	No data	No data	0.5105092832919842	No data	No data	parkin RBR E3 ubiquitin protein ligase
ATP13A2	0.8507953238525828	0.9252398887977515	No data	No data	No data	0.23000569269813875	No data	No data	ATPase cation transporting 13A2
PINK1	0.8458421749318387	0.9311311579047442	0	No data	No data	0.653534399660591	No data	No data	PTEN induced kinase 1
PARK7	0.802879684993884	0.8833374531421229	No data	No data	No data	0.3832702164894283	No data	0.5092899495644935	Parkinsonism associated deglycase
FBXO7	0.7758751635655563	0.8709842942687079	No data	No data	No data	0.265218977275786	No data	No data	F-box protein 7
DNAJC6	0.7719181055867412	0.8670730850035366	No data	No data	No data	0.11613533385107762	0.01069961510590474	No data	DnaJ heat shock protein family (Hsp40) member C6
GIGYF2	0.7511367213185328	0.8657256421239953	No data	No data	No data	0.18811773902682255	No data	0.257641072027805	GRB10 interacting GYF protein 2
PLA2G6	0.7496533701441744	0.8630210370096547	No data	No data	No data	0.2171983305490881	No data	0.4137344475014607	phospholipase A2 group VI
VPS35	0.7455633572677663	0.8370587211903063	No data	No data	No data	0.22799966051006576	No data	No data	VPS35 retromer complex component
GBA1	0.7099791600086857	0.8158169895414616	No data	No data	No data	0.8069595437554026	No data	No data	glucosylceramidase beta 1
GRIN1	0.6938624879070564	No data	No data	0.9945031404462734	0.5815977542462042	0.06518369107724604	No data	No data	glutamate ionotropic receptor NMDA type subunit 1
VPS13C	0.6922487563181074	0.7777652810681341	No data	No data	No data	0.06313182124571538	No data	No data	vacuolar protein sorting 13 homolog C
CHRM1	0.6658439327643688	No data	No data	0.9943084706218012	0.39300929809772994	0.12158615952232422	No data	No data	cholinergic receptor muscarinic 1
MAPT	0.6602935299193846	0.7951830767899675	No data	No data	No data	0.30401579161966147	No data	No data	microtubule associated protein tau
PSAP	0.6380189537754257	0.6839221473130737	No data	No data	0.865457038266544	0.24156805721761776	No data	0.4516000376581104	prosaposin
ADRA2B	0.6354927226536258	No data	No data	0.9125434344060075	0.5284734430464738	0.030396539880581056	No data	No data	adrenoceptor alpha 2B
DRD2	0.6291173521310114	No data	No data	0.9962967781381211	No data	0.27509297404372673	No data	0.6488063616900807	dopamine receptor D2
EIF4G1	0.6231046337553457	0.7499249512200603	No data	No data	No data	0.3382899723920749	No data	No data	eukaryotic translation initiation factor 4 gamma 1
DDC	0.6212300793167387	No data	No data	0.9963625842338439	No data	0.19041551827665817	0.026215468628470927	0.419091499916081	dopa decarboxylase
GRIN2A	0.6145223371409945	No data	No data	0.9945031404462734	No data	0.1574974403075985	No data	0.25678996891114875	glutamate ionotropic receptor NMDA type subunit 2A
DRD3	0.611408431195462	No data	No data	0.9975930397083084	No data	0.16254806939210137	No data	No data	dopamine receptor D3
MAOB	0.609814070722908	No data	No data	0.988947606750706	No data	0.28300469029184544	No data	No data	monoamine oxidase B
COMT	0.6094875249112245	No data	No data	0.9822045232870229	No data	0.2820518688452147	No data	0.28141116621441936	catechol-O-methyltransferase
DRD4	0.6087282183477478	No data	No data	0.9960518457743305	No data	0.10519701571936155	No data	No data	dopamine receptor D4
GRIN2B	0.608578274779657	No data	No data	0.9945031404462734	No data	0.13123820660392066	No data	No data	glutamate ionotropic receptor NMDA type subunit 2B
GRIN2D	0.6077709249406719	No data	No data	0.9944936184665161	No data	0.10486806258800464	No data	No data	glutamate ionotropic receptor NMDA type subunit 2D
ACHE	0.6072900964525895	No data	No data	0.9629384468143432	No data	0.3684311704587249	No data	0.5564057817189783	acetylcholinesterase (Cartwright blood group)
GRIN2C	0.604952878548701	No data	No data	0.9944936184665161	No data	0.012158615952232422	No data	No data	glutamate ionotropic receptor NMDA type subunit 2C
GRIN3B	0.6045832986940163	No data	No data	0.9944936184665161	No data	No data	No data	No data	glutamate ionotropic receptor NMDA type subunit 3B
GRIN3A	0.6045832986940163	No data	No data	0.9944936184665161	No data	No data	No data	No data	glutamate ionotropic receptor NMDA type subunit 3A
SCN2A	0.5909568556304415	0.5218660515925413	No data	0.8416126414268881	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 2
DRD1	0.5908915851730138	No data	No data	0.8120534421297112	0.607930797611621	0.12246073231648176	No data	0.28821999114766955	dopamine receptor D1
BCHE	0.584834155170336	No data	No data	0.9467999147105544	No data	0.30415724546464956	No data	No data	butyrylcholinesterase
HTR2A	0.5777510990958841	No data	No data	0.9451179335475768	No data	0.10477508064308773	No data	No data	5-hydroxytryptamine receptor 2A
ADORA2A	0.5731599055747725	No data	No data	0.930308173432758	No data	0.24992698856618795	No data	No data	adenosine A2a receptor
CHCHD2	0.5715130848899619	0.7490382905239186	No data	No data	No data	0.17089941275362694	No data	No data	coiled-coil-helix-coiled-coil-helix domain containing 2
CHRM3	0.5671478963622137	No data	No data	0.9322886760422815	No data	No data	0.012530963492681294	No data	cholinergic receptor muscarinic 3
BRCA2	0.5665098575332522	0.9312577679939296	No data	No data	No data	0.012158615952232422	No data	No data	BRCA2 DNA repair associated
CHRM2	0.5651511848230546	No data	No data	0.9285669064556789	No data	0.021277577916406734	No data	No data	cholinergic receptor muscarinic 2
ADRB1	0.5648852324366372	No data	No data	0.9273695214775974	No data	0.03647584785669726	No data	No data	adrenoceptor beta 1
ADRB3	0.563054156126727	No data	No data	0.7810222052649298	0.5752326791479128	0.06079307976116211	No data	No data	adrenoceptor beta 3
DNAJC13	0.5619915530256844	0.6490592107053244	No data	No data	No data	0.05319085454503441	No data	No data	DnaJ heat shock protein family (Hsp40) member C13
SLC6A2	0.5602179878425132	No data	No data	0.9174612843131165	No data	0.08109533196680876	No data	No data	solute carrier family 6 member 2
GABRP	0.557551958848297	No data	No data	0.6518369107724603	0.754171407962707	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit pi
ADRA2C	0.5556872075704039	No data	No data	0.9125434344060075	No data	0.030396539880581056	No data	No data	adrenoceptor alpha 2C
ADRA2A	0.5547632579336922	No data	No data	0.9125434344060075	No data	No data	No data	No data	adrenoceptor alpha 2A
NDUFV2	0.5538046530405445	0.18237923928348632	No data	No data	0.8628203253537947	0.11481601373802956	No data	No data	NADH:ubiquinone oxidoreductase core subunit V2
HTR2C	0.5439864807815256	No data	No data	0.7734230702947845	0.48342701495223667	0.024148362238461615	No data	No data	5-hydroxytryptamine receptor 2C
TMEM175	0.5376133318793008	0.7045012717599617	No data	No data	No data	0.16679333671478438	No data	No data	transmembrane protein 175
SCN3A	0.5344572238020933	0.1490348690687604	No data	0.8416126414268881	No data	0.012158615952232422	No data	No data	sodium voltage-gated channel alpha subunit 3
SCN8A	0.5327245299034373	No data	No data	0.8416126414268881	No data	No data	No data	0.6935751767665671	sodium voltage-gated channel alpha subunit 8
AXL	0.5271543321723543	No data	No data	No data	0.865457038266544	0.03343619386863916	No data	No data	AXL receptor tyrosine kinase
CDKN1A	0.5269695422450119	No data	No data	No data	0.865457038266544	0.02735688589252295	No data	No data	cyclin dependent kinase inhibitor 1A
NDUFA8	0.526507567426656	No data	No data	No data	0.865457038266544	0.012158615952232422	No data	No data	NADH:ubiquinone oxidoreductase subunit A8
PLK1	0.526507567426656	No data	No data	No data	0.865457038266544	0.012158615952232422	No data	No data	polo like kinase 1
SCN1A	0.5261994276594688	No data	No data	0.8416126414268881	No data	No data	0.009415198192735836	0.474724689834953	sodium voltage-gated channel alpha subunit 1
CDK4	0.5261379875719714	No data	No data	No data	0.865457038266544	No data	No data	No data	cyclin dependent kinase 4
LSM6	0.5261379875719714	No data	No data	No data	0.865457038266544	No data	No data	No data	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated
AURKB	0.5261379875719714	No data	No data	No data	0.865457038266544	No data	No data	No data	aurora kinase B
NDUFS5	0.5261166476912201	No data	No data	No data	0.8648140049855001	0.012158615952232422	No data	No data	NADH:ubiquinone oxidoreductase subunit S5
RIOK2	0.5244154453403582	No data	No data	No data	0.8626235870935149	No data	No data	No data	RIO kinase 2
GSK3B	0.5243077058401632	No data	No data	0.06079307976116211	0.8434018784372057	0.17307969386365582	No data	No data	glycogen synthase kinase 3 beta
CDKN1C	0.5238109398045453	No data	No data	No data	0.860109394395054	0.030396539880581056	No data	No data	cyclin dependent kinase inhibitor 1C
NDUFS1	0.5227890474849937	No data	No data	No data	0.8569595677406294	0.04998542113695551	0.02202512946286224	No data	NADH:ubiquinone oxidoreductase core subunit S1
ATM	0.5207382943666825	0.7336033575548692	No data	No data	0.48933457333144165	0.02870784322054877	No data	No data	ATM serine/threonine kinase
SMPD1	0.5204280566935873	No data	No data	No data	0.8476183448053145	0.16892581478100088	No data	No data	sphingomyelin phosphodiesterase 1
CAMLG	0.5178967290896873	0.155907076441559	No data	No data	0.812924024737116	No data	No data	No data	calcium modulating ligand
ATP6V1B2	0.5174172760263839	No data	No data	No data	0.8511121299647298	No data	No data	No data	ATPase H+ transporting V1 subunit B2
HMGCR	0.5163679290125015	No data	No data	0.1587374860430344	0.8055170742702947	0.1883064611706082	No data	No data	3-hydroxy-3-methylglutaryl-CoA reductase
CDK1	0.5127231666828251	No data	No data	No data	0.841870849538829	0.030396539880581056	No data	No data	cyclin dependent kinase 1
SCN5A	0.5125661940193831	No data	No data	0.8416126414268881	No data	0.030396539880581056	No data	No data	sodium voltage-gated channel alpha subunit 5
SCN9A	0.5121966141646983	No data	No data	0.8416126414268881	No data	0.01823792392834863	No data	No data	sodium voltage-gated channel alpha subunit 9
BRCA1	0.512076646922116	0.840164712444449	No data	No data	No data	0.043249763485863096	No data	No data	BRCA1 DNA repair associated
SCN7A	0.512011824237356	No data	No data	0.8416126414268881	No data	0.012158615952232422	No data	No data	sodium voltage-gated channel alpha subunit 7
SCN10A	0.5116422443826714	No data	No data	0.8416126414268881	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 10
SCN11A	0.5116422443826714	No data	No data	0.8416126414268881	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 11
SCN4A	0.5116422443826714	No data	No data	0.8416126414268881	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 4
SLC6A3	0.5114289641970806	No data	No data	0.7162279913944019	0.47462246124321905	0.27082306195284056	0.028793179663368567	No data	solute carrier family 6 member 3
MTNR1B	0.5105232387115427	No data	No data	0.8350604983859629	No data	0.09422927362980127	No data	No data	melatonin receptor 1B
NDUFS2	0.5096836600405682	No data	No data	No data	0.8367191092120806	0.03343619386863916	No data	No data	NADH:ubiquinone oxidoreductase core subunit S2
ENSG00000288636	0.5088350211889626	0.8369949724344017	No data	No data	No data	No data	No data	No data	novel  protein
MTNR1A	0.5076589948377362	No data	No data	0.8350604983859629	No data	No data	No data	No data	melatonin receptor 1A
UQCRC1	0.5070667832457317	No data	No data	No data	0.8193144812519462	0.2954374806726475	No data	No data	ubiquinol-cytochrome c reductase core protein 1
CDC25B	0.5049953710005523	No data	No data	No data	0.8306790394310152	No data	No data	No data	cell division cycle 25B
AKAP11	0.5030534368197492	No data	No data	No data	0.8268950677973637	No data	0.011792747266323877	No data	A-kinase anchoring protein 11
DDX39B	0.5030392466541774	No data	No data	No data	0.8274613634158176	No data	No data	No data	DExD-box helicase 39B
MASTL	0.5030392466541774	No data	No data	No data	0.8274613634158176	No data	No data	No data	microtubule associated serine/threonine kinase like
MTMR3	0.5030392466541774	No data	No data	No data	0.8274613634158176	No data	No data	No data	myotubularin related protein 3
TARS2	0.5030392466541774	No data	No data	No data	0.8274613634158176	No data	No data	No data	threonyl-tRNA synthetase 2, mitochondrial
NR1H2	0.5024353792349902	No data	No data	No data	0.8256025903265142	0.01730914076533088	No data	No data	nuclear receptor subfamily 1 group H member 2
NDUFA9	0.5016773792975052	No data	No data	No data	0.8234818374650712	0.034787151196664985	No data	No data	NADH:ubiquinone oxidoreductase subunit A9
ATP6V1C1	0.5014761923729811	No data	No data	No data	0.8248902578108095	No data	No data	No data	ATPase H+ transporting V1 subunit C1
CDK12	0.5012604633931973	No data	No data	No data	0.8245354000200357	No data	No data	No data	cyclin dependent kinase 12
RIT2	0.5002616248066319	0.8198791747069424	No data	No data	No data	0.06026423366210373	No data	No data	Ras like without CAAX 2
PI4KB	0.499342162977125	No data	No data	No data	0.8213799414980975	No data	No data	No data	phosphatidylinositol 4-kinase beta
CDKN2A	0.4988974622339495	No data	No data	No data	0.8172794927063161	0.06737899673528801	No data	No data	cyclin dependent kinase inhibitor 2A
AURKA	0.4985026490371032	No data	No data	No data	0.819999004813659	No data	No data	No data	aurora kinase A
ATP6V1A	0.4980865060822472	No data	No data	No data	0.8193144812519462	No data	No data	No data	ATPase H+ transporting V1 subunit A
MTMR6	0.4976720718834108	No data	No data	No data	0.8186327684641345	No data	No data	No data	myotubularin related protein 6
CDKN2B	0.4968762240142257	No data	No data	No data	0.8142840051624642	0.06079307976116211	No data	No data	cyclin dependent kinase inhibitor 2B
PIKFYVE	0.4966449838625583	No data	No data	No data	0.8169432866598113	No data	No data	No data	phosphoinositide kinase, FYVE-type zinc finger containing
GABRB1	0.4962430837708087	No data	No data	0.6642994921234986	0.607930797611621	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit beta1
CSNK1A1	0.49624077041144043	No data	No data	No data	0.8162783862259035	No data	No data	No data	casein kinase 1 alpha 1
