Trait_name;Trait_ID;Genetic_association_genes;Drug_association_genes;Open_Targets_version_release
attention_deficit_hyperactivity_disorder;ADHD;1423;65;23.06
anterior_horn_disorder;AHD;199;189;23.12
amyotrophic_lateral_sclerosis;ALS;142;143;23.06
alzheimer_disease;ALZ;415;187;23.06
autism_spectrum_disorder;ASD;976;84;23.06
asthma;AST;1028;154;23.06
bipolar_disorder;BIP;845;189;23.06
bronchial_disease;BRD;1086;167;23.06
coronary_artery_disease;CAD;924;262;23.06
crohns_disease;CD;715;152;23.06
congenital_heart_disease;CHD;228;86;23.06
total_cholesterol_measurement;CHOL;1226;0;23.06
cirrhosis_of_liver;CIRR;230;148;23.06
chronic_kidney_disease;CKD;214;276;23.06
chronic_obstructive_pulmonary_disease;COPD;584;191;23.06
epilepsy;EPI;585;270;23.06
inflammatory_bowel_disease;IBD;1302;273;23.06
inherited_kidney_disorder;IKD;881;429;23.06
insomnia;INS;271;75;23.06
liver_disease;LD;1118;484;23.09
low_density_lipoprotein_cholesterol_measurement;LDL;1764;0;23.06
large_intestine_disorder;LID;1370;478;23.06
lung_disease;LUD;996;672;23.06
major_depressive_disorder;MDD;212;207;23.06
myocardial_infarction;MI;371;144;23.06
multiple_sclerosis;MS;497;294;23.06
non_alcoholic_fatty_liver_disease;NAFLD;161;164;23.06
parkinson_disease;PAR;425;159;23.06
schizophrenia;SCZ;1535;253;23.06
type_1_diabetes_mellitus;T1D;664;135;24.03
type_2_diabetes_mellitus;T2D;2216;179;24.03
ulcerative_colitis;UC;828;169;23.06
