Enrichment;Trait;Structures;Gene set;Comment
n.s. genetic;ADHD;18;Genetic;10X_Visium_mouse_brain_coronal
significant genetic;ADHD;1;Genetic;10X_Visium_mouse_brain_coronal
n.s. genetic top;ADHD;18;Genetic_top;10X_Visium_mouse_brain_coronal
significant genetic top;ADHD;1;Genetic_top;10X_Visium_mouse_brain_coronal
n.s. drugs;ADHD;19;Drugs;10X_Visium_mouse_brain_coronal
significant drugs;ADHD;0;Drugs;10X_Visium_mouse_brain_coronal
n.s. genetic;AHD;19;Genetic;10X_Visium_mouse_brain_coronal
significant genetic;AHD;0;Genetic;10X_Visium_mouse_brain_coronal
n.s. genetic top;AHD;19;Genetic_top;10X_Visium_mouse_brain_coronal
significant genetic top;AHD;0;Genetic_top;10X_Visium_mouse_brain_coronal
n.s. drugs;AHD;19;Drugs;10X_Visium_mouse_brain_coronal
significant drugs;AHD;0;Drugs;10X_Visium_mouse_brain_coronal
n.s. genetic;ALS;19;Genetic;10X_Visium_mouse_brain_coronal
significant genetic;ALS;0;Genetic;10X_Visium_mouse_brain_coronal
n.s. genetic top;ALS;19;Genetic_top;10X_Visium_mouse_brain_coronal
significant genetic top;ALS;0;Genetic_top;10X_Visium_mouse_brain_coronal
n.s. drugs;ALS;19;Drugs;10X_Visium_mouse_brain_coronal
significant drugs;ALS;0;Drugs;10X_Visium_mouse_brain_coronal
n.s. genetic;ALZ;19;Genetic;10X_Visium_mouse_brain_coronal
significant genetic;ALZ;0;Genetic;10X_Visium_mouse_brain_coronal
n.s. genetic top;ALZ;16;Genetic_top;10X_Visium_mouse_brain_coronal
significant genetic top;ALZ;3;Genetic_top;10X_Visium_mouse_brain_coronal
n.s. drugs;ALZ;19;Drugs;10X_Visium_mouse_brain_coronal
significant drugs;ALZ;0;Drugs;10X_Visium_mouse_brain_coronal
n.s. genetic;ASD;1;Genetic;10X_Visium_mouse_brain_coronal
significant genetic;ASD;18;Genetic;10X_Visium_mouse_brain_coronal
n.s. genetic top;ASD;13;Genetic_top;10X_Visium_mouse_brain_coronal
significant genetic top;ASD;6;Genetic_top;10X_Visium_mouse_brain_coronal
n.s. drugs;ASD;19;Drugs;10X_Visium_mouse_brain_coronal
significant drugs;ASD;0;Drugs;10X_Visium_mouse_brain_coronal
n.s. genetic;BIP;19;Genetic;10X_Visium_mouse_brain_coronal
significant genetic;BIP;0;Genetic;10X_Visium_mouse_brain_coronal
n.s. genetic top;BIP;17;Genetic_top;10X_Visium_mouse_brain_coronal
significant genetic top;BIP;2;Genetic_top;10X_Visium_mouse_brain_coronal
n.s. drugs;BIP;0;Drugs;10X_Visium_mouse_brain_coronal
significant drugs;BIP;19;Drugs;10X_Visium_mouse_brain_coronal
n.s. genetic;EPI;0;Genetic;10X_Visium_mouse_brain_coronal
significant genetic;EPI;19;Genetic;10X_Visium_mouse_brain_coronal
n.s. genetic top;EPI;0;Genetic_top;10X_Visium_mouse_brain_coronal
significant genetic top;EPI;19;Genetic_top;10X_Visium_mouse_brain_coronal
n.s. drugs;EPI;0;Drugs;10X_Visium_mouse_brain_coronal
significant drugs;EPI;19;Drugs;10X_Visium_mouse_brain_coronal
n.s. genetic;INS;19;Genetic;10X_Visium_mouse_brain_coronal
significant genetic;INS;0;Genetic;10X_Visium_mouse_brain_coronal
n.s. genetic top;INS;19;Genetic_top;10X_Visium_mouse_brain_coronal
significant genetic top;INS;0;Genetic_top;10X_Visium_mouse_brain_coronal
n.s. drugs;INS;19;Drugs;10X_Visium_mouse_brain_coronal
significant drugs;INS;0;Drugs;10X_Visium_mouse_brain_coronal
n.s. genetic;MDD;19;Genetic;10X_Visium_mouse_brain_coronal
significant genetic;MDD;0;Genetic;10X_Visium_mouse_brain_coronal
n.s. genetic top;MDD;19;Genetic_top;10X_Visium_mouse_brain_coronal
significant genetic top;MDD;0;Genetic_top;10X_Visium_mouse_brain_coronal
n.s. drugs;MDD;0;Drugs;10X_Visium_mouse_brain_coronal
significant drugs;MDD;19;Drugs;10X_Visium_mouse_brain_coronal
n.s. genetic;MS;19;Genetic;10X_Visium_mouse_brain_coronal
significant genetic;MS;0;Genetic;10X_Visium_mouse_brain_coronal
N/A;MS;19;Genetic_top;10X_Visium_mouse_brain_coronal
n.s. drugs;MS;0;Drugs;10X_Visium_mouse_brain_coronal
significant drugs;MS;19;Drugs;10X_Visium_mouse_brain_coronal
n.s. genetic;PAR;0;Genetic;10X_Visium_mouse_brain_coronal
significant genetic;PAR;19;Genetic;10X_Visium_mouse_brain_coronal
n.s. genetic top;PAR;0;Genetic_top;10X_Visium_mouse_brain_coronal
significant genetic top;PAR;19;Genetic_top;10X_Visium_mouse_brain_coronal
n.s. drugs;PAR;18;Drugs;10X_Visium_mouse_brain_coronal
significant drugs;PAR;1;Drugs;10X_Visium_mouse_brain_coronal
n.s. genetic;SCZ;12;Genetic;10X_Visium_mouse_brain_coronal
significant genetic;SCZ;7;Genetic;10X_Visium_mouse_brain_coronal
n.s. genetic top;SCZ;17;Genetic_top;10X_Visium_mouse_brain_coronal
significant genetic top;SCZ;2;Genetic_top;10X_Visium_mouse_brain_coronal
n.s. drugs;SCZ;0;Drugs;10X_Visium_mouse_brain_coronal
significant drugs;SCZ;19;Drugs;10X_Visium_mouse_brain_coronal
