Enrichment;Trait;Structures;Gene set;Comment
n.s. genetic all;AST;5;Genetic_all;HLA_Bronchi_A50
significant genetic all;AST;0;Genetic_all;HLA_Bronchi_A50
n.s. genetic top;AST;5;Genetic_top;HLA_Bronchi_A50
significant genetic top;AST;0;Genetic_top;HLA_Bronchi_A50
n.s. drugs all;AST;5;Drugs_all;HLA_Bronchi_A50
significant drugs all;AST;0;Drugs_all;HLA_Bronchi_A50
n.s. genetic all;BRD;5;Genetic_all;HLA_Bronchi_A50
significant genetic all;BRD;0;Genetic_all;HLA_Bronchi_A50
n.s. genetic top;BRD;5;Genetic_top;HLA_Bronchi_A50
significant genetic top;BRD;0;Genetic_top;HLA_Bronchi_A50
n.s. drugs all;BRD;5;Drugs_all;HLA_Bronchi_A50
significant drugs all;BRD;0;Drugs_all;HLA_Bronchi_A50
n.s. genetic all;COPD;5;Genetic_all;HLA_Bronchi_A50
significant genetic all;COPD;0;Genetic_all;HLA_Bronchi_A50
N/A;COPD;5;Genetic_top;HLA_Bronchi_A50
n.s. drugs all;COPD;0;Drugs_all;HLA_Bronchi_A50
significant drugs all;COPD;5;Drugs_all;HLA_Bronchi_A50
n.s. genetic all;LUD;4;Genetic_all;HLA_Bronchi_A50
significant genetic all;LUD;1;Genetic_all;HLA_Bronchi_A50
n.s. genetic top;LUD;4;Genetic_top;HLA_Bronchi_A50
significant genetic top;LUD;1;Genetic_top;HLA_Bronchi_A50
n.s. drugs all;LUD;0;Drugs_all;HLA_Bronchi_A50
significant drugs all;LUD;5;Drugs_all;HLA_Bronchi_A50
