Enrichment;Trait;Structures;Gene set;Comment
n.s. genetic all;CD;11;Genetic_all;adult_HFGA_A1
significant genetic all;CD;0;Genetic_all;adult_HFGA_A1
n.s. genetic top;CD;11;Genetic_top;adult_HFGA_A1
significant genetic top;CD;0;Genetic_top;adult_HFGA_A1
n.s. drugs all;CD;11;Drugs_all;adult_HFGA_A1
significant drugs all;CD;0;Drugs_all;adult_HFGA_A1
n.s. genetic all;IBD;11;Genetic_all;adult_HFGA_A1
significant genetic all;IBD;0;Genetic_all;adult_HFGA_A1
n.s. genetic top;IBD;11;Genetic_top;adult_HFGA_A1
significant genetic top;IBD;0;Genetic_top;adult_HFGA_A1
n.s. drugs all;IBD;0;Drugs_all;adult_HFGA_A1
significant drugs all;IBD;11;Drugs_all;adult_HFGA_A1
n.s. genetic all;LID;4;Genetic_all;adult_HFGA_A1
significant genetic all;LID;7;Genetic_all;adult_HFGA_A1
n.s. genetic top;LID;6;Genetic_top;adult_HFGA_A1
significant genetic top;LID;5;Genetic_top;adult_HFGA_A1
n.s. drugs all;LID;0;Drugs_all;adult_HFGA_A1
significant drugs all;LID;11;Drugs_all;adult_HFGA_A1
n.s. genetic all;UC;11;Genetic_all;adult_HFGA_A1
significant genetic all;UC;0;Genetic_all;adult_HFGA_A1
n.s. genetic top;UC;11;Genetic_top;adult_HFGA_A1
significant genetic top;UC;0;Genetic_top;adult_HFGA_A1
n.s. drugs all;UC;0;Drugs_all;adult_HFGA_A1
significant drugs all;UC;11;Drugs_all;adult_HFGA_A1
