Enrichment;Trait;Structures;Gene set;Comment
n.s. genetic all;CKD;2;Genetic_all;mouse_10X_coronal
significant genetic all;CKD;9;Genetic_all;mouse_10X_coronal
n.s. genetic top;CKD;1;Genetic_top;mouse_10X_coronal
significant genetic top;CKD;10;Genetic_top;mouse_10X_coronal
n.s. drugs all;CKD;0;Drugs_all;mouse_10X_coronal
significant drugs all;CKD;11;Drugs_all;mouse_10X_coronal
n.s. genetic all;IKD;2;Genetic_all;mouse_10X_coronal
significant genetic all;IKD;9;Genetic_all;mouse_10X_coronal
n.s. genetic top;IKD;7;Genetic_top;mouse_10X_coronal
significant genetic top;IKD;4;Genetic_top;mouse_10X_coronal
n.s. drugs all;IKD;0;Drugs_all;mouse_10X_coronal
significant drugs all;IKD;11;Drugs_all;mouse_10X_coronal
