Enrichment;Trait;Structures;Gene set;Comment
n.s. genetic all;CAD;6;Genetic_all;mouse_JBO002
significant genetic all;CAD;0;Genetic_all;mouse_JBO002
n.s. genetic top;CAD;2;Genetic_top;mouse_JBO002
significant genetic top;CAD;4;Genetic_top;mouse_JBO002
n.s. drugs all;CAD;0;Drugs_all;mouse_JBO002
significant drugs all;CAD;6;Drugs_all;mouse_JBO002
n.s. genetic all;LDL;0;Genetic_all;mouse_JBO002
significant genetic all;LDL;6;Genetic_all;mouse_JBO002
n.s. genetic top;LDL;0;Genetic_top;mouse_JBO002
significant genetic top;LDL;6;Genetic_top;mouse_JBO002
n.s. drugs all;LDL;0;Drugs_all;mouse_JBO002
n.s. genetic all;MI;6;Genetic_all;mouse_JBO002
significant genetic all;MI;0;Genetic_all;mouse_JBO002
n.s. genetic top;MI;2;Genetic_top;mouse_JBO002
significant genetic top;MI;4;Genetic_top;mouse_JBO002
n.s. drugs all;MI;2;Drugs_all;mouse_JBO002
significant drugs all;MI;4;Drugs_all;mouse_JBO002
n.s. genetic all;CHOL;0;Genetic_all;mouse_JBO002
significant genetic all;CHOL;6;Genetic_all;mouse_JBO002
n.s. genetic top;CHOL;0;Genetic_top;mouse_JBO002
significant genetic top;CHOL;6;Genetic_top;mouse_JBO002
n.s. drugs all;CHOL;0;Drugs_all;mouse_JBO002
n.s. genetic all;CIRR;6;Genetic_all;mouse_JBO002
significant genetic all;CIRR;0;Genetic_all;mouse_JBO002
N/A;CIRR;6;Genetic_top;mouse_JBO002
n.s. drugs all;CIRR;6;Drugs_all;mouse_JBO002
significant drugs all;CIRR;0;Drugs_all;mouse_JBO002
n.s. genetic all;LD;6;Genetic_all;mouse_JBO002
significant genetic all;LD;0;Genetic_all;mouse_JBO002
n.s. genetic top;LD;6;Genetic_top;mouse_JBO002
significant genetic top;LD;0;Genetic_top;mouse_JBO002
n.s. drugs all;LD;0;Drugs_all;mouse_JBO002
significant drugs all;LD;6;Drugs_all;mouse_JBO002
n.s. genetic all;NAFLD;6;Genetic_all;mouse_JBO002
significant genetic all;NAFLD;0;Genetic_all;mouse_JBO002
n.s. genetic top;NAFLD;1;Genetic_top;mouse_JBO002
significant genetic top;NAFLD;5;Genetic_top;mouse_JBO002
n.s. drugs all;NAFLD;0;Drugs_all;mouse_JBO002
significant drugs all;NAFLD;6;Drugs_all;mouse_JBO002
