Enrichment;Trait;Structures;Gene set;Comment
n.s. genetic all;T1D;6;Genetic_all;pancreas_human_15PCW_S1
significant genetic all;T1D;1;Genetic_all;pancreas_human_15PCW_S1
n.s. genetic top;T1D;6;Genetic_top;pancreas_human_15PCW_S1
significant genetic top;T1D;1;Genetic_top;pancreas_human_15PCW_S1
n.s. drugs all;T1D;7;Drugs_all;pancreas_human_15PCW_S1
significant drugs all;T1D;0;Drugs_all;pancreas_human_15PCW_S1
n.s. genetic all;T2D;7;Genetic_all;pancreas_human_15PCW_S1
significant genetic all;T2D;0;Genetic_all;pancreas_human_15PCW_S1
n.s. genetic top;T2D;7;Genetic_top;pancreas_human_15PCW_S1
significant genetic top;T2D;0;Genetic_top;pancreas_human_15PCW_S1
n.s. drugs all;T2D;7;Drugs_all;pancreas_human_15PCW_S1
significant drugs all;T2D;0;Drugs_all;pancreas_human_15PCW_S1
