Enrichment;Trait;Structures;Gene set;Comment
n.s. genetic all;AHD;10;Genetic_all;w12_V10T03_290D1
significant genetic all;AHD;1;Genetic_all;w12_V10T03_290D1
N/A;AHD;11;Genetic_top;w12_V10T03_290D1
n.s. drugs all;AHD;8;Drugs_all;w12_V10T03_290D1
significant drugs all;AHD;3;Drugs_all;w12_V10T03_290D1
n.s. genetic all;ALS;10;Genetic_all;w12_V10T03_290D1
significant genetic all;ALS;1;Genetic_all;w12_V10T03_290D1
n.s. genetic top;ALS;11;Genetic_top;w12_V10T03_290D1
significant genetic top;ALS;0;Genetic_top;w12_V10T03_290D1
n.s. drugs all;ALS;7;Drugs_all;w12_V10T03_290D1
significant drugs all;ALS;4;Drugs_all;w12_V10T03_290D1
n.s. genetic all;MS;11;Genetic_all;w12_V10T03_290D1
significant genetic all;MS;0;Genetic_all;w12_V10T03_290D1
N/A;MS;11;Genetic_top;w12_V10T03_290D1
n.s. drugs all;MS;0;Drugs_all;w12_V10T03_290D1
significant drugs all;MS;11;Drugs_all;w12_V10T03_290D1
