Enrichment;Trait;Structures;Gene set;Comment
n.s. genetic all;AHD;6;Genetic_all;w8_V10F24_107B1
significant genetic all;AHD;1;Genetic_all;w8_V10F24_107B1
n.s. genetic top;AHD;7;Genetic_top;w8_V10F24_107B1
significant genetic top;AHD;0;Genetic_top;w8_V10F24_107B1
n.s. drugs all;AHD;4;Drugs_all;w8_V10F24_107B1
significant drugs all;AHD;3;Drugs_all;w8_V10F24_107B1
n.s. genetic all;ALS;7;Genetic_all;w8_V10F24_107B1
significant genetic all;ALS;0;Genetic_all;w8_V10F24_107B1
n.s. genetic top;ALS;6;Genetic_top;w8_V10F24_107B1
significant genetic top;ALS;1;Genetic_top;w8_V10F24_107B1
n.s. drugs all;ALS;3;Drugs_all;w8_V10F24_107B1
significant drugs all;ALS;4;Drugs_all;w8_V10F24_107B1
n.s. genetic all;MS;7;Genetic_all;w8_V10F24_107B1
significant genetic all;MS;0;Genetic_all;w8_V10F24_107B1
N/A;MS;7;Genetic_top;w8_V10F24_107B1
n.s. drugs all;MS;0;Drugs_all;w8_V10F24_107B1
significant drugs all;MS;7;Drugs_all;w8_V10F24_107B1
