Enrichment;Trait;Structures;Gene set;Comment
n.s. genetic all;AHD;8;Genetic_all;w9_V10T03_288A1
significant genetic all;AHD;2;Genetic_all;w9_V10T03_288A1
n.s. genetic top;AHD;10;Genetic_top;w9_V10T03_288A1
significant genetic top;AHD;0;Genetic_top;w9_V10T03_288A1
n.s. drugs all;AHD;5;Drugs_all;w9_V10T03_288A1
significant drugs all;AHD;5;Drugs_all;w9_V10T03_288A1
n.s. genetic all;ALS;10;Genetic_all;w9_V10T03_288A1
significant genetic all;ALS;0;Genetic_all;w9_V10T03_288A1
n.s. genetic top;ALS;10;Genetic_top;w9_V10T03_288A1
significant genetic top;ALS;0;Genetic_top;w9_V10T03_288A1
n.s. drugs all;ALS;4;Drugs_all;w9_V10T03_288A1
significant drugs all;ALS;6;Drugs_all;w9_V10T03_288A1
n.s. genetic all;MS;10;Genetic_all;w9_V10T03_288A1
significant genetic all;MS;0;Genetic_all;w9_V10T03_288A1
n.s. genetic top;MS;10;Genetic_top;w9_V10T03_288A1
significant genetic top;MS;0;Genetic_top;w9_V10T03_288A1
n.s. drugs all;MS;0;Drugs_all;w9_V10T03_288A1
significant drugs all;MS;10;Drugs_all;w9_V10T03_288A1
