Dataset_name;Organ;Species;Size_(spots_after_filtering);Median_genes_(after_filtering);Median_UMIs_(after_filtering);NNMF_factors_(number);NNMF_factors_(selected);Clustering_resolution_with_FindClusters();Spatial_structures_(number);Trait_ID;Significantly_enriched_structures_(Genetic);Significantly_enriched_structures_(Genetic_top_genes);Significantly_enriched_structures_ (Drugs);Gene_list_size_(Genetic);Gene_list_size_(Genetic_top_genes);Gene_list_size_(Drugs)
brain_human_151509;brain;human;4748;1366;2381;15;c(1,2,4,7:12,15);0.6;7;ADHD;0;N/A;0;911;N/A;27
brain_human_151509;brain;human;4748;1366;2381;15;c(1,2,4,7:12,15);0.6;7;AHD;0;N/A;0;143;N/A;102
brain_human_151509;brain;human;4748;1366;2381;15;c(1,2,4,7:12,15);0.6;7;ALS;0;N/A;0;103;N/A;80
brain_human_151509;brain;human;4748;1366;2381;15;c(1,2,4,7:12,15);0.6;7;ALZ;0;3;0;213;60;95
brain_human_151509;brain;human;4748;1366;2381;15;c(1,2,4,7:12,15);0.6;7;ASD;0;N/A;0;692;N/A;44
brain_human_151509;brain;human;4748;1366;2381;15;c(1,2,4,7:12,15);0.6;7;BIP;0;N/A;7;537;N/A;125
brain_human_151509;brain;human;4748;1366;2381;15;c(1,2,4,7:12,15);0.6;7;EPI;7;7;7;436;200;179
brain_human_151509;brain;human;4748;1366;2381;15;c(1,2,4,7:12,15);0.6;7;INS;0;0;0;144;50;44
brain_human_151509;brain;human;4748;1366;2381;15;c(1,2,4,7:12,15);0.6;7;MDD;0;N/A;7;107;N/A;124
brain_human_151509;brain;human;4748;1366;2381;15;c(1,2,4,7:12,15);0.6;7;MS;0;N/A;7;252;N/A;172
brain_human_151509;brain;human;4748;1366;2381;15;c(1,2,4,7:12,15);0.6;7;PAR;7;7;0;269;100;89
brain_human_151509;brain;human;4748;1366;2381;15;c(1,2,4,7:12,15);0.6;7;SCZ;0;0;7;951;210;159
brain_human_151673;brain;human;3632;2055;4063;15;c(1:7,10,12,15);0.8;9;ADHD;0;0;0;993;100;29
brain_human_151673;brain;human;3632;2055;4063;15;c(1:7,10,12,15);0.8;9;AHD;0;N/A;0;150;N/A;110
brain_human_151673;brain;human;3632;2055;4063;15;c(1:7,10,12,15);0.8;9;ALS;0;N/A;0;109;N/A;86
brain_human_151673;brain;human;3632;2055;4063;15;c(1:7,10,12,15);0.8;9;ALZ;0;5;0;228;60;103
brain_human_151673;brain;human;3632;2055;4063;15;c(1:7,10,12,15);0.8;9;ASD;5;0;0;733;60;47
brain_human_151673;brain;human;3632;2055;4063;15;c(1:7,10,12,15);0.8;9;BIP;0;N/A;9;576;N/A;129
brain_human_151673;brain;human;3632;2055;4063;15;c(1:7,10,12,15);0.8;9;EPI;9;9;9;460;210;187
brain_human_151673;brain;human;3632;2055;4063;15;c(1:7,10,12,15);0.8;9;INS;0;0;0;164;50;46
brain_human_151673;brain;human;3632;2055;4063;15;c(1:7,10,12,15);0.8;9;MDD;0;N/A;9;122;N/A;130
brain_human_151673;brain;human;3632;2055;4063;15;c(1:7,10,12,15);0.8;9;MS;0;N/A;9;279;N/A;187
brain_human_151673;brain;human;3632;2055;4063;15;c(1:7,10,12,15);0.8;9;PAR;9;9;0;283;100;98
brain_human_151673;brain;human;3632;2055;4063;15;c(1:7,10,12,15);0.8;9;SCZ;0;0;9;1026;230;164
brain_mouse_10X;brain;mouse;2702;5972;28890;40;c(1:22,24:32,34:39);0.8;19;ADHD;1;1;0;1142;200;45
brain_mouse_10X;brain;mouse;2702;5972;28890;40;c(1:22,24:32,34:39);0.8;19;AHD;0;0;0;166;50;143
brain_mouse_10X;brain;mouse;2702;5972;28890;40;c(1:22,24:32,34:39);0.8;19;ALS;0;0;0;121;50;109
brain_mouse_10X;brain;mouse;2702;5972;28890;40;c(1:22,24:32,34:39);0.8;19;ALZ;0;3;0;281;70;132
brain_mouse_10X;brain;mouse;2702;5972;28890;40;c(1:22,24:32,34:39);0.8;19;ASD;18;6;0;811;130;61
brain_mouse_10X;brain;mouse;2702;5972;28890;40;c(1:22,24:32,34:39);0.8;19;BIP;0;2;19;657;80;152
brain_mouse_10X;brain;mouse;2702;5972;28890;40;c(1:22,24:32,34:39);0.8;19;EPI;19;19;19;497;220;211
brain_mouse_10X;brain;mouse;2702;5972;28890;40;c(1:22,24:32,34:39);0.8;19;INS;0;0;0;192;50;60
brain_mouse_10X;brain;mouse;2702;5972;28890;40;c(1:22,24:32,34:39);0.8;19;MDD;0;0;19;145;70;163
brain_mouse_10X;brain;mouse;2702;5972;28890;40;c(1:22,24:32,34:39);0.8;19;MS;0;N/A;19;339;N/A;224
