"dataset";"trait";"gene_list";"cluster";"median.genes";"median.umi";"median.score_genetic";"neg.log10.p.val_genetic";"neg.log10.p.val.adj_genetic";"median.score_drugs";"neg.log10.p.val_drugs";"neg.log10.p.val.adj_drugs"
"brain_human_151509";"ADHD";"all_genes";"cluster_0";1696.5;3087;-0.00249148913469714;0.20597384329523;0;"-0.00449880288537936";"0.332590474386909";"0"
"brain_human_151509";"ADHD";"all_genes";"cluster_1";845;1378;-0.0109758656485256;0.0177269575847974;0;"-0.0438288374471279";"0.00270073667524026";"0"
"brain_human_151509";"ADHD";"all_genes";"cluster_2";1478;2632;-0.00550528898559002;0.103848016822652;0;"-0.0171448391261312";"0.0939778825216258";"0"
"brain_human_151509";"ADHD";"all_genes";"cluster_3";1597.5;2823;-0.00477617703084397;0.122096475647674;0;"-0.0156392329299531";"0.110237675408777";"0"
"brain_human_151509";"ADHD";"all_genes";"cluster_4";1363.5;2413;-0.0077094672960832;0.0593277703702;0;"-0.0256028518189378";"0.0385748719260763";"0"
"brain_human_151509";"ADHD";"all_genes";"cluster_5";768;1093;-0.0126130358333794;0.00992666120895824;0;"-0.0498325273380355";"0.00169688988049808";"0"
"brain_human_151509";"ADHD";"all_genes";"cluster_6";1383;2309;-0.0154797067207212;0.00414510363042541;0;"-0.0772316486047068";"4.34272768626769e-05";"0"
"brain_human_151509";"AHD";"all_genes";"cluster_0";1696.5;3087;0.000240701663083209;0.40443699241126;0;"0.0118029738325171";"0.798919530069483";"0"
"brain_human_151509";"AHD";"all_genes";"cluster_1";845;1378;-0.00841391169181591;0.162518117827261;0;"-0.0157889028431163";"0.0438269580334726";"0"
"brain_human_151509";"AHD";"all_genes";"cluster_2";1478;2632;0.00695747101065813;0.631384714884636;0;"0.0066749561028944";"0.645550826687426";"0"
"brain_human_151509";"AHD";"all_genes";"cluster_3";1597.5;2823;0.00887919216486202;0.703597633070466;0;"0.0159231514667906";"0.934090446962993";"0.0889924069487362"
"brain_human_151509";"AHD";"all_genes";"cluster_4";1363.5;2413;-0.00114216811921296;0.362653777147651;0;"0.00228836796437294";"0.502560889909492";"0"
"brain_human_151509";"AHD";"all_genes";"cluster_5";768;1093;0.00153437477467309;0.45498384258286;0;"-0.0142363443255542";"0.0682297233177234";"0"
"brain_human_151509";"AHD";"all_genes";"cluster_6";1383;2309;0.00336049514908621;0.456596247195163;0;"-0.0416170950613208";"0";"0"
"brain_human_151509";"ALS";"all_genes";"cluster_0";1696.5;3087;-0.00221051273240105;0.352562654103187;0;"0.0175694003088318";"0.962616929336239";"0.117518889321982"
"brain_human_151509";"ALS";"all_genes";"cluster_1";845;1378;-0.011176900673702;0.120546140027434;0;"-0.0104481061761341";"0.154387367293318";"0"
"brain_human_151509";"ALS";"all_genes";"cluster_2";1478;2632;0.00404841519176435;0.565634219689363;0;"0.0111109109158055";"0.810553113577495";"0"
"brain_human_151509";"ALS";"all_genes";"cluster_3";1597.5;2823;0.0035236202438971;0.536897290550513;0;"0.0210053724014263";"1.05654891137076";"0.211450871356503"
"brain_human_151509";"ALS";"all_genes";"cluster_4";1363.5;2413;-0.00304821284020608;0.327022520147967;0;"0.00401101593927496";"0.569807073865352";"0"
"brain_human_151509";"ALS";"all_genes";"cluster_5";768;1093;-0.00418431015290127;0.294179714992943;0;"-0.00868560651449174";"0.189139146608162";"0"
"brain_human_151509";"ALS";"all_genes";"cluster_6";1383;2309;0.00230196492157578;0.431724342181751;0;"-0.032362611238241";"0.00353175512268402";"0"
"brain_human_151509";"ALZ";"all_genes";"cluster_0";1696.5;3087;0.00488359421646692;0.543070413641045;0;"0.00734399992113639";"0.670442178920344";"0"
"brain_human_151509";"ALZ";"all_genes";"cluster_1";845;1378;0.00873770084845485;0.705797711138744;0;"-0.0153684076513064";"0.0522667188121244";"0"
"brain_human_151509";"ALZ";"all_genes";"cluster_2";1478;2632;0.00448542763816434;0.529338997554075;0;"-0.000919001668431313";"0.404878012486633";"0"
"brain_human_151509";"ALZ";"all_genes";"cluster_3";1597.5;2823;0.00227288961118096;0.451531170935827;0;"0.00477857510087297";"0.588760514259478";"0"
"brain_human_151509";"ALZ";"all_genes";"cluster_4";1363.5;2413;0.00372160607689687;0.501319456528958;0;"-0.00115216372692655";"0.3979834359489";"0"
"brain_human_151509";"ALZ";"all_genes";"cluster_5";768;1093;0.00293533542997362;0.482056224251784;0;"-0.0165990874497655";"0.0427235304215218";"0"
"brain_human_151509";"ALZ";"all_genes";"cluster_6";1383;2309;0.0105257423182301;0.727969639776853;0;"-0.0262583587935889";"0.011127906764176";"0"
"brain_human_151509";"ASD";"all_genes";"cluster_0";1696.5;3087;0.0157137348174484;1.53914558452031;0.694047544506058;"0.0116877779788945";"0.833021631486606";"0"
"brain_human_151509";"ASD";"all_genes";"cluster_1";845;1378;0.00170241364643291;0.415825315159458;0;"-0.0231828256822517";"0.0283501883270016";"0"
"brain_human_151509";"ASD";"all_genes";"cluster_2";1478;2632;0.012179968609176;1.19454256911846;0.349444529104206;"0.00494197868667695";"0.649989333697832";"0"
"brain_human_151509";"ASD";"all_genes";"cluster_3";1597.5;2823;0.0133226851649014;1.28655288418292;0.441454844168663;"0.00969269028395074";"0.776807154173865";"0"
"brain_human_151509";"ASD";"all_genes";"cluster_4";1363.5;2413;0.00692980088661737;0.745737094945577;0;"-0.00647874979588123";"0.258025680136724";"0"
"brain_human_151509";"ASD";"all_genes";"cluster_5";768;1093;-7.53776644729642e-06;0.323349817651996;0;"-0.0301099934539081";"0.00948259728284271";"0"
"brain_human_151509";"ASD";"all_genes";"cluster_6";1383;2309;-0.00559107459169353;0.123536923010982;0;"-0.0444050894502295";"0.00160970841239375";"0"
"brain_human_151509";"BIP";"all_genes";"cluster_0";1696.5;3087;9.96507155634763e-05;0.329890382084682;0;"0.195451095438966";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"BIP";"all_genes";"cluster_1";845;1378;-0.00297047012627573;0.219150318589784;0;"0.168336324361301";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"BIP";"all_genes";"cluster_2";1478;2632;0.000926366177868759;0.366473984722771;0;"0.184278771616384";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"BIP";"all_genes";"cluster_3";1597.5;2823;0.000150331178681233;0.333899999985304;0;"0.181453235339586";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"BIP";"all_genes";"cluster_4";1363.5;2413;-0.00161702187272364;0.26316906562844;0;"0.174772787772781";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"BIP";"all_genes";"cluster_5";768;1093;-0.00363435979956417;0.194134972202666;0;"0.143194081018552";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"BIP";"all_genes";"cluster_6";1383;2309;-0.0101691800559392;0.0598757132427877;0;"0.121517300124226";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"EPI";"all_genes";"cluster_0";1696.5;3087;0.116545794509008;4.00004342727686;3.15494538726261;"0.348205491927299";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"EPI";"all_genes";"cluster_1";845;1378;0.0963435509314693;4.00004342727686;3.15494538726261;"0.399755646260818";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"EPI";"all_genes";"cluster_2";1478;2632;0.113044095800525;4.00004342727686;3.15494538726261;"0.347526615033321";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"EPI";"all_genes";"cluster_3";1597.5;2823;0.112487726922272;4.00004342727686;3.15494538726261;"0.333128032708905";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"EPI";"all_genes";"cluster_4";1363.5;2413;0.107258447949629;4.00004342727686;3.15494538726261;"0.378462226731285";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"EPI";"all_genes";"cluster_5";768;1093;0.0811476488888229;4.00004342727686;3.15494538726261;"0.439003629851129";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"EPI";"all_genes";"cluster_6";1383;2309;0.0680853819257559;4.00004342727686;3.15494538726261;"0.450230446598985";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"INS";"all_genes";"cluster_0";1696.5;3087;-0.00633698837712027;0.207371638135295;0;"0.0145925226519946";"0.905572298635218";"0.060474258620961"
"brain_human_151509";"INS";"all_genes";"cluster_1";845;1378;-0.0126955209146569;0.0728270966855979;0;"-0.0148513725796385";"0.117803579258039";"0"
"brain_human_151509";"INS";"all_genes";"cluster_2";1478;2632;-0.00598190496693027;0.217284234652866;0;"0.00692838629077895";"0.712689654562116";"0"
"brain_human_151509";"INS";"all_genes";"cluster_3";1597.5;2823;-0.00464525477875731;0.252476264539238;0;"0.0124549573882193";"0.845923901761016";"0.000825861746759078"
"brain_human_151509";"INS";"all_genes";"cluster_4";1363.5;2413;-0.00589137141175088;0.221168955274123;0;"0.0035520220579062";"0.591633848808433";"0"
"brain_human_151509";"INS";"all_genes";"cluster_5";768;1093;-0.00802604334071985;0.167981812686136;0;"-0.0192770681516471";"0.0658986154843856";"0"
"brain_human_151509";"INS";"all_genes";"cluster_6";1383;2309;0.0144936997069657;0.83154594375383;0;"-0.0500425305498365";"0.000521414147958876";"0"
"brain_human_151509";"MDD";"all_genes";"cluster_0";1696.5;3087;0.00178778156483028;0.478251777637739;0;"0.217161854392996";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"MDD";"all_genes";"cluster_1";845;1378;-0.00898793608309915;0.166705038337465;0;"0.187907546498935";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"MDD";"all_genes";"cluster_2";1478;2632;-0.00204353137651994;0.359561990306441;0;"0.20876780907984";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"MDD";"all_genes";"cluster_3";1597.5;2823;0.000936678287561908;0.447618581572777;0;"0.208887367095892";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"MDD";"all_genes";"cluster_4";1363.5;2413;-0.00445295605717528;0.283956573502031;0;"0.194787531555503";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"MDD";"all_genes";"cluster_5";768;1093;-0.0138677268273928;0.0723651631388712;0;"0.166526388013156";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"MDD";"all_genes";"cluster_6";1383;2309;-0.0155142210459448;0.0765403603347581;0;"0.13199597065282";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"MS";"all_genes";"cluster_0";1696.5;3087;-0.0164731641474474;0.0207227298948382;0;"0.164502456092601";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"MS";"all_genes";"cluster_1";845;1378;-0.0164403715486359;0.0157411952969594;0;"0.136452402834551";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"MS";"all_genes";"cluster_2";1478;2632;-0.0172668697725821;0.0131373958961415;0;"0.154172404850842";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"MS";"all_genes";"cluster_3";1597.5;2823;-0.0199183039207583;0.0050228211521047;0;"0.153933951086136";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"MS";"all_genes";"cluster_4";1363.5;2413;-0.0144860442398291;0.0357366449729262;0;"0.147685874313434";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"MS";"all_genes";"cluster_5";768;1093;-0.0153055532191241;0.0274240882172392;0;"0.119070022608785";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"MS";"all_genes";"cluster_6";1383;2309;-0.0147571679803125;0.0463803635297713;0;"0.0966265462198281";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"PAR";"all_genes";"cluster_0";1696.5;3087;0.0801142213807865;4.00004342727686;3.15494538726261;"0.0103972459897968";"0.769083871528294";"0"
"brain_human_151509";"PAR";"all_genes";"cluster_1";845;1378;0.081175854720795;4.00004342727686;3.15494538726261;"-0.0197208493665747";"0.0171393094842346";"0"
"brain_human_151509";"PAR";"all_genes";"cluster_2";1478;2632;0.081566534130952;4.00004342727686;3.15494538726261;"0.00173276292605706";"0.497070368211231";"0"
"brain_human_151509";"PAR";"all_genes";"cluster_3";1597.5;2823;0.0814860651437997;4.00004342727686;3.15494538726261;"0.00931864215775743";"0.731231523537082";"0"
"brain_human_151509";"PAR";"all_genes";"cluster_4";1363.5;2413;0.0784142042213211;4.00004342727686;3.15494538726261;"-0.00782773518422424";"0.193795600081072";"0"
"brain_human_151509";"PAR";"all_genes";"cluster_5";768;1093;0.0733751681701169;4.00004342727686;3.15494538726261;"-0.0219076153329934";"0.0117074714208122";"0"
"brain_human_151509";"PAR";"all_genes";"cluster_6";1383;2309;0.0704207490586805;4.00004342727686;3.15494538726261;"-0.0470216293010015";"0";"0"
"brain_human_151509";"SCZ";"all_genes";"cluster_0";1696.5;3087;-0.00216632608875489;0.214428902330039;0;"0.182604024634052";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"SCZ";"all_genes";"cluster_1";845;1378;-0.0101821619255415;0.0228687512566753;0;"0.156091288933832";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"SCZ";"all_genes";"cluster_2";1478;2632;-0.00423173200165353;0.138449282632997;0;"0.178211513916208";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"SCZ";"all_genes";"cluster_3";1597.5;2823;-0.0038428818680161;0.149152243140939;0;"0.179285640882198";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"SCZ";"all_genes";"cluster_4";1363.5;2413;-0.00601170111749343;0.0879276981980088;0;"0.170782975876805";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"SCZ";"all_genes";"cluster_5";768;1093;-0.0110749256945144;0.0172296651450002;0;"0.1413778492136";"4.00004342727686";"3.15494538726261"
"brain_human_151509";"SCZ";"all_genes";"cluster_6";1383;2309;-0.0107325275229783;0.022228401193676;0;"0.121653145679746";"4.00004342727686";"3.15494538726261"
"brain_human_151673";"ADHD";"all_genes";"cluster_0";1896;3537;-0.00407591104511838;0.172092898974233;0;"-0.00646456206007207";"0.278068025690909";"0"
"brain_human_151673";"ADHD";"all_genes";"cluster_1";2256.5;4729;-0.00283614902842333;0.208422944584049;0;"0.00902936033943035";"0.732402444930947";"0"
"brain_human_151673";"ADHD";"all_genes";"cluster_2";2695;6045;0.000200395322960567;0.324265085602778;0;"0.0400005624413635";"1.28320570397734";"0.328963194538013"
"brain_human_151673";"ADHD";"all_genes";"cluster_3";1670.5;3043.5;-0.0161185902067055;0.00833015156377323;0;"-0.067023217969195";"0.000347539866023441";"0"
"brain_human_151673";"ADHD";"all_genes";"cluster_4";2424;5384;-0.00232443085999373;0.227428377427692;0;"0.0143110582646542";"0.842586659142637";"0"
"brain_human_151673";"ADHD";"all_genes";"cluster_5";1213;1970;-0.00851797865927011;0.069756780031343;0;"-0.00363426663327646";"0.404106521007689";"0"
"brain_human_151673";"ADHD";"all_genes";"cluster_6";2634;5759;-0.000409688436092653;0.296924081040785;0;"0.011204719889079";"0.72983057238062";"0"
"brain_human_151673";"ADHD";"all_genes";"cluster_7";2079;4106;-0.0219061484712269;0.00130471102104496;0;"-0.118521147511882";"0";"0"
