cluster_0;cluster_1;cluster_2;cluster_3;cluster_4;cluster_5;cluster_6
 9.306183e-03; 1.619631e-02; 9.480845e-03; 2.684788e-03; 1.635393e-02; 8.101339e-03; 5.841054e-03
 1.471947e-02; 1.455377e-02; 1.006368e-02; 2.482476e-04; 9.210894e-03; 9.878927e-03; 7.211471e-03
-1.999471e-02;-2.580384e-02;-1.372049e-02;-1.859315e-02;-1.912772e-02;-1.692581e-02;-2.451209e-02
-2.437029e-02;-2.114561e-02;-3.038112e-02;-3.195104e-02;-3.093727e-02;-1.797262e-02;-2.329108e-02
 2.617765e-02; 2.595655e-02; 2.771437e-02; 1.032890e-02; 2.532977e-02; 2.577270e-02; 2.111911e-02
-2.814811e-02;-2.596926e-02;-3.621700e-02;-2.333690e-02;-2.598884e-02;-2.997677e-02;-3.071646e-02
-1.652525e-02;-1.256712e-02; 1.943769e-03;-1.909901e-02;-1.424711e-02;-1.875169e-02;-3.163794e-02
-1.194530e-03;-1.075735e-02;-1.355147e-02; 4.002278e-03;-1.182403e-02; 1.518563e-03; 3.497300e-02
-3.254757e-02;-2.730199e-02;-2.908813e-02;-2.309653e-02;-1.622169e-02;-3.055659e-02;-1.815213e-02
 1.488307e-02; 8.669029e-03;-2.825139e-03;-7.861912e-03; 5.112233e-03; 4.625164e-03;-5.848082e-03
 6.875862e-03;-6.945975e-04; 6.906945e-03; 3.794010e-03; 4.220572e-03; 6.581115e-03;-8.709208e-03
 1.903574e-02; 2.081037e-02; 2.088437e-02; 2.095609e-02; 2.168534e-02; 1.873535e-02; 8.934574e-03
 4.830240e-03; 6.719410e-03; 1.610156e-02;-3.312567e-03;-1.909349e-03; 5.787471e-04;-4.578419e-03
-5.279505e-03;-3.623763e-03;-1.996798e-03;-6.122536e-03;-4.918825e-03;-2.444226e-03; 3.198218e-03
-2.675726e-02;-2.329209e-02;-1.283630e-02;-3.304521e-02;-2.624312e-02;-2.880386e-02;-1.573979e-02
 4.335283e-02; 4.157306e-02; 5.504868e-02; 3.193547e-02; 4.188466e-02; 4.580154e-02; 2.242973e-02
 1.977239e-02; 1.163841e-02; 2.620918e-02; 4.224713e-03; 7.575011e-03; 1.160770e-02; 6.905742e-03
-7.778125e-03;-1.335533e-02; 1.701889e-03;-2.709053e-02;-1.389642e-02;-1.362604e-02;-3.553694e-02
-7.088135e-03;-7.581309e-03; 3.052315e-02;-1.177679e-03;-1.476208e-02;-8.952286e-03;-2.260735e-02
-1.138761e-02;-9.936193e-03;-9.139330e-03;-8.443614e-03;-1.677022e-02;-1.321378e-02;-1.160741e-02
-2.425673e-02;-1.947954e-02;-2.341500e-02;-3.444198e-02;-2.936728e-02;-2.138301e-02;-3.085450e-02
 1.333760e-02; 1.137798e-02; 1.626667e-02; 1.302027e-02; 2.128090e-02; 1.509229e-02; 1.609913e-02
-1.047240e-02;-2.828376e-03;-2.171690e-02;-2.101833e-02; 6.381567e-03;-1.366633e-02;-1.053071e-02
 6.163542e-03; 2.642913e-04; 1.604147e-02; 8.186027e-03;-2.315729e-03; 2.713520e-03;-1.153863e-02
-1.472955e-02;-2.040521e-02; 1.160159e-02;-2.540360e-02;-1.891560e-02;-2.496469e-02;-2.182956e-02
