cluster_0;cluster_1;cluster_2;cluster_3;cluster_4;cluster_5;cluster_6;cluster_7;cluster_8;cluster_9;cluster_10;cluster_11;cluster_12;cluster_13;cluster_14;cluster_15;cluster_16;cluster_17;cluster_18
-1.108482e-02;-5.945042e-03; 3.273596e-02;-3.974359e-03;-3.890641e-03;-1.223628e-02; 3.693772e-03;-1.753660e-02; 2.267301e-03;-1.928829e-02; 4.398111e-03;-5.796739e-03;-1.374221e-02; 2.862908e-02; 1.323659e-02; 1.168509e-03; 3.564722e-02;-5.271166e-03; 7.088942e-03
-1.619674e-02; 2.790699e-03;-8.286278e-03;-1.530789e-03;-1.990387e-02;-1.250017e-02; 6.038758e-03; 2.472280e-03;-1.355248e-02;-8.341131e-03;-7.832285e-03;-7.243529e-03;-1.322824e-02; 1.572667e-02; 1.938776e-03; 1.955553e-03; 3.483507e-02; 3.627893e-02; 2.445443e-02
 6.393363e-02; 5.084916e-02; 4.993910e-02; 5.855824e-02; 4.853230e-02; 5.042987e-02; 4.163502e-02; 4.891661e-02; 4.553944e-02; 4.997790e-02; 5.446762e-02; 5.977967e-02; 6.311783e-02; 3.994536e-02; 5.725683e-02; 4.734377e-02; 5.734870e-02; 3.140306e-02; 4.915415e-02
-3.291732e-02;-8.494131e-03;-4.684258e-02;-1.282950e-02;-3.558811e-02;-5.867054e-03;-2.005315e-02;-9.150098e-03;-6.554779e-04;-1.057797e-02;-1.236490e-02;-4.456152e-03;-1.592282e-02;-1.586183e-02;-2.570193e-02; 1.451850e-02; 2.208338e-02;-2.312146e-02; 2.181662e-02
-2.602436e-02;-2.990779e-02;-1.862688e-02;-2.913385e-02;-2.067096e-02;-3.399504e-02;-3.423387e-02;-3.455826e-02;-2.722334e-02;-4.584252e-02;-2.484955e-02;-1.572601e-02;-2.084418e-02;-2.668329e-02;-3.167327e-02;-1.646920e-02;-1.078164e-02;-3.464035e-02; 7.524198e-03
 1.649009e-02; 3.820159e-03;-2.257974e-04; 1.359295e-02; 1.337375e-02;-7.851148e-04;-4.649699e-03;-4.316136e-03; 5.383478e-03;-1.686695e-03; 1.134542e-02; 1.298622e-02; 2.857470e-02; 8.018814e-03;-8.605813e-03; 2.534793e-02; 6.561557e-03; 1.317314e-02; 4.811411e-03
 2.114836e-02; 2.288360e-02; 3.530169e-02; 5.164252e-02; 2.900765e-02; 2.185454e-02; 3.817411e-02; 2.942580e-02; 2.766330e-02; 2.745806e-02; 2.302703e-02; 1.289971e-02; 7.456958e-03; 2.514462e-02; 3.523688e-02; 4.186269e-02; 7.735534e-02; 2.209001e-02; 7.852291e-02
 1.589013e-03;-1.001973e-02; 9.395220e-03; 3.851470e-03;-3.536670e-03;-1.068984e-02;-1.656425e-03;-2.363735e-02;-7.412395e-03;-1.363091e-02; 1.405430e-03;-1.668532e-02;-1.188431e-02;-1.450033e-03; 2.074541e-02;-6.402181e-03; 1.742549e-02; 7.091321e-02; 2.853252e-02
 5.461371e-02; 3.482794e-02; 1.388101e-02; 4.972087e-02; 4.976383e-02; 5.140109e-02; 3.576893e-02; 3.476484e-02; 2.453256e-02; 4.012170e-02; 4.148496e-02; 4.641511e-02; 6.436715e-02; 2.996286e-02; 2.864513e-02; 2.785706e-02;-1.453052e-02; 1.334459e-02; 1.877093e-02
-8.500191e-03; 1.942345e-02; 1.833366e-02; 2.794513e-02; 9.644486e-03; 2.998797e-02; 3.593683e-02; 2.641739e-02; 3.112655e-02; 3.491109e-02; 1.481281e-03;-2.501147e-04;-2.830985e-02; 2.032230e-02; 1.611603e-02; 7.599879e-03; 3.250109e-02;-2.254109e-02;-2.790982e-03
 1.066021e-02;-1.195602e-02;-5.040889e-03;-4.971399e-03;-3.088223e-05;-1.432096e-02;-1.000110e-02;-1.524428e-02;-1.281111e-02;-1.227804e-02; 6.188807e-03;-1.478380e-02; 8.880837e-03;-2.901964e-03;-2.193612e-03;-2.606420e-02;-8.747836e-03;-8.792642e-04; 3.033156e-02
 1.845245e-02; 3.531470e-02; 2.414147e-02; 4.177728e-02; 3.404225e-02; 3.901367e-02; 3.305144e-02; 3.278243e-02; 4.172102e-02; 4.642479e-02; 3.058090e-02; 2.555309e-02; 1.445816e-02; 1.149229e-02; 2.455125e-02; 3.612783e-02; 4.032633e-02; 7.503356e-03; 1.123445e-02
-2.184848e-02;-3.214666e-02; 1.457958e-02;-4.333071e-02;-2.096662e-02;-3.206786e-02;-2.372986e-02;-3.199416e-02;-2.441537e-02;-2.939015e-02;-3.370223e-02;-2.778177e-02;-3.636359e-02;-4.316830e-02;-9.374534e-03;-2.707688e-02;-4.102301e-02;-2.580819e-03;-5.472068e-02
-7.240117e-02;-3.351196e-02;-5.352857e-02;-5.129749e-02;-6.040968e-02;-9.075759e-03;-3.174319e-02;-1.326274e-02;-4.665897e-03; 3.412267e-03;-5.808229e-02;-3.170996e-02;-5.523702e-02;-3.658097e-02;-5.622831e-02;-1.262785e-02; 4.402253e-05;-3.752954e-02;-1.923583e-02
 1.424999e-02; 1.175846e-02; 1.265457e-02; 1.747210e-02; 1.817119e-02; 2.044216e-02; 1.263062e-02; 2.305872e-02; 1.378565e-02; 2.308389e-02; 5.828788e-03; 1.839182e-02; 1.167455e-02; 2.536652e-02;-2.306408e-03; 1.557896e-02; 4.263565e-02;-2.452233e-02; 9.924991e-03
 2.361576e-02; 3.060127e-02; 3.362460e-03;-2.861887e-03; 2.268636e-02; 2.474671e-02; 2.039179e-02; 1.455195e-02; 1.343227e-02; 1.992859e-02; 2.200843e-02; 2.844584e-02; 2.016972e-02; 2.186957e-02; 2.540488e-02; 1.003174e-02; 4.632508e-02; 1.560211e-02; 3.371245e-02
