median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
6595.5       ;38043.5      ;-0.05974300  ;0.001958539  ;0.0000000    ;-0.0613185468;0.01269004   ;0.00000000   ;cluster_0    
5165.5       ;23182.0      ; 0.08448640  ;2.251855400  ;0.9731018    ; 0.0105041311;0.55195576   ;0.00000000   ;cluster_1    
4805.0       ;21052.5      ;-0.03562017  ;0.051239381  ;0.0000000    ;-0.1531942074;0.00000000   ;0.00000000   ;cluster_2    
5370.0       ;23638.0      ; 0.05178436  ;1.274131795  ;0.0000000    ; 0.0541709130;1.09263207   ;0.00000000   ;cluster_3    
5534.0       ;25287.0      ;-0.01433969  ;0.170418074  ;0.0000000    ;-0.0334985605;0.06767115   ;0.00000000   ;cluster_4    
6340.0       ;32458.0      ; 0.08662138  ;2.207651738  ;0.9288981    ;-0.0064579711;0.29153755   ;0.00000000   ;cluster_5    
4012.0       ;15712.0      ; 0.05786551  ;1.477599194  ;0.1988456    ; 0.0085338331;0.52234350   ;0.00000000   ;cluster_6    
6226.0       ;30340.0      ; 0.09662747  ;2.522922173  ;1.2441686    ;-0.0007928234;0.35570333   ;0.00000000   ;cluster_7    
6803.0       ;36674.0      ; 0.08358916  ;2.102416336  ;0.8236627    ;-0.0045731232;0.30596497   ;0.00000000   ;cluster_8    
6377.5       ;31876.0      ; 0.10797891  ;2.769594506  ;1.4908409    ; 0.0203658188;0.63888243   ;0.00000000   ;cluster_9    
6103.0       ;31806.0      ; 0.02297056  ;0.685754766  ;0.0000000    ; 0.0096998169;0.47448037   ;0.00000000   ;cluster_10   
6988.0       ;41195.0      ; 0.07024726  ;1.793217551  ;0.5144640    ; 0.0325689331;0.85236710   ;0.00000000   ;cluster_11   
7771.0       ;56006.0      ;-0.04005785  ;0.030115238  ;0.0000000    ;-0.0037991117;0.29916672   ;0.00000000   ;cluster_12   
6581.5       ;35309.5      ; 0.04388926  ;1.129054614  ;0.0000000    ; 0.0123094975;0.50159502   ;0.00000000   ;cluster_13   
5770.0       ;26893.0      ;-0.01774420  ;0.136661079  ;0.0000000    ;-0.0693231745;0.00493497   ;0.00000000   ;cluster_14   
8086.0       ;60122.0      ; 0.07203377  ;1.644017570  ;0.3652640    ; 0.0088699730;0.41526005   ;0.00000000   ;cluster_15   
8319.0       ;66466.0      ; 0.08450242  ;1.886100075  ;0.6073465    ; 0.0890235491;1.35757891   ;0.07882531   ;cluster_16   
7644.5       ;50543.0      ;-0.16283820  ;0.000000000  ;0.0000000    ;-0.2773418487;0.00000000   ;0.00000000   ;cluster_17   
9295.5       ;79652.5      ; 0.01747996  ;0.538694994  ;0.0000000    ;-0.0355639578;0.12094755   ;0.00000000   ;cluster_18   
