median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
6595.5      ;38043.5     ; 0.05293479 ;1.1469539   ;0.00000000  ;-0.020518888;0.1246349   ;0.0000000   ;cluster_0   
5165.5      ;23182.0     ; 0.09062719 ;1.9508254   ;0.67207180  ; 0.046101435;1.1824781   ;0.0000000   ;cluster_1   
4805.0      ;21052.5     ; 0.14100934 ;2.6198322   ;1.34107858  ;-0.045251180;0.0270542   ;0.0000000   ;cluster_2   
5370.0      ;23638.0     ; 0.13199109 ;2.6383156   ;1.35956199  ; 0.063607297;1.5100849   ;0.2313313   ;cluster_3   
5534.0      ;25287.0     ; 0.09267908 ;1.9318576   ;0.65310396  ; 0.005144498;0.4158253   ;0.0000000   ;cluster_4   
6340.0      ;32458.0     ; 0.06009596 ;1.3655662   ;0.08681256  ; 0.017006574;0.6076983   ;0.0000000   ;cluster_5   
4012.0      ;15712.0     ; 0.09511107 ;2.0044082   ;0.72565463  ; 0.031577081;0.8871035   ;0.0000000   ;cluster_6   
6226.0      ;30340.0     ; 0.07411201 ;1.5850701   ;0.30631648  ; 0.039848682;1.0376741   ;0.0000000   ;cluster_7   
6803.0      ;36674.0     ; 0.03464432 ;0.9038288   ;0.00000000  ; 0.012815517;0.5213327   ;0.0000000   ;cluster_8   
6377.5      ;31876.0     ; 0.08057339 ;1.6946921   ;0.41593846  ; 0.042746741;1.0716476   ;0.0000000   ;cluster_9   
6103.0      ;31806.0     ; 0.08624228 ;1.7619973   ;0.48324372  ; 0.031886862;0.8592212   ;0.0000000   ;cluster_10  
6988.0      ;41195.0     ; 0.07134248 ;1.5467251   ;0.26797149  ; 0.051550151;1.2765878   ;0.0000000   ;cluster_11  
7771.0      ;56006.0     ; 0.01780140 ;0.5613429   ;0.00000000  ; 0.007858762;0.4410950   ;0.0000000   ;cluster_12  
6581.5      ;35309.5     ; 0.05378203 ;1.1844657   ;0.00000000  ; 0.007099024;0.4340776   ;0.0000000   ;cluster_13  
5770.0      ;26893.0     ; 0.13714778 ;2.7447709   ;1.46601732  ; 0.009710859;0.4794289   ;0.0000000   ;cluster_14  
8086.0      ;60122.0     ; 0.04478063 ;0.9259587   ;0.00000000  ; 0.054701156;1.2111683   ;0.0000000   ;cluster_15  
8319.0      ;66466.0     ; 0.02747653 ;0.6209193   ;0.00000000  ; 0.075560234;1.5287517   ;0.2499981   ;cluster_16  
7644.5      ;50543.0     ; 0.14758881 ;2.1804995   ;0.90174589  ;-0.141844985;0.0000000   ;0.0000000   ;cluster_17  
9295.5      ;79652.5     ;-0.02769455 ;0.1337561   ;0.00000000  ; 0.018239174;0.5406509   ;0.0000000   ;cluster_18  
