median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
6595.5     ;38043.5    ; 0.06893896;2.9208622  ;1.642109   ;-0.01232313;0.21371799 ;0.0000000  ;cluster_0  
5165.5     ;23182.0    ; 0.14689743;4.0000434  ;2.721290   ; 0.06759967;1.48549567 ;0.2067421  ;cluster_1  
4805.0     ;21052.5    ; 0.07847478;3.3010734  ;2.022320   ;-0.13053543;0.00000000 ;0.0000000  ;cluster_2  
5370.0     ;23638.0    ; 0.14735458;4.0000434  ;2.721290   ; 0.06161958;1.25653366 ;0.0000000  ;cluster_3  
5534.0     ;25287.0    ; 0.09738938;4.0000434  ;2.721290   ; 0.01479458;0.56086869 ;0.0000000  ;cluster_4  
6340.0     ;32458.0    ; 0.14176003;4.0000434  ;2.721290   ; 0.03003117;0.84836720 ;0.0000000  ;cluster_5  
4012.0     ;15712.0    ; 0.14009793;4.0000434  ;2.721290   ; 0.04031243;1.04052505 ;0.0000000  ;cluster_6  
6226.0     ;30340.0    ; 0.16429826;4.0000434  ;2.721290   ; 0.07516613;1.54979432 ;0.2710407  ;cluster_7  
6803.0     ;36674.0    ; 0.14793544;4.0000434  ;2.721290   ; 0.01057341;0.49570852 ;0.0000000  ;cluster_8  
6377.5     ;31876.0    ; 0.17083153;4.0000434  ;2.721290   ; 0.07398078;1.52437224 ;0.2456186  ;cluster_9  
6103.0     ;31806.0    ; 0.11759820;4.0000434  ;2.721290   ; 0.04243571;0.97720282 ;0.0000000  ;cluster_10 
6988.0     ;41195.0    ; 0.13809878;4.0000434  ;2.721290   ; 0.08075785;1.64210858 ;0.3633550  ;cluster_11 
7771.0     ;56006.0    ; 0.07624931;3.0458009  ;1.767047   ; 0.05892155;1.15308810 ;0.0000000  ;cluster_12 
6581.5     ;35309.5    ; 0.12450654;4.0000434  ;2.721290   ;-0.02666603;0.09885765 ;0.0000000  ;cluster_13 
5770.0     ;26893.0    ; 0.10051315;4.0000434  ;2.721290   ;-0.03055461;0.08133176 ;0.0000000  ;cluster_14 
8086.0     ;60122.0    ; 0.13775773;4.0000434  ;2.721290   ; 0.06213567;1.15805862 ;0.0000000  ;cluster_15 
8319.0     ;66466.0    ; 0.16436260;4.0000434  ;2.721290   ; 0.13008916;2.25185540 ;0.9731018  ;cluster_16 
7644.5     ;50543.0    ;-0.01170122;0.1448272  ;0.000000   ;-0.23102918;0.00000000 ;0.0000000  ;cluster_17 
9295.5     ;79652.5    ; 0.15387258;4.0000434  ;2.721290   ; 0.02956256;0.61910896 ;0.0000000  ;cluster_18 
