median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
6595.5      ;38043.5     ;-0.003276675;0.2972683494;0.0000000   ;-0.01232313 ;0.21371799  ;0.0000000   ;cluster_0   
5165.5      ;23182.0     ; 0.127219119;3.0458009178;1.7670473   ; 0.06759967 ;1.48549567  ;0.2067421   ;cluster_1   
4805.0      ;21052.5     ;-0.020716185;0.1370776683;0.0000000   ;-0.13053543 ;0.00000000  ;0.0000000   ;cluster_2   
5370.0      ;23638.0     ; 0.086685285;2.0410020350;0.7622484   ; 0.06161958 ;1.25653366  ;0.0000000   ;cluster_3   
5534.0      ;25287.0     ; 0.038840442;1.0155161139;0.0000000   ; 0.01479458 ;0.56086869  ;0.0000000   ;cluster_4   
6340.0      ;32458.0     ; 0.109263970;2.5686796631;1.2899261   ; 0.03003117 ;0.84836720  ;0.0000000   ;cluster_5   
4012.0      ;15712.0     ; 0.094361114;2.2757675577;0.9970140   ; 0.04031243 ;1.04052505  ;0.0000000   ;cluster_6   
6226.0      ;30340.0     ; 0.143058286;3.5229221726;2.2441686   ; 0.07516613 ;1.54979432  ;0.2710407   ;cluster_7   
6803.0      ;36674.0     ; 0.111581972;2.6198321856;1.3410786   ; 0.01057341 ;0.49570852  ;0.0000000   ;cluster_8   
6377.5      ;31876.0     ; 0.151677388;4.0000434273;2.7212898   ; 0.07398078 ;1.52437224  ;0.2456186   ;cluster_9   
6103.0      ;31806.0     ; 0.057972083;1.3788671455;0.1001135   ; 0.04243571 ;0.97720282  ;0.0000000   ;cluster_10  
6988.0      ;41195.0     ; 0.116127878;2.7959234446;1.5171698   ; 0.08075785 ;1.64210858  ;0.3633550   ;cluster_11  
7771.0      ;56006.0     ; 0.015106770;0.5459611565;0.0000000   ; 0.05892155 ;1.15308810  ;0.0000000   ;cluster_12  
6581.5      ;35309.5     ; 0.108144253;2.5850700793;1.3063165   ;-0.02666603 ;0.09885765  ;0.0000000   ;cluster_13  
5770.0      ;26893.0     ; 0.031848383;0.8526763195;0.0000000   ;-0.03055461 ;0.08133176  ;0.0000000   ;cluster_14  
8086.0      ;60122.0     ; 0.070149171;1.5361504383;0.2573968   ; 0.06213567 ;1.15805862  ;0.0000000   ;cluster_15  
8319.0      ;66466.0     ; 0.119183743;2.5229221726;1.2441686   ; 0.13008916 ;2.25185540  ;0.9731018   ;cluster_16  
7644.5      ;50543.0     ;-0.099044635;0.0006953581;0.0000000   ;-0.23102918 ;0.00000000  ;0.0000000   ;cluster_17  
9295.5      ;79652.5     ; 0.056206253;1.1804994917;0.0000000   ; 0.02956256 ;0.61910896  ;0.0000000   ;cluster_18  
