median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
6595.5       ;38043.5      ; 0.0059862327;0.40742261   ;0.0000000    ;0.4556663    ;4.000043     ;2.72129      ;cluster_0    
5165.5       ;23182.0      ; 0.0528024277;1.84470739   ;0.5659538    ;0.4749744    ;4.000043     ;2.72129      ;cluster_1    
4805.0       ;21052.5      ; 0.0152732292;0.58490308   ;0.0000000    ;0.3581364    ;4.000043     ;2.72129      ;cluster_2    
5370.0       ;23638.0      ; 0.0449168503;1.47499862   ;0.1962450    ;0.4670164    ;4.000043     ;2.72129      ;cluster_3    
5534.0       ;25287.0      ; 0.0196114686;0.69211972   ;0.0000000    ;0.4547104    ;4.000043     ;2.72129      ;cluster_4    
6340.0       ;32458.0      ; 0.0503438860;1.71448612   ;0.4357325    ;0.4802039    ;4.000043     ;2.72129      ;cluster_5    
4012.0       ;15712.0      ; 0.0479957903;1.58008768   ;0.3013341    ;0.5014079    ;4.000043     ;2.72129      ;cluster_6    
6226.0       ;30340.0      ; 0.0651737222;2.35659075   ;1.0778371    ;0.4660308    ;4.000043     ;2.72129      ;cluster_7    
6803.0       ;36674.0      ; 0.0562269584;1.92086218   ;0.6421086    ;0.4667714    ;4.000043     ;2.72129      ;cluster_8    
6377.5       ;31876.0      ; 0.0625516299;2.16119434   ;0.8824407    ;0.4660957    ;4.000043     ;2.72129      ;cluster_9    
6103.0       ;31806.0      ; 0.0318620363;1.01282420   ;0.0000000    ;0.4507855    ;4.000043     ;2.72129      ;cluster_10   
6988.0       ;41195.0      ; 0.0454240945;1.48949842   ;0.2107448    ;0.4890151    ;4.000043     ;2.72129      ;cluster_11   
7771.0       ;56006.0      ; 0.0005575693;0.31546734   ;0.0000000    ;0.4795295    ;4.000043     ;2.72129      ;cluster_12   
6581.5       ;35309.5      ; 0.0463690687;1.56388078   ;0.2851272    ;0.4975004    ;4.000043     ;2.72129      ;cluster_13   
5770.0       ;26893.0      ; 0.0280395014;0.95043781   ;0.0000000    ;0.4143175    ;4.000043     ;2.72129      ;cluster_14   
8086.0       ;60122.0      ; 0.0492315244;1.53764543   ;0.2588918    ;0.4980563    ;4.000043     ;2.72129      ;cluster_15   
8319.0       ;66466.0      ; 0.0708206444;2.42025983   ;1.1415062    ;0.5316047    ;4.000043     ;2.72129      ;cluster_16   
7644.5       ;50543.0      ;-0.0279250720;0.04358684   ;0.0000000    ;0.3218790    ;4.000043     ;2.72129      ;cluster_17   
9295.5       ;79652.5      ; 0.0602871143;1.99572205   ;0.7169685    ;0.4560577    ;4.000043     ;2.72129      ;cluster_18   
