median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
6595.5      ;38043.5     ;-0.073417823;0.0005648936;0.000000000 ;0.4556663   ;4.000043    ;2.72129     ;cluster_0   
5165.5      ;23182.0     ; 0.096569698;2.0915584084;0.812804807 ;0.4749744   ;4.000043    ;2.72129     ;cluster_1   
4805.0      ;21052.5     ;-0.040825587;0.0528058194;0.000000000 ;0.3581364   ;4.000043    ;2.72129     ;cluster_2   
5370.0      ;23638.0     ; 0.078700805;1.6198321856;0.341078585 ;0.4670164   ;4.000043    ;2.72129     ;cluster_3   
5534.0      ;25287.0     ;-0.024198035;0.0987486101;0.000000000 ;0.4547104   ;4.000043    ;2.72129     ;cluster_4   
6340.0      ;32458.0     ; 0.095544163;2.0655449760;0.786791375 ;0.4802039   ;4.000043    ;2.72129     ;cluster_5   
4012.0      ;15712.0     ; 0.071410932;1.6108773429;0.332123742 ;0.5014079   ;4.000043    ;2.72129     ;cluster_6   
6226.0      ;30340.0     ; 0.124220901;2.6021034186;1.323349818 ;0.4660308   ;4.000043    ;2.72129     ;cluster_7   
6803.0      ;36674.0     ; 0.102418222;2.1611943365;0.882440736 ;0.4667714   ;4.000043    ;2.72129     ;cluster_8   
6377.5      ;31876.0     ; 0.134603867;2.7959234446;1.517169844 ;0.4660957   ;4.000043    ;2.72129     ;cluster_9   
6103.0      ;31806.0     ; 0.025275312;0.7138115732;0.000000000 ;0.4507855   ;4.000043    ;2.72129     ;cluster_10  
6988.0      ;41195.0     ; 0.079098242;1.6990134316;0.420259831 ;0.4890151   ;4.000043    ;2.72129     ;cluster_11  
7771.0      ;56006.0     ;-0.078447268;0.0011305229;0.000000000 ;0.4795295   ;4.000043    ;2.72129     ;cluster_12  
6581.5      ;35309.5     ; 0.063784695;1.3706338282;0.091880227 ;0.4975004   ;4.000043    ;2.72129     ;cluster_13  
5770.0      ;26893.0     ; 0.002631768;0.3706338282;0.000000000 ;0.4143175   ;4.000043    ;2.72129     ;cluster_14  
8086.0      ;60122.0     ; 0.064510275;1.2840400836;0.005286483 ;0.4980563   ;4.000043    ;2.72129     ;cluster_15  
8319.0      ;66466.0     ; 0.118150157;2.1427109308;0.863957330 ;0.5316047   ;4.000043    ;2.72129     ;cluster_16  
7644.5      ;50543.0     ;-0.171132472;0.0000000000;0.000000000 ;0.3218790   ;4.000043    ;2.72129     ;cluster_17  
9295.5      ;79652.5     ; 0.085536328;1.5436773941;0.264923793 ;0.4560577   ;4.000043    ;2.72129     ;cluster_18  
