median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
6595.5      ;38043.5     ; 0.007268599;0.46894788  ;0.00000000  ;0.4342822   ;4.000043    ;2.72129     ;cluster_0   
5165.5      ;23182.0     ; 0.055047613;3.04580092  ;1.76704732  ;0.4537621   ;4.000043    ;2.72129     ;cluster_1   
4805.0      ;21052.5     ; 0.026552177;1.14513040  ;0.00000000  ;0.3527041   ;4.000043    ;2.72129     ;cluster_2   
5370.0      ;23638.0     ; 0.047633601;2.33728560  ;1.05853199  ;0.4634967   ;4.000043    ;2.72129     ;cluster_3   
5534.0      ;25287.0     ; 0.023763007;1.03062751  ;0.00000000  ;0.4460936   ;4.000043    ;2.72129     ;cluster_4   
6340.0      ;32458.0     ; 0.065358999;4.00004343  ;2.72128983  ;0.4582529   ;4.000043    ;2.72129     ;cluster_5   
4012.0      ;15712.0     ; 0.049460521;2.56867966  ;1.28992606  ;0.4686872   ;4.000043    ;2.72129     ;cluster_6   
6226.0      ;30340.0     ; 0.069291642;4.00004343  ;2.72128983  ;0.4410415   ;4.000043    ;2.72129     ;cluster_7   
6803.0      ;36674.0     ; 0.060852231;3.52292217  ;2.24416857  ;0.4467490   ;4.000043    ;2.72129     ;cluster_8   
6377.5      ;31876.0     ; 0.075042584;4.00004343  ;2.72128983  ;0.4426404   ;4.000043    ;2.72129     ;cluster_9   
6103.0      ;31806.0     ; 0.040404255;1.80414377  ;0.52539017  ;0.4529740   ;4.000043    ;2.72129     ;cluster_10  
6988.0      ;41195.0     ; 0.051254338;2.63831559  ;1.35956199  ;0.4644560   ;4.000043    ;2.72129     ;cluster_11  
7771.0      ;56006.0     ; 0.005737596;0.42347174  ;0.00000000  ;0.4551980   ;4.000043    ;2.72129     ;cluster_12  
6581.5      ;35309.5     ; 0.048942064;2.44374093  ;1.16498733  ;0.4478260   ;4.000043    ;2.72129     ;cluster_13  
5770.0      ;26893.0     ; 0.029082694;1.31251447  ;0.03376087  ;0.3987411   ;4.000043    ;2.72129     ;cluster_14  
8086.0      ;60122.0     ; 0.047921343;2.14878508  ;0.87003148  ;0.4616193   ;4.000043    ;2.72129     ;cluster_15  
8319.0      ;66466.0     ; 0.071529318;4.00004343  ;2.72128983  ;0.4690086   ;4.000043    ;2.72129     ;cluster_16  
7644.5      ;50543.0     ;-0.020765799;0.04589744  ;0.00000000  ;0.2849593   ;4.000043    ;2.72129     ;cluster_17  
9295.5      ;79652.5     ; 0.044382247;1.95865074  ;0.67989714  ;0.4203829   ;4.000043    ;2.72129     ;cluster_18  
