median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
6595.5      ;38043.5     ;-0.07671857 ;0.0000868589;0.0000000   ;0.4342822   ;4.000043    ;2.72129     ;cluster_0   
5165.5      ;23182.0     ; 0.08468635 ;2.1367205672;0.8579670   ;0.4537621   ;4.000043    ;2.72129     ;cluster_1   
4805.0      ;21052.5     ;-0.04817921 ;0.0196309657;0.0000000   ;0.3527041   ;4.000043    ;2.72129     ;cluster_2   
5370.0      ;23638.0     ; 0.02511309 ;0.7100088159;0.0000000   ;0.4634967   ;4.000043    ;2.72129     ;cluster_3   
5534.0      ;25287.0     ;-0.03670353 ;0.0350299770;0.0000000   ;0.4460936   ;4.000043    ;2.72129     ;cluster_4   
6340.0      ;32458.0     ; 0.08670301 ;2.1549453873;0.8761918   ;0.4582529   ;4.000043    ;2.72129     ;cluster_5   
4012.0      ;15712.0     ; 0.04984836 ;1.2557504442;0.0000000   ;0.4686872   ;4.000043    ;2.72129     ;cluster_6   
6226.0      ;30340.0     ; 0.10747169 ;2.6383155913;1.3595620   ;0.4410415   ;4.000043    ;2.72129     ;cluster_7   
6803.0      ;36674.0     ; 0.08148787 ;1.9830100880;0.7042565   ;0.4467490   ;4.000043    ;2.72129     ;cluster_8   
6377.5      ;31876.0     ; 0.11867565 ;2.8539153916;1.5751618   ;0.4426404   ;4.000043    ;2.72129     ;cluster_9   
6103.0      ;31806.0     ;-0.01610343 ;0.1604396978;0.0000000   ;0.4529740   ;4.000043    ;2.72129     ;cluster_10  
6988.0      ;41195.0     ; 0.06915500 ;1.7011903509;0.4224367   ;0.4644560   ;4.000043    ;2.72129     ;cluster_11  
7771.0      ;56006.0     ;-0.06502176 ;0.0029192716;0.0000000   ;0.4551980   ;4.000043    ;2.72129     ;cluster_12  
6581.5      ;35309.5     ; 0.04312685 ;1.0804424035;0.0000000   ;0.4478260   ;4.000043    ;2.72129     ;cluster_13  
5770.0      ;26893.0     ;-0.03635699 ;0.0366806612;0.0000000   ;0.3987411   ;4.000043    ;2.72129     ;cluster_14  
8086.0      ;60122.0     ; 0.07723910 ;1.7423648524;0.4636113   ;0.4616193   ;4.000043    ;2.72129     ;cluster_15  
8319.0      ;66466.0     ; 0.10939987 ;2.4437409265;1.1649873   ;0.4690086   ;4.000043    ;2.72129     ;cluster_16  
7644.5      ;50543.0     ;-0.16475089 ;0.0000000000;0.0000000   ;0.2849593   ;4.000043    ;2.72129     ;cluster_17  
9295.5      ;79652.5     ; 0.03983295 ;0.8921554021;0.0000000   ;0.4203829   ;4.000043    ;2.72129     ;cluster_18  
