Enrichment;Trait;Structures;Gene set;Comment
n.s. STEAM all;ALZ;0;STEAM_all;JBO018
significant STEAM all;ALZ;6;STEAM_all;JBO018
n.s. STEAM top;ALZ;0;STEAM_top;JBO018
significant STEAM top;ALZ;6;STEAM_top;JBO018
n.s. gsMap;ALZ;1;gsMap;JBO018
significant gsMap;ALZ;5;gsMap;JBO018
n.s. STEAM all;ADHD;6;STEAM_all;JBO018
significant STEAM all;ADHD;0;STEAM_all;JBO018
N/A;ADHD;6;STEAM_top;JBO018
n.s. gsMap;ADHD;6;gsMap;JBO018
significant gsMap;ADHD;0;gsMap;JBO018
n.s. STEAM all;ASD;6;STEAM_all;JBO018
significant STEAM all;ASD;0;STEAM_all;JBO018
N/A;ASD;6;STEAM_top;JBO018
n.s. gsMap;ASD;6;gsMap;JBO018
significant gsMap;ASD;0;gsMap;JBO018
n.s. STEAM all;BIP;6;STEAM_all;JBO018
significant STEAM all;BIP;0;STEAM_all;JBO018
n.s. STEAM top;BIP;6;STEAM_top;JBO018
significant STEAM top;BIP;0;STEAM_top;JBO018
n.s. gsMap;BIP;3;gsMap;JBO018
significant gsMap;BIP;3;gsMap;JBO018
n.s. STEAM all;SCZ;6;STEAM_all;JBO018
significant STEAM all;SCZ;0;STEAM_all;JBO018
N/A;SCZ;6;STEAM_top;JBO018
n.s. gsMap;SCZ;1;gsMap;JBO018
significant gsMap;SCZ;5;gsMap;JBO018
