Enrichment;Trait;Structures;Gene set;Comment
n.s. STEAM all;ALZ;6;STEAM_all;10X
significant STEAM all;ALZ;0;STEAM_all;10X
n.s. STEAM top;ALZ;0;STEAM_top;10X
significant STEAM top;ALZ;6;STEAM_top;10X
n.s. gsMap;ALZ;0;gsMap;10X
significant gsMap;ALZ;5;gsMap;10X
N/A;ALZ;1;gsMap;10X
n.s. STEAM all;ADHD;6;STEAM_all;10X
significant STEAM all;ADHD;0;STEAM_all;10X
N/A;ADHD;6;STEAM_top;10X
n.s. gsMap;ADHD;5;gsMap;10X
significant gsMap;ADHD;0;gsMap;10X
N/A;ADHD;1;gsMap;10X
n.s. STEAM all;ASD;6;STEAM_all;10X
significant STEAM all;ASD;0;STEAM_all;10X
N/A;ASD;6;STEAM_top;10X
n.s. gsMap;ASD;5;gsMap;10X
significant gsMap;ASD;0;gsMap;10X
N/A;ASD;1;gsMap;10X
n.s. STEAM all;BIP;6;STEAM_all;10X
significant STEAM all;BIP;0;STEAM_all;10X
N/A;BIP;6;STEAM_top;10X
n.s. gsMap;BIP;1;gsMap;10X
significant gsMap;BIP;4;gsMap;10X
N/A;BIP;1;gsMap;10X
n.s. STEAM all;SCZ;6;STEAM_all;10X
significant STEAM all;SCZ;0;STEAM_all;10X
N/A;SCZ;6;STEAM_top;10X
n.s. gsMap;SCZ;2;gsMap;10X
significant gsMap;SCZ;3;gsMap;10X
N/A;SCZ;1;gsMap;10X
