Astro;CA1-ProS;CA2-IG-FC;CA3;Car3;CR;CT SUB;DG;Endo;L2 IT ENTl;L2 IT ENTm;L2/3 IT CTX;L2/3 IT ENTl;L2/3 IT PPP;L2/3 IT RHP;L3 IT ENT;L4 RSP-ACA;L4/5 IT CTX;L5 IT CTX;L5 PPP;L5 PT CTX;L5/6 IT TPE-ENT;L5/6 NP CTX;L6 CT CTX;L6 IT CTX;L6 IT ENTl;L6b CTX;L6b/CT ENT;Lamp5;Micro-PVM;NP PPP;NP SUB;Oligo;Pvalb;SMC-Peri;Sncg;Sst;Sst Chodl;SUB-ProS;Vip;VLMC
-5.643843e-03; 7.261473e-02; 1.168747e-01; 1.425185e-01; 1.332675e-01; 1.919920e-02; 1.226118e-01; 9.471150e-02;-1.224969e-01; 1.188220e-01; 1.612679e-01; 8.402301e-02; 1.588605e-01; 7.422688e-02; 1.493864e-01; 1.164788e-01; 3.797258e-02; 6.752917e-02; 6.613701e-02; 9.715926e-02; 8.304946e-02; 1.312207e-01;-6.343463e-03;-2.398645e-02; 9.342952e-02; 1.230481e-01; 8.673661e-02; 4.758353e-02; 5.269314e-02;-7.397794e-02; 4.984117e-02; 2.106305e-02; 8.488924e-02; 1.239086e-02; 2.283372e-02; 7.671239e-02; 4.674129e-02; 1.170685e-01; 2.039368e-01; 9.738128e-03; 3.299148e-02
 7.857812e-02; 1.066957e-02;-7.070926e-02;-1.603874e-02;-6.642102e-02; 6.203913e-02; 9.285764e-03;-1.023939e-02; 8.641873e-02;-6.787704e-02;-2.587407e-02;-1.644901e-02;-1.066654e-02; 1.124603e-02;-2.794958e-02; 8.103678e-03;-1.315404e-03; 2.778503e-02; 4.081893e-02;-2.723961e-02;-1.544021e-02;-2.534234e-02; 5.763969e-02; 8.385464e-02;-2.624312e-02; 6.158947e-03; 3.296125e-02; 5.468946e-02;-3.818897e-02; 6.291900e-02; 2.602635e-02; 2.357311e-02; 8.353742e-02; 9.611329e-02; 3.099166e-02; 3.920025e-05;-6.927218e-03; 6.526596e-02; 4.201582e-02; 1.837477e-01; 2.912937e-02
-3.936520e-03; 5.356698e-03;-9.359777e-05; 5.256863e-04; 1.690333e-01; 5.287077e-02; 1.356054e-02; 5.578337e-02; 4.005507e-05;-8.526757e-03;-5.469694e-03; 2.890397e-02;-3.036613e-02; 5.359975e-02;-7.343196e-03; 3.203218e-03; 8.868901e-03;-2.198034e-02; 3.996986e-02; 1.097810e-01; 2.205460e-02; 1.431020e-02; 8.615069e-02; 8.661443e-02; 5.732543e-02; 7.382430e-02; 1.305531e-01; 1.101762e-01; 8.074102e-02; 2.895848e-01; 6.820041e-02; 4.283533e-02; 6.913818e-02; 7.796029e-02; 1.001618e-01; 1.698039e-02; 7.050245e-02; 6.378989e-02; 1.201039e-01; 1.225811e-01; 8.582865e-02
-9.283157e-02;-5.187872e-03; 6.784964e-02;-2.032943e-02;-6.167427e-02;-3.354959e-02;-1.784534e-02;-5.405821e-03; 1.323099e-01;-3.956605e-02; 2.325909e-03; 3.443612e-02;-3.691605e-02;-6.627377e-03;-9.306011e-03;-1.846065e-02;-4.553632e-02;-9.510072e-03;-8.311082e-03;-1.620346e-02;-1.054269e-02; 3.352299e-03;-2.828098e-02;-1.636580e-02; 3.120072e-02;-1.416933e-02;-5.494553e-02; 4.962407e-04; 1.885473e-02;-7.870354e-02;-3.941195e-02;-9.985836e-02;-4.528737e-02;-3.884902e-02; 1.597818e-02;-3.309671e-02;-3.162721e-03;-1.007194e-02;-9.174348e-02;-2.917707e-02;-5.727978e-02
-7.280562e-02;-1.867537e-02;-2.461266e-02;-3.312746e-02;-6.287688e-02;-5.958068e-02; 7.348776e-03; 4.420671e-02;-2.152058e-02;-1.141385e-01;-2.410542e-02; 2.120015e-02;-2.269383e-02;-2.709524e-02;-6.376791e-03;-7.853775e-02;-1.759839e-03; 2.148921e-02;-2.518882e-02;-1.851944e-02; 6.610919e-03;-4.962870e-02;-2.113226e-02; 3.210077e-03; 1.901841e-04;-2.942113e-02; 5.444651e-02;-5.355833e-02;-7.387896e-02;-1.162831e-02;-5.426777e-02;-7.027443e-02; 6.640421e-02;-1.442490e-02;-7.417676e-02;-5.947464e-02;-1.029919e-01;-4.092887e-02;-2.191924e-02;-3.523098e-02;-2.332154e-02
-4.166889e-02;-8.481014e-02;-2.158360e-02;-9.692667e-02;-3.519088e-02; 1.114266e-02;-2.510811e-02;-6.329926e-02;-1.018749e-02;-3.477761e-02;-6.456354e-02;-5.549532e-02;-6.293412e-02; 3.551592e-03;-6.325648e-02;-1.011078e-02; 8.107651e-02; 2.751203e-02; 4.325594e-02;-3.159278e-02;-3.170531e-02; 2.195127e-02; 4.372247e-02; 3.536676e-02;-1.253002e-02;-6.569838e-02; 3.668122e-02;-2.853502e-02; 1.876629e-02;-3.964169e-02;-1.232639e-02; 2.208757e-02;-2.008550e-03; 3.009184e-02;-1.370225e-02;-5.738440e-02;-4.252864e-02;-1.092340e-02; 7.728306e-03;-5.709432e-03;-2.868314e-02
 7.533408e-02; 2.476383e-02; 1.183488e-01; 8.886868e-03; 5.887314e-02; 1.295375e-02;-4.035054e-02; 5.902213e-02; 1.070625e-02; 5.702634e-02;-1.549945e-02;-3.023006e-02; 2.446815e-02; 6.338126e-03;-1.169780e-02;-2.740074e-02;-1.060909e-02;-4.235017e-02;-5.442954e-02; 2.096882e-02;-4.002611e-02;-8.921424e-03;-1.062500e-02;-1.047888e-02;-6.027297e-02;-5.805706e-02;-1.375669e-02; 2.876981e-02;-3.470601e-02; 1.887137e-02; 2.095402e-02;-1.406196e-02; 8.065970e-02;-2.741477e-02; 6.315469e-03;-3.873138e-02; 1.093502e-02; 5.876259e-02;-4.509262e-02;-1.456002e-03;-2.721999e-03
 1.342037e-02; 4.377303e-02;-3.750128e-03; 9.250528e-02; 1.494667e-01; 3.309176e-02; 6.481168e-02; 4.357874e-02;-2.996129e-03; 7.849253e-02; 8.874311e-02; 7.660195e-02; 3.368905e-02; 6.228863e-02; 8.912371e-02; 1.116077e-02;-5.834750e-02; 4.953203e-02; 2.777151e-02; 5.328455e-02;-1.787126e-02; 6.152768e-02; 3.828886e-03; 2.996133e-02; 7.559624e-02; 8.054376e-02; 3.557276e-02; 5.155790e-02; 7.344687e-02; 1.060083e-02; 2.067356e-02; 4.452225e-02; 9.129494e-02; 6.498928e-03;-2.442604e-02; 1.526818e-02;-2.402056e-03; 2.359801e-03; 1.701574e-02; 3.493624e-02; 6.904104e-03
-3.026149e-03;-6.434595e-02;-4.944852e-02; 7.893200e-02; 1.223883e-01; 7.080943e-03;-2.773723e-02;-1.013739e-02; 8.616141e-02; 1.767756e-02;-1.289104e-03;-5.043382e-02;-3.200898e-02;-2.883788e-03;-2.241325e-02;-6.002272e-02;-2.743985e-02;-9.846354e-02;-2.005531e-02; 7.860323e-02;-6.046504e-02; 9.813489e-03; 5.138495e-02;-3.272293e-02;-2.214670e-02; 7.427955e-02;-4.724362e-02;-3.141863e-02; 4.029544e-02; 9.979315e-03; 2.537455e-02; 9.231650e-03;-3.082449e-02;-1.709969e-02;-5.468900e-03;-1.575239e-02; 2.250463e-02; 5.522891e-02; 1.330060e-01; 9.833006e-02;-1.567857e-04
-8.128772e-02;-2.196423e-02;-6.010712e-02; 4.467311e-02;-6.771569e-02;-8.440339e-03;-3.488456e-02; 4.720101e-02;-5.439991e-02;-8.086881e-03; 5.736436e-02;-4.943753e-02;-2.014189e-02;-3.931093e-02; 3.715535e-04;-3.463639e-02;-4.726923e-02;-1.913925e-02;-5.331202e-03; 1.081839e-02;-4.007922e-02;-4.653033e-03; 1.415844e-03;-9.159430e-03;-3.781437e-02;-1.962494e-02;-3.462309e-02; 3.661752e-03; 4.511393e-02;-1.266830e-01;-1.273494e-02;-1.983134e-02;-5.256981e-02;-1.970683e-02;-6.594112e-02; 6.525267e-03; 6.128803e-02;-1.127464e-02;-2.355751e-02;-2.615168e-02; 4.181626e-02
