symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
TBR1	0.8066279827146083	0.8891512422680178	No data	No data	No data	0.18901714243829207	No data	No data	T-box brain transcription factor 1
CHD8	0.7568595839392388	0.8337379192252662	No data	No data	No data	0.37952359705336064	No data	No data	chromodomain helicase DNA binding protein 8
GRIN2B	0.7172771705935274	0.805983072624364	No data	0.8064460767137689	No data	0.2891539208107286	No data	No data	glutamate ionotropic receptor NMDA type subunit 2B
NLGN3	0.7154873886876283	0.8227994330366645	No data	No data	No data	0.29614034829514624	No data	0.4913482462929725	neuroligin 3
DRD2	0.7103377521664976	0.6590683102315157	No data	0.9964024119312952	No data	0.3276978604153633	No data	No data	dopamine receptor D2
SHANK2	0.704722658245316	0.7913050808734199	No data	No data	No data	0.18942343041810028	No data	No data	SH3 and multiple ankyrin repeat domains 2
MECP2	0.6845419301034832	0.8203257307024044	No data	No data	No data	0.5855810112158526	No data	0.2681582748264861	methyl-CpG binding protein 2
TMLHE	0.6228994556735242	0.7188746008145547	No data	No data	No data	0.10889768875943547	No data	No data	trimethyllysine hydroxylase, epsilon
HTR2A	0.6120687614734187	No data	No data	0.9964006734463583	No data	0.20811925795735642	No data	No data	5-hydroxytryptamine receptor 2A
HTR2C	0.6055327736343483	No data	No data	0.9954475018491735	No data	0.012158615952232422	No data	No data	5-hydroxytryptamine receptor 2C
CNTNAP2	0.6044784034858997	0.7262248836480197	No data	No data	No data	0.467865241239133	No data	No data	contactin associated protein 2
HTR1A	0.6001035695903647	No data	No data	0.982853640032837	No data	0.08542328435795872	No data	No data	5-hydroxytryptamine receptor 1A
KDM5B	0.5739096742663744	0.662941121005258	No data	No data	No data	0.03343619386863916	No data	No data	lysine demethylase 5B
GRIN1	0.5734326859718801	0.48769559541732266	No data	0.8064460767137689	No data	No data	No data	0.6697462649916666	glutamate ionotropic receptor NMDA type subunit 1
NRXN1	0.5706711110979603	0.6573066404420284	No data	No data	No data	0.3702010235259891	No data	No data	neurexin 1
MEF2C	0.5705506416204916	0.7434193045225486	No data	No data	No data	0.41572580096677786	No data	No data	myocyte enhancer factor 2C
GRIN2A	0.5687915789407837	0.5001191174286131	No data	0.8075388774959066	No data	0.13726351780589718	No data	No data	glutamate ionotropic receptor NMDA type subunit 2A
POGZ	0.564922576327175	0.7414800803583199	No data	No data	No data	0.10820885790732486	No data	No data	pogo transposable element derived with ZNF domain
PTCHD1	0.5626209192757533	0.6479762364253177	No data	No data	No data	0.12532940500283765	No data	0.2882807842274307	patched domain containing 1
POLG	0.5530341589243434	0.9096991978314798	No data	No data	No data	No data	No data	No data	DNA polymerase gamma, catalytic subunit
AP2M1	0.5469781849333587	0.7197900643721594	No data	No data	No data	No data	No data	No data	adaptor related protein complex 2 subunit mu 1
KMT2E	0.5431356821547604	0.6275709343616027	No data	No data	No data	No data	No data	No data	lysine methyltransferase 2E (inactive)
CHD2	0.5397695925293311	0.7084126544058474	No data	No data	No data	0.1063878895820337	No data	No data	chromodomain helicase DNA binding protein 2
SHANK3	0.5392913050634699	0.6989109039901964	No data	No data	No data	0.605457755105306	No data	No data	SH3 and multiple ankyrin repeat domains 3
WFS1	0.5263974603483527	0.8642120415876866	No data	No data	No data	0.03343619386863916	No data	No data	wolframin ER transmembrane glycoprotein
TCF20	0.5246509776925927	0.6334223716762694	No data	No data	No data	0.06822334506530414	No data	No data	transcription factor 20
NLGN4X	0.523778611885685	0.6288635192669367	No data	No data	No data	0.2663299298771477	No data	No data	neuroligin 4 X-linked
ACTL6B	0.521005300681365	0.8313290818732415	No data	No data	No data	0.5137015239818198	No data	No data	actin like 6B
SCN2A	0.520962816469025	0.6656842233847251	No data	0.16739205642569982	No data	0.32797517456507186	No data	No data	sodium voltage-gated channel alpha subunit 2
RPL10	0.5202144437899415	0.6839221473130738	No data	No data	No data	0.03647584785669726	No data	No data	ribosomal protein L10
SLC6A2	0.5201323149333449	No data	No data	0.854058335811326	No data	0.030396539880581056	No data	No data	solute carrier family 6 member 2
SYNCRIP	0.5197216706503618	0.6839221473130737	No data	No data	No data	No data	No data	No data	synaptotagmin binding cytoplasmic RNA interacting protein
ALDH5A1	0.5177796071975356	No data	No data	0.8491328748217953	No data	0.05150524813098457	No data	No data	aldehyde dehydrogenase 5 family member A1
SLC6A4	0.5108787399447079	0.006079307976116211	No data	0.8161991030999426	No data	0.46964305675485873	No data	No data	solute carrier family 6 member 4
FOXP1	0.5090786121808037	0.6133167005375919	No data	No data	No data	0.20827883101106573	No data	No data	forkhead box P1
OXTR	0.5048808357385641	No data	No data	0.7908524019306696	No data	0.7927647138278551	No data	No data	oxytocin receptor
VAMP2	0.504101788736396	0.8274613634158176	No data	No data	No data	0.03495602086266821	No data	No data	vesicle associated membrane protein 2
KCNN2	0.5018976555474847	0.8182883631585223	No data	No data	No data	0.14590339142678904	No data	No data	potassium calcium-activated channel subfamily N member 2
TRANK1	0.5011946261877791	0.6595416822530767	No data	No data	No data	No data	No data	No data	tetratricopeptide repeat and ankyrin repeat containing 1
ADRA2A	0.4972799605853408	No data	No data	0.8172278616560219	No data	0.015198269940290528	No data	No data	adrenoceptor alpha 2A
ADRA2B	0.49681798576698494	No data	No data	0.8172278616560219	No data	No data	No data	No data	adrenoceptor alpha 2B
ADRA2C	0.49681798576698494	No data	No data	0.8172278616560219	No data	No data	No data	No data	adrenoceptor alpha 2C
ADGRL1	0.49469084838113303	0.8137288821764351	No data	No data	No data	No data	No data	No data	adhesion G protein-coupled receptor L1
SLC9A9	0.492270208415925	0.49571211030147044	No data	No data	0.607930797611621	0.5149691352326711	No data	No data	solute carrier family 9 member A9
GRIN3A	0.49072538146572	No data	No data	0.8064460767137689	No data	0.015198269940290528	No data	No data	glutamate ionotropic receptor NMDA type subunit 3A
GRIN3B	0.49063298650204873	No data	No data	0.8064460767137689	No data	0.012158615952232422	No data	No data	glutamate ionotropic receptor NMDA type subunit 3B
GRIN2C	0.49063298650204873	No data	No data	0.8064460767137689	No data	0.012158615952232422	No data	No data	glutamate ionotropic receptor NMDA type subunit 2C
GRIN2D	0.49026340664736406	No data	No data	0.8064460767137689	No data	No data	No data	No data	glutamate ionotropic receptor NMDA type subunit 2D
PRR12	0.4863465565509184	0.6394081033546228	No data	No data	No data	0.03343619386863916	No data	No data	proline rich 12
TCF4	0.4793442704750882	0.6292673610312991	No data	No data	No data	0.08553264953082146	No data	No data	transcription factor 4
SORCS3	0.47550538673324727	0.7821702545772746	No data	No data	No data	No data	No data	No data	sortilin related VPS10 domain containing receptor 3
PTEN	0.4746395116967301	0.6140101055877374	No data	No data	No data	0.5954995757749222	No data	No data	phosphatase and tensin homolog
KMT5B	0.4723650284417821	0.6209191978697682	No data	No data	No data	0.038502283848736	No data	No data	lysine methyltransferase 5B
STXBP1	0.46397588067536744	0.6088176413918838	No data	No data	No data	0.09823683795139551	No data	No data	syntaxin binding protein 1
ASXL3	0.46393534444858486	0.6105107308545625	No data	No data	No data	No data	No data	No data	ASXL transcriptional regulator 3
TRPM3	0.4634018072392432	0.7599134970145264	No data	No data	No data	0.046945767148897415	No data	No data	transient receptor potential cation channel subfamily M member 3
NCKAP1	0.46296123155074487	0.607930797611621	No data	No data	No data	0.07301586618647575	No data	No data	NCK associated protein 1
CAMK4	0.4623443982105619	0.7599134970145264	No data	No data	No data	0.012158615952232422	No data	No data	calcium/calmodulin dependent protein kinase IV
KAT8	0.4619748183558772	0.7599134970145264	No data	No data	No data	No data	No data	No data	lysine acetyltransferase 8
DPYD	0.461516786472678	0.6063272062460067	No data	No data	No data	0.056297769252156175	No data	No data	dihydropyrimidine dehydrogenase
POLGARF	0.45490624123145484	0.7482862243838376	No data	No data	No data	No data	No data	No data	POLG alternative reading frame
MBD5	0.45489405617083006	0.5972920086534177	No data	No data	No data	0.07430265304142036	No data	No data	methyl-CpG binding domain protein 5
