symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
DRD2	0.7320375073535252	0.7370612556714713	No data	0.9995417214159186	No data	0.915258527290182	No data	No data	dopamine receptor D2
DRD3	0.7064259683390096	0.607930797611621	No data	0.998037323565405	No data	0.3781540308168377	No data	0.2874904741905356	dopamine receptor D3
GRIN2A	0.6802654940555158	0.5445737146066335	No data	0.9269216918324061	No data	0.8157410739342142	No data	0.4695657480752161	glutamate ionotropic receptor NMDA type subunit 2A
ESR2	0.6774344855292838	0.6685436202582655	No data	0.9454084886164152	No data	0.08027528908348625	No data	No data	estrogen receptor 2
RTN4R	0.6656263429709972	0.856840549716722	No data	No data	No data	0.8235295259567634	No data	0.4442758268945727	reticulon 4 receptor
HTR1A	0.6276139327593435	No data	No data	0.9962050964392651	No data	0.5328309395116942	No data	0.4288778685742333	5-hydroxytryptamine receptor 1A
SHANK3	0.6269444273135608	0.7499011988352717	No data	No data	No data	0.20732529859066962	No data	0.7134816589484556	SH3 and multiple ankyrin repeat domains 3
HTR2A	0.6255215518600459	No data	No data	0.9995231512273979	No data	0.40853497725393756	No data	0.40434997176142945	5-hydroxytryptamine receptor 2A
MTHFR	0.6241987882978624	0.7468421201434681	No data	No data	No data	0.817960114145683	No data	No data	methylenetetrahydrofolate reductase
DRD4	0.6192633691619043	No data	No data	0.9978064350252572	No data	0.4166956931529976	No data	No data	dopamine receptor D4
SLC6A4	0.6185061623055979	No data	No data	0.9702216525824344	No data	0.5186534771534649	No data	0.7129677298656288	solute carrier family 6 member 4
SLC6A3	0.6139631859988088	No data	No data	0.9527665470492823	No data	0.6893390325471566	No data	0.8367525724393152	solute carrier family 6 member 3
HTR1B	0.6135482007404343	No data	No data	0.9689566454493055	No data	0.41208746908652577	No data	0.6225211367543	5-hydroxytryptamine receptor 1B
HTR2C	0.613507653845733	No data	No data	0.9993040727563164	No data	0.19738864561611455	No data	No data	5-hydroxytryptamine receptor 2C
HTR4	0.6126778796616608	No data	No data	0.9689566454493055	No data	0.6491302414294222	No data	0.2877944395893414	5-hydroxytryptamine receptor 4
HTR6	0.6054228344495076	No data	No data	0.9692047303863518	No data	0.5333972129878705	No data	No data	5-hydroxytryptamine receptor 6
HTR3A	0.595603321888589	No data	No data	0.9718673181229109	No data	0.15709840752339443	No data	No data	5-hydroxytryptamine receptor 3A
SLC6A2	0.5945627613312728	No data	No data	0.9570979577508115	No data	0.30747425199137907	No data	0.24925162702076462	solute carrier family 6 member 2
