Amygdala excitatory;Astrocyte;Bergmann glia;Cerebellar inhibitory;CGE interneuron;Choroid plexus;Committed oligodendrocyte precursor;Deep-layer corticothalamic and 6b;Deep-layer intratelencephalic;Deep-layer near-projecting;Eccentric medium spiny neuron;Ependymal;Fibroblast;Hippocampal CA1-3;Hippocampal CA4;Hippocampal dentate gyrus;LAMP5-LHX6 and Chandelier;Lower rhombic lip;Mammillary body;Medium spiny neuron;MGE interneuron;Microglia;Midbrain-derived inhibitory;Miscellaneous;Oligodendrocyte;Oligodendrocyte precursor;Splatter;Thalamic excitatory;Upper rhombic lip;Upper-layer intratelencephalic;Vascular
-1.866077e-02; 1.008542e-01; 1.404313e-01; 1.241720e-01; 1.973598e-01; 3.778999e-02; 1.400555e-01; 1.534220e-02; 5.535114e-02; 7.028392e-02; 1.274152e-01; 3.309941e-02; 7.859766e-02; 6.113624e-02;-2.446735e-02; 9.473861e-02; 1.212334e-01; 1.203087e-01; 1.251749e-01; 4.670843e-02; 1.357683e-01; 1.106038e-01; 1.074133e-01; 6.722938e-02; 2.276863e-01; 8.614183e-02; 1.290079e-01; 1.594944e-01; 1.502608e-01; 8.938341e-02; 1.675962e-01
 5.954351e-02; 1.762825e-01; 1.397939e-01; 5.419892e-02;-6.145548e-02;-1.665464e-01;-8.323826e-04;-8.453112e-02; 1.166144e-03;-7.349390e-02;-1.112298e-02; 1.897361e-02;-2.476875e-03; 6.871619e-02; 2.271988e-02; 6.439658e-02; 2.729135e-02;-9.607506e-02; 3.852262e-02;-9.916244e-02;-7.045800e-02;-2.933638e-02;-6.930898e-04; 1.818241e-02;-2.451044e-02; 9.684655e-02;-1.596913e-02;-2.433148e-02;-1.380358e-01; 5.695634e-02;-1.297294e-02
-1.265660e-01;-6.679297e-03; 5.656772e-03;-1.145846e-01;-9.627631e-02;-4.969309e-02;-6.410451e-02; 1.696634e-03;-4.298739e-02; 4.307936e-02; 6.180691e-02; 6.180171e-02;-4.313583e-02;-1.440405e-01;-1.258331e-01;-1.403619e-01;-5.482963e-02; 3.652842e-02;-2.758099e-02;-8.681220e-03;-3.929720e-02; 4.117146e-02;-1.177638e-02;-7.054055e-02;-5.035823e-02; 7.609871e-02;-2.548936e-02;-1.530052e-02;-6.563743e-02;-1.034119e-01;-8.619470e-02
 9.905868e-02;-2.506424e-02;-4.305940e-02; 8.683715e-02; 3.397372e-02; 1.450196e-02;-1.082206e-02; 7.517867e-03; 4.100837e-02;-1.577970e-02; 1.290625e-01; 5.597680e-02;-1.878103e-02; 9.533224e-02; 1.295054e-01; 4.721144e-02; 1.708134e-02; 7.345544e-02;-3.556540e-03;-4.733461e-03; 1.589594e-01;-4.797905e-02; 9.455730e-02; 2.301258e-02;-5.187379e-02;-1.276698e-03; 6.030409e-02; 9.669173e-03; 4.736630e-02; 6.688814e-02;-4.800264e-03
 8.951452e-02; 2.283320e-02; 7.994740e-02; 9.669979e-02; 7.214223e-02; 1.012221e-03; 6.835380e-03;-2.903926e-02; 9.541184e-02; 2.511667e-02; 5.432441e-02;-6.061232e-02;-4.243342e-02; 7.737241e-02; 6.660210e-02; 4.990547e-02; 1.310662e-01; 1.034566e-01; 5.877576e-02; 6.389403e-02; 5.425158e-02;-3.060113e-02; 1.983098e-02; 5.570940e-02;-3.484010e-02;-2.299461e-02; 3.438069e-02; 1.243936e-01; 1.029140e-01; 7.418306e-02;-2.840834e-02
-2.308962e-02;-4.428464e-02;-6.980516e-02; 2.491753e-02; 2.323373e-02;-7.280775e-02; 1.086360e-03; 1.824234e-02;-2.253473e-02; 3.492994e-02; 1.743960e-02; 1.302334e-02;-1.160432e-01; 5.158481e-02;-2.116181e-02;-1.959663e-02; 1.551826e-02;-3.858989e-02; 1.566021e-02; 1.101992e-02; 6.016472e-02;-6.350382e-02; 3.431727e-02;-1.389457e-03;-4.376211e-02;-1.939373e-02; 3.943202e-02; 4.470103e-02; 4.609103e-03;-2.148814e-02;-2.159860e-02
-2.259978e-02;-1.826105e-02;-1.707126e-02;-9.433979e-02;-7.401667e-02;-3.431060e-02;-3.487351e-02;-6.773298e-02;-2.891401e-02;-6.057578e-02; 7.769720e-02;-9.059425e-02;-1.013954e-01; 3.945187e-02;-1.457233e-02;-6.318942e-02;-3.598949e-02;-4.254795e-02;-1.006174e-01; 2.065494e-02; 1.335192e-01;-6.002971e-02;-7.550967e-04;-1.207911e-03; 3.532086e-02;-7.467439e-02;-3.330484e-02;-2.788283e-02;-1.304997e-01;-3.184060e-02;-4.100847e-02
-1.131229e-02;-5.346117e-02;-5.871235e-02;-3.778486e-02;-6.305093e-02; 5.984167e-02;-7.397474e-02;-3.899906e-03; 7.431394e-03; 1.770992e-03; 6.749704e-02; 1.199304e-02;-5.633314e-02;-4.202844e-04; 1.512268e-02; 1.055507e-02;-2.093953e-02;-5.269602e-02;-6.806310e-02;-3.913447e-02; 4.355847e-03;-5.941787e-02;-2.640166e-02;-2.072322e-02;-1.064401e-01;-9.829298e-02;-3.252892e-02;-5.678851e-02;-1.141434e-02; 9.383570e-03;-6.673764e-02
 4.629822e-02;-3.464763e-03; 2.502942e-02;-4.244956e-03; 7.471018e-02;-8.028904e-02; 1.698563e-02;-1.011034e-02;-1.647077e-02; 1.331416e-02; 1.734816e-02;-2.593169e-02;-5.139698e-02; 2.887663e-02; 6.627985e-02; 4.426712e-02; 4.204983e-02;-5.196892e-03;-1.648897e-02; 1.891883e-02;-3.197981e-02; 4.560297e-02; 5.382320e-02;-1.162063e-02; 6.328727e-02;-2.051983e-02; 4.641988e-02; 1.656794e-01; 6.966060e-02; 1.302303e-02; 2.906238e-02
 2.344450e-02;-4.013494e-02; 1.259436e-02;-1.452893e-02;-2.646034e-02; 4.878638e-03; 5.750779e-02; 1.184641e-02; 8.544027e-03;-2.993704e-02; 7.339077e-04; 4.990638e-02; 8.787629e-02;-3.744467e-02;-6.064505e-02;-4.807761e-03; 7.159494e-02; 4.993568e-02; 2.414959e-02; 6.486232e-02; 1.232252e-02; 6.131802e-02; 3.333109e-02; 4.664652e-03;-1.527490e-03;-5.189813e-03; 1.516436e-02; 3.872938e-02;-3.961926e-02; 1.366911e-02; 5.039815e-02
