symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
TBR1	0.8165416450009416	No data	No data	0.29680446706353614	0.9337805755724766	0.9066612367713315	0.607930797611621	0.607930797611621	0.9360722249447112	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2717580872302361	No data	0.36377059102085374	No data	0	0	0	0	0	0.9633450000000003	No data	-0.9267512410369553	-0.8923397978047961	0	No data	No data	0	1	1
CHD8	0.7931963662925531	No data	No data	0.15198269940290526	0.9409759302815233	0.8464592008411808	0.607930797611621	0.607930797611621	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.29095729407675924	No data	No data	No data	1	0	0	0	0	0.8120899999999999	No data	-0.9791505791505791	-0.8831952700614967	0	No data	No data	0	-1	-1
NLGN3	0.7268853856854389	No data	No data	No data	0.7810041271465109	0.865457038266544	0.607930797611621	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.30836701733339333	No data	0.6918805248948628	No data	0	0	0	0	0	0.9292450000000002	No data	No data	-0.3465848295682733	0	No data	No data	-0.24822999999999987	0.5	0
SHANK2	0.7252657074547647	No data	No data	0.1899783742536316	0.9189614883497108	0.7599134970145264	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2102020534548739	No data	0.43473131337207027	No data	1	0	0	0	0	0.46728000000000025	No data	-0.7756205184776613	-0.7253781120135219	No data	No data	No data	0	0.5	0
DRD2	0.7164737797413842	0.9963926444645673	0.6858566750614393	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.33282922946215093	No data	0.26335562152535424	1	1	0	1	1	0	0.7855550000000001	1	-0.8243794815223386	-0.955247847655318	0	255	No data	0	0.75	0.5
TMLHE	0.6366576736916937	No data	No data	No data	0.7695666984323499	0.3039653988058105	No data	0.607930797611621	0.7599134970145264	No data	0.006079307976116211	No data	No data	No data	No data	No data	No data	No data	0.12423545653447454	No data	No data	No data	0	0	0	0	0	No data	No data	No data	No data	0	No data	No data	0	-1	-1
PTCHD1	0.633985344588913	No data	No data	No data	0.8151125759750333	0.607930797611621	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14231327484147854	No data	0.5660882717693412	No data	1	0	0	0	0	0.90428	No data	No data	-0.3207831703663197	0	No data	No data	0	0.5	0
NLGN4X	0.6273868333710225	No data	No data	No data	0.808757833099867	0.607930797611621	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2972242050407114	No data	No data	No data	1	0	0	0	0	0	No data	No data	-0.1250770947412433	0	No data	No data	-0.9417899999999999	0.5	0
HTR1A	0.6266510588027407	0.9820134483414564	0.18705734007117444	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0907031165689822	No data	No data	1	1	0	1	1	0	0.40758500000000025	1	-0.013017098731384458	-0.29320286964309744	0	255	No data	0	1	0.5
GRIN2B	0.6241673387772174	0.48532457053284517	No data	0.576510917172744	0.670074834700809	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.31996648998932165	No data	0.3885657240801077	1	1	0	1	1	0	0.9258749999999999	0	-0.9940430226144512	-0.9036090904800023	0	255	No data	0	1	1
NRXN1	0.6142522635496075	No data	No data	0.15198269940290526	0.7739094149328739	0.7599134970145264	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4047112949548426	No data	No data	No data	1	0	0	0	0	0.963505	No data	-0.8740209597352455	-0.33379179974214385	0	No data	No data	-0.22528250000000014	1	0
CNTNAP2	0.5938862498096571	No data	No data	No data	0.48330498410123873	0.7599134970145264	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.563314089712246	No data	0.5324511229981581	No data	0	0	0	0	0	0.688205	No data	-0.40794263651406504	-0.3315356520723639	0	No data	No data	0	0.75	0.5
SHANK1	0.5779191017844193	No data	No data	No data	No data	0.793687430215172	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2233309332298079	No data	No data	No data	1	0	0	0	0	0.694585	No data	-0.8113623827909542	-0.8744764032985827	0	No data	No data	0	1	0.5
POGZ	0.5725678445286227	No data	No data	0.15198269940290526	0.901310614231578	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11359522416952839	No data	No data	No data	1	0	0	0	0	0.684395	No data	-0.9574186431329288	-0.8962429866856916	0	No data	No data	0	-1	-1
MARK2	0.5699268033174483	No data	0.0499948701875689	0.2146144491110485	0.8766156342572761	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1329666428653543	No data	No data	No data	1	0	1	1	0	0.8413699999999998	No data	-0.8977385548814121	-0.9004318810833447	0	No data	No data	-0.11484750000000013	-1	-1
POLG	0.5650271801484833	No data	No data	No data	0.9288188762802774	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	1	1	0	0.32606999999999997	No data	-0.20948703805846658	-0.9024568259620921	0	255	No data	No data	-1	0
MEF2C	0.5533266616795417	No data	0.5039706961540262	No data	0.7743518534578024	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.44261168205737283	No data	No data	No data	0	0	0	0	0	0.6828749999999999	No data	-0.9488141202426916	-0.9435314113849566	0	No data	No data	-0.06976750000000002	0.5	-1
GIGYF1	0.5434323535306014	No data	No data	0.15198269940290526	0.8523817701966884	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1587380402801499	No data	No data	No data	0	0	0	0	0	0.5797100000000001	No data	-0.3887479316050745	-0.6062487521094059	0	No data	No data	0	-1	-1
SCN2A	0.5424749635921579	0.15615209145652495	0.046977123457641115	0.15198269940290526	0.8269227036444645	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.34432217555675765	No data	0.43383461544559315	1	1	0	1	1	0	0.9052349999999997	1	-0.9755102040816327	-0.7879993830187495	0	No data	No data	-0.6920200000000001	1	0.5
FOXP1	0.5332052384770039	No data	0.6289261350503201	0.4167986072438897	0.6670351807127508	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.21870997255718605	No data	0.3803823000655913	No data	0	0	0	0	0	0.859675	No data	-0.9024820739106454	-0.9249791231689571	0	No data	No data	0	-1	-1
SHANK3	0.5282837246207237	No data	No data	0.15198269940290526	0.8098340411828592	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6071922465765158	No data	0.6105147148566	No data	1	0	No data	No data	No data	0.5786850000000001	No data	-0.744180915609487	-0.8864320568309888	No data	No data	No data	0	0.5	0
SLC9A9	0.5280788135300811	No data	No data	No data	0.5609089357234308	No data	No data	0.607930797611621	0.607930797611621	No data	0.006079307976116211	No data	No data	No data	No data	No data	No data	0.607930797611621	0.5158683069381511	No data	0.33846547157027007	No data	1	0	0	0	0	0.6124049999999996	No data	0.07567567567567557	-0.3253463742925253	0	No data	No data	-0.03488249999999997	-1	-1
WFS1	0.5263667004396837	No data	No data	No data	0.8641614438736215	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	0	0	0	0	0	0.3426949999999998	No data	0.7615002757859901	-0.7407455288547526	0	No data	No data	No data	-1	0
ACTL6B	0.5214538268994532	No data	No data	No data	0.8313290818732415	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5284573553971819	No data	No data	No data	0	0	0	0	0	0.9882649999999998	No data	-0.027799227799227832	-0.705500598562741	0	No data	No data	-0.6126750000000001	0.75	0.5
SYNCRIP	0.5202663446645963	No data	No data	No data	0.6839221473130737	0.6839221473130737	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0403176327582707	No data	No data	No data	0	0	0	0	0	0.9839500000000001	No data	-0.9250965250965251	-0.2668737842481067	0	No data	No data	-0.5947025	-1	-1
TCF4	0.5165952081438819	No data	0.6906795787420307	0.1899783742536316	0.547137717850459	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09497394121034475	No data	No data	No data	0	1	1	1	0	0.8956800000000001	No data	-0.9955874241588527	-0.86345717447604	0	No data	No data	-0.05737749999999995	-1	-1
TCF20	0.5059043834900193	No data	No data	0.22506590933083576	0.762510712477656	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14822031798445867	No data	0.519495847509589	No data	0	0	0	0	0	0.62755	No data	-0.999669056811914	-0.6912469240900332	0	No data	No data	0	-1	0
MECP2	0.492915605079597	No data	No data	No data	0.716007383853687	No data	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5943139199161519	No data	0.44824257534898854	No data	0	0	0	1	0	0.5682749999999999	No data	No data	-0.9691061449924129	0	No data	No data	0	-1	-1
CHD2	0.4926467802768205	No data	No data	0.5460587152396462	0.6708347481978235	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13577032572918193	No data	No data	No data	0	0	0	0	0	0.8222099999999998	No data	-0.9704357418643133	-0.9715898153107058	0	No data	No data	0	-1	-1
KMT2E	0.49052384396535736	No data	0.06912945585762514	0.15198269940290526	0.012158615952232422	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06383273374922022	No data	No data	No data	0	0	0	0	0	0.4779350000000001	No data	-0.9457253171538886	-0.8871168259278583	0	No data	No data	0	-1	-1
AUTS2	0.4886961884032509	No data	0.48305895520734127	0.1649695895525812	0.5213807686537252	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.20103941732453978	No data	No data	No data	1	0	0	0	0	0.6664000000000001	No data	-0.9360176503033646	-0.7690601188826984	0	No data	No data	0	-1	-1
PRR12	0.4863465565509184	No data	No data	0.15198269940290526	0.7612644543425522	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	0	0	0	0	0	0.6586449999999999	No data	-0.9673469387755103	No data	0	No data	No data	0	-1	-1
NEGR1	0.48099567218220646	No data	0.7855081195574987	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11386475377820339	No data	No data	No data	0	0	0	0	0	0.7033900000000003	No data	-0.7626034197462769	-0.7723181045531998	0	No data	No data	0	0.5	0
NRXN2	0.4795578191555269	No data	No data	No data	0	0.7599134970145264	0.006079307976116211	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1958398159724624	No data	0.48381497049256844	No data	0	0	0	0	0	0.9094650000000002	No data	-0.8741312741312741	-0.6827102833428206	0	No data	No data	-0.018692500000000046	1	0
POLGARF	0.4720285162815184	No data	No data	No data	0.7764510666937384	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
KDM5B	0.46620507430201563	No data	No data	0.15198269940290526	0.5623359877907496	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11761485358699429	No data	No data	No data	0	0	1	1	0	0.7117849999999997	1	-0.1900717043574186	-0.7641946920105497	0	No data	No data	0	0.5	0
CAMK4	0.4660773055917977	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13496559977016853	No data	No data	No data	0	0	1	1	1	0.059194999999999706	No data	0.22757859900717037	-0.8731465529239502	0	No data	No data	0	0.75	0
TCF7L2	0.4652382255101743	No data	No data	0.15198269940290526	0.5592963338026914	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.051176505608054625	No data	No data	No data	0	0	1	1	0	0.7334400000000002	No data	-0.7158301158301159	-0.8841823322477599	0	255	255	0	-1	-1
TRANK1	0.4648672096633355	No data	0.23761595196467983	No data	0.7041865072334611	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04863446380892969	No data	No data	No data	0	0	0	0	0	0.048499999999999946	No data	-0.2980694980694981	-0.20283063593662803	0	No data	No data	0	-1	0
ASXL3	0.46471214655056103	No data	No data	0.24762850195919384	0.7012312880784046	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.057500121274099154	No data	No data	No data	0	0	0	0	0	0.10809500000000014	No data	-0.9375620518477661	-0.8590387007190133	0	No data	No data	0	-1	0.5
STXBP1	0.46418919032565736	No data	No data	0.24085175130583292	0.7008091139133965	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11402635593725305	No data	No data	No data	0	0	0	0	0	0.8905700000000003	No data	-0.9945945945945946	-0.8271003233592916	0	No data	No data	-0.08670000000000008	0.5	-1
KAT8	0.4625291881379043	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	0	0	1	1	1	0.9126649999999998	No data	-0.20154440154440156	-0.8508235603669836	-1	No data	No data	0	-1	-1
PIDD1	0.46243679317423314	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	No data	0	0	0	0	0	0.06043999999999983	No data	0.4364037506894649	0	0	No data	No data	0	-1	0
DEAF1	0.45919544204064827	No data	No data	0.1899783742536316	0.705959638726495	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08493307797313919	No data	No data	No data	0	0	0	0	0	0.6814149999999998	No data	0.3617209045780474	-0.6015896165625925	0	No data	No data	No data	1	0
DCC	0.4562053166274806	No data	0.3718231164709126	No data	0.6565652614205508	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04059289031385596	No data	No data	No data	0	0	0	0	0	0.8237749999999998	No data	-0.7792608935466079	-0.8189250094948058	0	No data	No data	0	0.5	0.5
SCN1A	0.45558967559792724	0.15615209145652495	No data	0.15198269940290526	0.685188669808098	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14647276722133548	No data	0.569998448885646	1	1	0	1	1	0	0.9079149999999998	1	-0.9952564809707667	-0.9660785890273346	0	255	No data	-0.6876550000000001	0.5	0.5
