symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
FOXP2	0.5371084317936466	No data	0.8632474504433042	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4051027109607651	No data	No data	No data	0	0	0	0	0	0.9720300000000002	No data	-0.9781577495863211	-0.9244664541187109	0	No data	No data	0	0.5	0
DRD2	0.5270447721541965	0.6248566527177858	0.6962954402716941	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6497561969189037	No data	No data	1	1	0	1	1	0	0.7855550000000001	1	-0.8243794815223386	-0.955247847655318	0	255	No data	0	0.75	0.5
CDH2	0.5104198887850121	No data	No data	No data	0.5957721816593886	No data	No data	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3376346328135342	No data	0.8632380908552616	No data	1	0	0	1	0	0.8399549999999998	No data	-0.8583563154991727	-0.9364303804630042	0	No data	No data	-0.1390725	0.5	0
SORCS3	0.5098658240442172	No data	0.8325090069727725	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12363115772929692	No data	No data	No data	1	0	0	0	0	0.6194749999999999	No data	-0.6720353006067292	-0.1250770947412433	0	No data	No data	-0.030277500000000047	0.5	0.5
DUSP6	0.49881917770532425	No data	0.8131903521460699	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14658636583618068	No data	No data	No data	0	0	0	1	0	0.908135	No data	-0.7400992829564258	-0.8702310305889693	0	No data	No data	-0.26509250000000006	0.5	-1
ADGRL1	0.4959811953793364	No data	No data	No data	0.8137288821764351	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04245045663989148	No data	No data	No data	1	0	0	0	0	0.9115049999999997	No data	-0.8850523993381136	-0.05373224667943238	0	No data	No data	-0.11504499999999993	0.5	0
TPH2	0.4943444010602492	No data	0.0364713379864619	No data	0.38686014045347517	No data	No data	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.31800213646105524	No data	0.5363148609563121	1	No data	No data	1	1	0	0.6734699999999997	No data	-0.6347490347490348	-0.9434552629994577	0	No data	No data	-0.1224499999999999	No data	No data
FES	0.4910441292318496	No data	0.8060584963891282	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	0	0	1	1	0	0.5316299999999998	No data	-0.013789299503585206	-0.934734221644648	0	No data	255	0	0.5	-1
SEMA6D	0.48223021582756526	No data	0.7882894415460473	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09885292508496965	No data	No data	No data	1	0	0	0	0	0.7437100000000001	No data	-0.7986762272476559	No data	0	No data	No data	0	0.5	0
FOXP1	0.4795348425143107	No data	0.7536934072793808	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13304425350798088	No data	0.6429691424364659	No data	0	0	0	0	0	0.859675	No data	-0.9024820739106454	-0.9249791231689571	0	No data	No data	0	-1	-1
NEGR1	0.4779276552564525	No data	0.7853272410041691	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01654922726831635	No data	No data	No data	0	0	0	0	0	0.7033900000000003	No data	-0.7626034197462769	-0.7723181045531998	0	No data	No data	0	0.5	0
CDH8	0.4759136518984223	No data	0.7782654518244597	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09152735897374961	No data	No data	No data	1	0	0	0	0	0.8498100000000001	No data	-0.8275785990071705	No data	0	No data	No data	-0.1458075000000001	0.5	0.5
TMEM200C	0.47494135824817063	No data	0.7812424705477559	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.8358521787093216	No data	0	No data	No data	0	0.5	0.5
IGSF9B	0.469430320481084	No data	0.7388637640522187	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6662693567774264	No data	0	0	0	0	0	0.7981900000000003	No data	-0.7054605626034198	-0.10129547872063965	0	No data	No data	0	0.5	0
ST3GAL3	0.46602861331538237	No data	0.74787930579453	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.37404752222314175	No data	No data	No data	0	1	0	1	0	0.8533349999999998	No data	-0.6047435190292333	No data	0	No data	No data	0	0.5	-1
GRIN2A	0.46226582057607074	0.12310598651635328	0.7151477576306499	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3071950408580893	No data	0.4782591584810623	1	0	0	1	1	0	0.7643450000000002	1	-0.9111969111969112	-0.3220483859011447	0	255	255	0	1	0.5
NPAS3	0.45936509380833385	No data	0.7383136684037913	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.34614059789011675	No data	0	0	0	0	0	0.6731000000000001	No data	-0.8986210700496415	-0.8253735171852902	0	No data	No data	0	0.5	0.5
TCF4	0.4587459454744017	No data	0.7538423328058176	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	No data	0	1	1	1	0	0.8956800000000001	No data	-0.9955874241588527	-0.86345717447604	0	No data	No data	-0.05737749999999995	-1	-1
RUNX1T1	0.4575641879334132	No data	0.7526583448824217	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	1	0.9503300000000003	No data	-0.9644787644787645	-0.814194381975033	0	No data	255	-0.2798024999999999	0.5	0
MEF2C	0.45649023339362965	No data	0.7407391325929437	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.20305277240466754	No data	No data	No data	0	0	0	0	0	0.6828749999999999	No data	-0.9488141202426916	-0.9435314113849566	0	No data	No data	-0.06976750000000002	0.5	-1
PTPRF	0.4443057765060428	No data	0.7120755374431073	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12088613978085272	No data	0.32174737463595054	No data	0	0	1	1	0	0.7692700000000002	No data	-0.8468836183121897	-0.301214923318707	0	255	No data	-0.23702250000000014	-1	-1
TFAP2B	0.44334620955429493	No data	0.7250153344806899	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08511031166562696	No data	No data	No data	0	0	0	0	0	0.9891300000000001	No data	-0.8431329288472146	-0.9443973986437859	0	255	No data	-0.28260749999999996	0.5	0.5
GGNBP2	0.44258993352699433	No data	0.7280268334254463	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.813485	No data	-0.9558742415885273	-0.8700064946513109	0	No data	No data	No data	-1	-1
KCNG2	0.43756946625761245	No data	0.7034835997459438	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.32569892482042595	1	1	0	0	0	0	0.38840999999999964	No data	0.9652509652509653	-0.7069835791535952	0	No data	No data	0	0.5	1
DCC	0.4297262582006644	No data	0.7051277067325679	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.034787151196664985	No data	No data	No data	0	0	0	0	0	0.8237749999999998	No data	-0.7792608935466079	-0.8189250094948058	0	No data	No data	0	0.5	0.5
CRY1	0.4251928805306231	No data	No data	No data	0.6839221473130737	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3097570989107487	No data	No data	No data	0	0	1	1	0	0.8122849999999999	No data	-0.39305019305019306	-0.21726204147489936	0	No data	No data	-0.2875425	-1	-1
CTTNBP2	0.4246835988007533	No data	0.674948081689129	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4724838159037519	No data	0	0	0	0	0	0.2543599999999998	No data	-0.32741312741312745	-0.3161002203670579	0	No data	No data	0	-1	0
SOX2	0.42270462816171167	No data	0.6953170160524721	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.9053649999999998	No data	-0.8842801985659129	-0.9585925193652769	0	No data	255	-0.08517250000000001	0.5	0
SLC39A8	0.41570245717367277	No data	0.6828870802772928	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	1	0	0	0	0	0.4673900000000003	No data	-0.566023166023166	-0.9246505496407387	0	255	No data	0	0.5	0
TCF7L2	0.41262466951802984	No data	0.283221807498079	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	1	1	0	0.7334400000000002	No data	-0.7158301158301159	-0.8841823322477599	0	255	255	0	-1	-1
TET2	0.4108387654592307	No data	0.6751906421210393	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	1	1	0	0	No data	0.9997793712079426	-0.8804406422285638	0	No data	255	0	-1	0
ANO10	0.41042094487245323	No data	0.672071635791757	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	1	0	0	0	0	0.5757599999999996	No data	0.4421400992829565	0	0	No data	No data	0	-1	-1
RSRC1	0.407248694144745	No data	0.6698931782115723	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.5958100000000002	No data	0.4691671263099835	No data	0	No data	No data	No data	-1	-1
AKT3	0.40723586491819946	No data	0.640500025273712	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5874409966871194	1	1	0	1	1	0	0.9791249999999998	1	-0.7060121345835632	-0.33408723310728583	0	255	No data	-0.5772449999999999	-1	-1
ARID1B	0.40485279251724127	No data	0.6650866449243042	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01730914076533088	No data	No data	No data	1	0	0	0	0	0.48145000000000027	No data	-0.9535576392719249	-0.930689450883437	0	No data	255	0	-1	-1
RFX3	0.4044365986489072	No data	0.07295548975134242	No data	0.19453785523571876	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04768541628599154	No data	No data	No data	0	0	0	0	0	0.946595	No data	-0.9489244346387203	-0.8461887724427608	0	No data	No data	-0.09545999999999992	0.5	-1
KIZ	0.40442227006862425	No data	0.6631226740854808	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.042425022800399566	No data	No data	No data	0	0	0	0	0	0	No data	0.42437948152233873	0	No data	No data	No data	No data	-1	-1
LSM6	0.4033638121788116	No data	0.6497990689725877	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.27407546792323917	No data	No data	No data	0	0	0	0	0	1	No data	No data	No data	-1	No data	No data	0	-1	-1
SHISA9	0.4004642297636034	No data	0.6155713449272556	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8632380908552616	No data	0	0	0	0	0	0.6816049999999997	No data	-0.6030888030888031	0	0	No data	No data	0	0.5	0.5
