symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
APP	0.8696695516607333	0.9728005513909271	0.7736137575222262	No data	0.9316603833246658	0.607930797611621	No data	0.607930797611621	0.9580964074361958	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	0.9946238915416176	No data	0.39065633054522775	1	0	1	1	1	1	0.7402599999999999	No data	-0.7845559845559845	-0.899579176773613	0	No data	No data	0	-1	-1
PSEN1	0.8663337248746705	0.6224689064784766	No data	No data	0.9444664297638227	0.9549947196932794	No data	0.607930797611621	0.9953830536655334	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	0.9712479440116228	0.04988096311450684	0.5711362082603426	1	0	0	1	1	0	0.6359749999999998	1	-0.7674572531715389	-0.9789325973509363	0	No data	No data	-0.04175500000000003	-1	-1
PSEN2	0.8165198525554955	0.6224689064784766	No data	No data	0.8908006546040942	0.8126852676405352	No data	0.607930797611621	0.9471757543886921	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	0.6934407230492223	No data	No data	1	0	0	1	1	0	0.7991050000000002	No data	-0.2050744622173194	-0.7787337027091975	0	No data	No data	-0.10714250000000014	-1	-1
APOE	0.7749432033461633	No data	0.9533703527874416	No data	0.7937221161179503	No data	No data	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	0.2670020417823128	No data	No data	0.9985595575618875	0.017251532679053088	0.2687054125443365	No data	0	1	0	0	0	0	No data	0.531053502482074	-0.9832055691366653	0	255	No data	0	0.5	-1
SORL1	0.6887135105146187	No data	0.8749085305895158	0.39314961120901953	0.31612401475804297	0.3039653988058105	No data	0.3039653988058105	0.44488713508550437	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	0.9718962832472118	0.04768036208430157	0.6326456669186236	No data	1	1	0	0	0	0.6612450000000003	No data	-0.6372862658576944	-0.8302800216342751	0	No data	No data	0	-1	-1
ADAM10	0.6816636553816533	No data	0.7799392178316392	No data	0.381307705835289	No data	No data	0.607930797611621	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9182294621580723	0.02040312242200407	No data	No data	1	0	1	1	0	0.8061500000000003	0	-0.9054605626034198	-0.8651152071929291	0	No data	No data	0	-1	-1
GRIN3B	0.66936011916202	0.98731997197959	0.4390033704611571	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17890896764711994	No data	No data	1	1	0	1	1	0	0	No data	0.8228350799779371	-0.2780188477560344	0	255	No data	0	0.5	0.5
ACE	0.6341919427542662	0.12158615952232422	0.8627041643684601	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9410215917570464	No data	No data	1	0	1	1	1	1	0.16539	No data	-0.15377826806398232	-0.9741134275683322	0	255	No data	0	0.5	0
APH1B	0.6090250464013078	0.6224689064784766	0.8373290004469826	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.39841780962277046	No data	No data	1	0	0	1	1	0	0.20233500000000007	No data	0.5385548814120242	0	0	No data	No data	0	1	-1
HFE	0.6048602773233976	No data	No data	No data	0.8270002910534164	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7184806570656189	No data	No data	No data	1	0	0	0	0	0	No data	0.12741312741312738	-0.7275621844630433	0	No data	No data	0	-1	0
CR1	0.5926783768207446	No data	0.9306243017610282	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8857324840320011	No data	No data	0.7	1	0	0	0	0	0	No data	-0.32884721456150023	-0.5723828680709955	0	No data	No data	0	0.5	0
CD33	0.5818249181893902	No data	0.7943340798757281	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5688988359014587	No data	No data	0.9224559809881221	No data	No data	1	1	0	0	0	0	No data	No data	0.188527302813017	-0.8065639751303407	0	No data	No data	0	0.5	0
GRN	0.5810506372714668	No data	0.8222767294438635	No data	0.4377101742803672	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.933885136373018	No data	0.2661521031943677	No data	0	1	1	1	0	0	0	-0.5810259238830667	-0.9475329837834623	0	No data	No data	No data	-1	-1
EPHA1	0.580575990464643	No data	0.8085866173969477	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5531979966234456	No data	No data	0.3652786271595041	No data	No data	1	1	0	1	1	0	0.4108600000000003	No data	0.03530060672917812	-0.0710805203688758	0	255	No data	0	0.75	0
TREM2	0.5721845302600777	No data	0.8916865649112139	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9902707924090672	No data	No data	No data	0	1	0	0	0	0	No data	0.4027578599007171	-0.7005801128736927	0	No data	No data	0	0.5	0
ABCA7	0.5653009027165964	No data	0.606413438204871	No data	0.6647944636433635	No data	No data	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9563988228083541	No data	No data	No data	1	0	0	0	0	0	No data	0.5769442912300056	-0.23763370379005083	0	No data	No data	0	0.5	0
