symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
DRD2	0.7265195480676606	0.9989515617643475	0.7654566110663349	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.21391988209191268	No data	No data	1	1	0	1	1	0	0.7855550000000001	1	-0.8243794815223386	-0.955247847655318	0	255	No data	0	0.75	0.5
SCN2A	0.7164684302653471	0.9952750440466358	0.7246749994186954	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09415665967341989	No data	No data	1	1	0	1	1	0	0.9052349999999997	1	-0.9755102040816327	-0.7879993830187495	0	No data	No data	-0.6920200000000001	1	0.5
HTR1A	0.6127283875543719	0.9910113877694687	0.055078393670274936	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13998082378060142	No data	No data	1	1	0	1	1	0	0.40758500000000025	1	-0.013017098731384458	-0.29320286964309744	0	255	No data	0	1	0.5
CACNA1C	0.5483470433360489	0.4627028848488449	0.7794177303736566	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3103108654541557	No data	No data	1	1	0	1	1	0	0.7708150000000004	No data	-0.9643684500827358	-0.9658759542135883	0	255	No data	-0.17212250000000004	0.5	0
LMAN2L	0.5419528811259278	No data	0.8877653709856701	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07411932606421542	No data	No data	No data	0	0	0	0	0	0.5258600000000001	No data	-0.12675124103695534	-0.49702156930348296	0	No data	No data	0	-1	-1
GRIN2A	0.541452970204993	0.6497061046190898	0.7251097352133744	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14007421870123432	No data	No data	1	0	0	1	1	0	0.7643450000000002	1	-0.9111969111969112	-0.3220483859011447	0	255	255	0	1	0.5
ANK3	0.5193566042896532	No data	0.8324348413755116	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4373467264617204	No data	No data	No data	1	0	0	0	0	0	No data	-0.9763927192498622	-0.8577248583633648	0	No data	No data	0	-1	-1
FES	0.5159500149859682	No data	0.8476347180711075	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021277577916406734	No data	No data	No data	0	0	1	1	0	0.5316299999999998	No data	-0.013789299503585206	-0.934734221644648	0	No data	255	0	0.5	-1
THSD7A	0.49557131777025104	No data	0.8116182592537445	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07117856422036063	No data	No data	No data	1	1	0	0	0	0.5262500000000003	No data	-0.6888030888030888	0	0	No data	No data	0	0.5	0
BCL11B	0.4665683090002012	No data	0.7674694403264467	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6700200000000003	No data	-0.728626585769443	-0.8417979750908335	0	No data	No data	0	0.75	0
