symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
DRD2	0.7446866634277316	0.9994097502793402	0.8170737521745223	No data	0.012158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9231710917698762	No data	No data	1	1	0	1	1	0	0.7855550000000001	1	-0.8243794815223386	-0.955247847655318	0	255	No data	0	0.75	0.5
SHANK3	0.7018033677091502	No data	0.5141267101019172	No data	0.8715360759290051	0.607930797611621	No data	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23180388664865267	No data	0.6911507653490412	No data	1	0	No data	No data	No data	0.5786850000000001	No data	-0.744180915609487	-0.8864320568309888	No data	No data	No data	0	0.5	0
RTN4R	0.6739217069185306	No data	No data	No data	0.24317231904464845	No data	No data	0.607930797611621	0.9190679877429972	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.838416096721264	No data	No data	No data	1	0	0	0	0	0.4714599999999997	No data	-0.877992277992278	-0.2838059260346937	0	No data	No data	0	1	0
DRD3	0.6701857572796848	0.997663959530757	No data	No data	0.19453785523571876	No data	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.37875444134576175	No data	0.29995305554157387	1	1	0	1	1	0	0.5125	1	-0.5631549917264203	-0.8626893612067676	0	255	No data	0	1	1
MTHFR	0.6519184818486452	No data	0.2987411819384317	No data	0.8768590760223555	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8256928290811957	No data	No data	No data	0	0	0	0	0	0.5045749999999998	No data	-0.18775510204081636	-0.7525188649333997	0	255	No data	0	-1	-1
GRIN2A	0.6140540944487055	0.6344623605437137	0.8195757668320157	0.1899783742536316	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8617834494187444	No data	No data	1	0	0	1	1	0	0.7643450000000002	1	-0.9111969111969112	-0.3220483859011447	0	255	255	0	1	0.5
GRM3	0.5980019537421526	0.5910776204588456	0.8181094331479392	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8005035374993577	No data	No data	0.7	1	0	1	1	0	0.83504	0	-0.6976282404853833	-0.2324989359228255	0	255	No data	-0.1837325	1	0.5
HTR7	0.5933127821375602	0.9634928971439901	0.0311400678660169	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18003139703535453	No data	No data	1	1	0	1	1	0	0.3528199999999998	1	-0.37451737451737455	-0.2024466188616067	0	255	No data	0	0.75	0.5
SETD1A	0.5845105464097243	No data	No data	0.4746761454810555	0.8337905984976186	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4057123624791792	No data	No data	No data	0	0	0	0	0	No data	No data	-0.90292333149476	-0.7032381478135802	-1	No data	No data	0	-1	-1
RBM12	0.5701570014863342	No data	No data	No data	0.7181824251518086	No data	No data	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	0	0	1	No data	No data	-0.16668505239933806	-0.07423728449275302	0	No data	No data	0	-1	-1
