symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
APOE	0.7794265829894084	0.8928217170539553	No data	No data	No data	0.9594373165752981	No data	0.6104033221723495	apolipoprotein E
GUCY1B1	0.7015461544523223	0.6343923540642147	No data	0.9947165863184698	No data	0.030396539880581056	No data	No data	guanylate cyclase 1 soluble subunit beta 1
PCSK9	0.6991645882528595	0.7245579327452757	No data	0.9482270962017929	No data	0.9317735348407696	No data	No data	proprotein convertase subtilisin/kexin type 9
LRP6	0.6980025955100849	0.8365755585571626	No data	No data	No data	0.5254492612508037	No data	0.36510803877559933	LDL receptor related protein 6
LDLR	0.6668352835323987	0.8585956439718739	No data	No data	No data	0.7234933809654467	No data	0.6056976709114069	low density lipoprotein receptor
PDE3A	0.6641313112654064	0.47779393543533444	No data	0.9720551761519476	No data	0.04238628616681025	No data	No data	phosphodiesterase 3A
HMGCR	0.6375746910412264	0.1508478316555219	No data	0.9977808650492377	No data	0.5971108849112826	No data	No data	3-hydroxy-3-methylglutaryl-CoA reductase
PLG	0.6346409652096754	0.63531603942068	No data	0.877970883623333	No data	0.3211336815489931	No data	No data	plasminogen
PTGS2	0.624980889907898	No data	No data	0.9938657323977113	No data	0.5708025583752645	No data	0.2538111080028518	prostaglandin-endoperoxide synthase 2
ACE	0.6229835462778492	No data	No data	0.9769715663031784	No data	0.8279806817861728	No data	0.28755126727029673	angiotensin I converting enzyme
P2RY12	0.6140852664322489	No data	No data	0.998563113287662	No data	0.23121041188727312	No data	No data	purinergic receptor P2Y12
PTGS1	0.6097322043476553	No data	No data	0.9936699891442622	No data	0.18586376300226048	No data	No data	prostaglandin-endoperoxide synthase 1
CACNA1C	0.6082065730216301	No data	No data	0.9986298372161477	No data	0.03647584785669727	No data	No data	calcium voltage-gated channel subunit alpha1 C
CACNA1D	0.6080217830942878	No data	No data	0.9986298372161477	No data	0.030396539880581056	No data	No data	calcium voltage-gated channel subunit alpha1 D
CACNA1F	0.607097833457576	No data	No data	0.9986298372161477	No data	No data	No data	No data	calcium voltage-gated channel subunit alpha1 F
CACNA1S	0.607097833457576	No data	No data	0.9986298372161477	No data	No data	No data	No data	calcium voltage-gated channel subunit alpha1 S
NPC1L1	0.6048215955637636	0.08858643782329144	No data	0.9626425686128708	No data	0.2678711040357723	No data	0.30366143340700474	NPC1 like intracellular cholesterol transporter 1
GUCY1B2	0.6047188477180963	No data	No data	0.9947165863184698	No data	No data	No data	No data	guanylate cyclase 1 soluble subunit beta 2 (pseudogene)
ADRB1	0.6015695407707367	No data	No data	0.973515510208354	No data	0.3204141063670817	No data	No data	adrenoceptor beta 1
SERPINC1	0.600001584966581	No data	No data	0.9758040872492828	No data	0.2230592007867364	No data	No data	serpin family C member 1
ITGB3	0.5965484987754686	No data	No data	0.9664955526487469	No data	0.29562860118076006	No data	No data	integrin subunit beta 3
F2	0.5957640884262346	No data	No data	0.960717386609167	No data	0.3853860127367788	No data	No data	coagulation factor II, thrombin
ADRB2	0.594106044864667	No data	No data	0.9493179712687091	No data	0.5588272043781719	No data	No data	adrenoceptor beta 2
FKBP1A	0.5898220033281901	No data	No data	0.9682366333684373	No data	0.03951550184475537	No data	No data	FKBP prolyl isomerase 1A
SCN5A	0.5877317513652041	0.2554353396161301	No data	0.9001821748545712	No data	0.12298918240234274	No data	No data	sodium voltage-gated channel alpha subunit 5
NDUFA12	0.5858104160145275	0.513874874892014	No data	0.8337939758909385	No data	0.06079307976116211	No data	No data	NADH:ubiquinone oxidoreductase subunit A12
GABRB1	0.5847370179190903	No data	No data	0.9603281665873913	No data	0.030396539880581056	No data	No data	gamma-aminobutyric acid type A receptor subunit beta1
GABRG1	0.5841826481370632	No data	No data	0.9603281665873913	No data	0.012158615952232422	No data	No data	gamma-aminobutyric acid type A receptor subunit gamma1
ITGA2B	0.5841803717999422	No data	No data	0.952902471195195	No data	0.1605976357618659	No data	No data	integrin subunit alpha 2b
GABRA5	0.5838130682823784	No data	No data	0.9603281665873913	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha5
GABRA2	0.5838130682823784	No data	No data	0.9603281665873913	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha2
GABRB2	0.5838130682823784	No data	No data	0.9603281665873913	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit beta2
GABRG3	0.5838130682823784	No data	No data	0.9603281665873913	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit gamma3
GABRB3	0.5838130682823784	No data	No data	0.9603281665873913	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit beta3
GABRG2	0.5838130682823784	No data	No data	0.9603281665873913	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit gamma2
GABRA3	0.5838130682823784	No data	No data	0.9603281665873913	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha3
GABRA1	0.5838130682823784	No data	No data	0.9603281665873913	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha1
PDE5A	0.5814306967294993	0.096121618940837	No data	0.9306737050769602	No data	0.07673564122187186	No data	No data	phosphodiesterase 5A
PDE3B	0.5807947602136464	No data	No data	0.9384154442705519	No data	0.12496355284238879	No data	0.2834173378465377	phosphodiesterase 3B
GABRD	0.5801390567023448	No data	No data	0.9542846965173309	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit delta
GABRQ	0.5801390567023448	No data	No data	0.9542846965173309	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit theta
GABRA4	0.5801390567023448	No data	No data	0.9542846965173309	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha4
GABRA6	0.5801390567023448	No data	No data	0.9542846965173309	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha6
GABRP	0.5801390567023448	No data	No data	0.9542846965173309	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit pi
GABRE	0.5801390567023448	No data	No data	0.9542846965173309	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit epsilon
INSR	0.5789200276811244	No data	No data	0.9514140293038116	No data	0.01730914076533088	No data	No data	insulin receptor
TUBB	0.578240635472688	No data	No data	0.9420429757833838	No data	0.18237923928348632	No data	No data	tubulin beta class I
TUBB6	0.5736208872891293	No data	No data	0.9420429757833838	No data	0.030396539880581056	No data	No data	tubulin beta 6 class V
AGTR1	0.5732363597611266	No data	No data	0.9048844866425976	No data	0.7609159509923757	No data	No data	angiotensin II receptor type 1
ATP4A	0.5730683707760038	No data	No data	0.942653955067614	No data	No data	No data	No data	ATPase H+/K+ transporting subunit alpha
TUBB8	0.5726969376524176	No data	No data	0.9420429757833838	No data	No data	No data	No data	tubulin beta 8 class VIII
TUBB4A	0.5726969376524176	No data	No data	0.9420429757833838	No data	No data	No data	No data	tubulin beta 4A class IVa
TUBB4B	0.5726969376524176	No data	No data	0.9420429757833838	No data	No data	No data	No data	tubulin beta 4B class IVb
TUBB2B	0.5726969376524176	No data	No data	0.9420429757833838	No data	No data	No data	No data	tubulin beta 2B class IIb
TUBB1	0.5726969376524176	No data	No data	0.9420429757833838	No data	No data	No data	No data	tubulin beta 1 class VI
TUBB3	0.5726969376524176	No data	No data	0.9420429757833838	No data	No data	No data	No data	tubulin beta 3 class III
TUBB2A	0.5726969376524176	No data	No data	0.9420429757833838	No data	No data	No data	No data	tubulin beta 2A class IIa
F10	0.5726611762727912	No data	No data	0.9341058423018344	No data	0.15756617455073488	No data	No data	coagulation factor X
LPA	0.5715045521666057	0.8943545005987884	No data	No data	No data	0.9145418320392644	No data	No data	lipoprotein(a)
PDE10A	0.571102188982233	No data	No data	0.9257169751369773	No data	No data	No data	0.27405520356331875	phosphodiesterase 10A
PDE4D	0.5691096402601287	No data	No data	0.9257169751369773	No data	0.20850337661418566	No data	No data	phosphodiesterase 4D
PDE8A	0.567710632102382	0.03249562656897909	No data	0.9257169751369773	No data	No data	No data	No data	phosphodiesterase 8A
CHRNA4	0.5669996662179769	0.3274214346446261	No data	0.8508160382240639	No data	No data	No data	No data	cholinergic receptor nicotinic alpha 4 subunit
OPRM1	0.5666936674110095	No data	No data	0.9285669064556789	No data	0.07202291255037678	No data	No data	opioid receptor mu 1
ADORA2A	0.5641007886637907	0.20108634565981037	No data	0.8652515542226572	No data	0.5570920256282413	No data	No data	adenosine A2a receptor
PDE4A	0.5638344011398583	No data	No data	0.9257169751369773	No data	0.03495602086266821	No data	No data	phosphodiesterase 4A
PDE1C	0.5637882036580227	No data	No data	0.9257169751369773	No data	0.03343619386863916	No data	No data	phosphodiesterase 1C
PDE7A	0.5636958086943515	No data	No data	0.9257169751369773	No data	0.030396539880581056	No data	No data	phosphodiesterase 7A
PDE6B	0.5633262288396668	No data	No data	0.9257169751369773	No data	0.01823792392834863	No data	No data	phosphodiesterase 6B
PDE7B	0.5631414389123245	No data	No data	0.9257169751369773	No data	0.012158615952232422	No data	No data	phosphodiesterase 7B
PDE9A	0.5631414389123245	No data	No data	0.9257169751369773	No data	0.012158615952232422	No data	No data	phosphodiesterase 9A
PPARA	0.5627894540453585	No data	No data	0.8918414255064584	No data	0.5058765555953929	No data	0.387479892127707	peroxisome proliferator activated receptor alpha
PDE1A	0.5627718590576398	No data	No data	0.9257169751369773	No data	No data	No data	No data	phosphodiesterase 1A
PDE1B	0.5627718590576398	No data	No data	0.9257169751369773	No data	No data	No data	No data	phosphodiesterase 1B
PDE8B	0.5627718590576398	No data	No data	0.9257169751369773	No data	No data	No data	No data	phosphodiesterase 8B
PDE2A	0.5627718590576398	No data	No data	0.9257169751369773	No data	No data	No data	No data	phosphodiesterase 2A
PDE4B	0.5627718590576398	No data	No data	0.9257169751369773	No data	No data	No data	No data	phosphodiesterase 4B
PDE4C	0.5627718590576398	No data	No data	0.9257169751369773	No data	No data	No data	No data	phosphodiesterase 4C
PDE6A	0.5627718590576398	No data	No data	0.9257169751369773	No data	No data	No data	No data	phosphodiesterase 6A
PDE6C	0.5627718590576398	No data	No data	0.9257169751369773	No data	No data	No data	No data	phosphodiesterase 6C
PDE6H	0.5627718590576398	No data	No data	0.9257169751369773	No data	No data	No data	No data	phosphodiesterase 6H
PDE6G	0.5627718590576398	No data	No data	0.9257169751369773	No data	No data	No data	No data	phosphodiesterase 6G
