symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
APOB	0.7194033463047349	0.9466911025150313	No data	No data	No data	No data	No data	No data	apolipoprotein B
PCSK9	0.7152508762053373	0.9412267041121718	No data	No data	No data	No data	No data	No data	proprotein convertase subtilisin/kexin type 9
LDLR	0.6857424413787165	0.9023953964139263	No data	No data	No data	No data	No data	No data	low density lipoprotein receptor
NPC1L1	0.6649520548789738	0.8750365107230917	No data	No data	No data	No data	No data	No data	NPC1 like intracellular cholesterol transporter 1
ANGPTL3	0.6206034318756036	0.8166764168734593	No data	No data	No data	No data	No data	No data	angiopoietin like 3
ABCG5	0.611443966703675	0.804623117112482	No data	No data	No data	No data	No data	No data	ATP binding cassette subfamily G member 5
RRBP1	0.6025592132547993	0.7929313212912719	No data	No data	No data	No data	No data	No data	ribosome binding protein 1
ABCA1	0.5563549905869858	0.7321293710043824	No data	No data	No data	No data	No data	No data	ATP binding cassette subfamily A member 1
APOC3	0.5511297332668991	0.7252532497871449	No data	No data	No data	No data	No data	No data	apolipoprotein C3
LPA	0.5429643828197906	0.8931351807688241	No data	No data	No data	No data	No data	No data	lipoprotein(a)
HNF4A	0.5296653637749968	0.8712593042759047	No data	No data	No data	No data	No data	No data	hepatocyte nuclear factor 4 alpha
MYLIP	0.5282223622620819	0.8688856763587403	No data	No data	No data	No data	No data	No data	myosin regulatory light chain interacting protein
ZNF229	0.5263693231168559	0.8658375676718536	No data	No data	No data	No data	No data	No data	zinc finger protein 229
GIGYF1	0.5262824900144895	0.6925557870495741	No data	No data	No data	No data	No data	No data	GRB10 interacting GYF protein 1
DNAH11	0.5156171716187893	0.8481510949017478	No data	No data	No data	No data	No data	No data	dynein axonemal heavy chain 11
TDRD15	0.5119742777588003	0.8421588111182962	No data	No data	No data	No data	No data	No data	tudor domain containing 15
VLDLR	0.5116066157689836	0.8415540350627629	No data	No data	No data	No data	No data	No data	very low density lipoprotein receptor
SLC22A3	0.5093029544859302	0.6702117497410294	No data	No data	No data	No data	No data	No data	solute carrier family 22 member 3
FRK	0.5087376945541905	0.8368348775105149	No data	No data	No data	No data	No data	No data	fyn related Src family tyrosine kinase
HGFAC	0.5079854117761908	0.8355974294638701	No data	No data	No data	No data	No data	No data	HGF activator
APOH	0.5033169234877957	0.8279181207222562	No data	No data	No data	No data	No data	No data	apolipoprotein H
LIPG	0.49608833213340475	0.8160276368336461	No data	No data	No data	No data	No data	No data	lipase G, endothelial type
MTARC1	0.49378767600227874	0.8122432321938999	No data	No data	No data	No data	No data	No data	mitochondrial amidoxime reducing component 1
SLC39A8	0.4932894531142479	0.8114236933746984	No data	No data	No data	No data	No data	No data	solute carrier family 39 member 8
SLC22A1	0.4914811393813176	0.8084491545948989	No data	No data	No data	No data	No data	No data	solute carrier family 22 member 1
HPR	0.4883029678315693	0.6425770429791893	No data	No data	No data	No data	No data	No data	haptoglobin-related protein
GAS6	0.48659435270484364	0.8004107615809691	No data	No data	No data	No data	No data	No data	growth arrest specific 6
ASGR1	0.4841664156652918	0.6371335916093572	No data	No data	No data	No data	No data	No data	asialoglycoprotein receptor 1
PCSK5	0.48195997573892313	0.7927875633746476	No data	No data	No data	No data	No data	No data	proprotein convertase subtilisin/kexin type 5
ZFPM1	0.480147894313913	0.7898068270274693	No data	No data	No data	No data	No data	No data	zinc finger protein, FOG family member 1
LITAF	0.4788316069987802	0.7876416343438544	No data	No data	No data	No data	No data	No data	lipopolysaccharide induced TNF factor
ABCG8	0.47868356818007907	0.7873981217281377	No data	No data	No data	No data	No data	No data	ATP binding cassette subfamily G member 8
HK1	0.47670190213399766	0.7841384315563833	No data	No data	No data	No data	No data	No data	hexokinase 1
ACVR1C	0.47521616914663983	0.7816945136084938	No data	No data	No data	No data	No data	No data	activin A receptor type 1C
TRPS1	0.47514306584428706	0.781574264227084	No data	No data	No data	No data	No data	No data	transcriptional repressor GATA binding 1
TRIB1	0.47463769867502276	0.7807429736077409	No data	No data	No data	No data	No data	No data	tribbles pseudokinase 1
RSPO3	0.4744357570609583	0.780410794986658	No data	No data	No data	No data	No data	No data	R-spondin 3
INSIG2	0.4744343187234426	0.7804084290306621	No data	No data	No data	No data	No data	No data	insulin induced gene 2
NR1H4	0.47328367487022077	0.6228125658112552	No data	No data	No data	No data	No data	No data	nuclear receptor subfamily 1 group H member 4
SERPINA1	0.47187841544690956	0.7762041622184288	No data	No data	No data	No data	No data	No data	serpin family A member 1
ABCB11	0.47002986877511105	0.7731634433092028	No data	No data	No data	No data	No data	No data	ATP binding cassette subfamily B member 11
LIPC	0.4678038216286512	0.7695017647839408	No data	No data	No data	No data	No data	No data	lipase C, hepatic type
LPL	0.4660791815229573	0.766664862767347	No data	No data	No data	No data	No data	No data	lipoprotein lipase
L3MBTL3	0.4630007008320221	0.7616009957893463	No data	No data	No data	No data	No data	No data	L3MBTL histone methyl-lysine binding protein 3
SCARB1	0.4622897050332203	0.7604314616884336	No data	No data	No data	No data	No data	No data	scavenger receptor class B member 1
B4GALNT3	0.46105648842409286	0.7584029140083812	No data	No data	No data	No data	No data	No data	beta-1,4-N-acetyl-galactosaminyltransferase 3
