symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
PRNP	0.663537487087155	0.7452222169329293	No data	No data	No data	0.1355876728114627	No data	No data	prion protein
GABRG2	0.6101346142084093	No data	No data	0.998457699179388	No data	0.10334823559397559	No data	No data	gamma-aminobutyric acid type A receptor subunit gamma2
GABRA1	0.6087718034186472	No data	No data	0.9952787522663619	No data	0.1220927685203339	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha1
GABRB1	0.6066568043939566	No data	No data	0.9979043778951986	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit beta1
GABRA2	0.6054950980531808	No data	No data	0.9952335456795736	No data	0.015198269940290528	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha2
GABRA5	0.6050331232348248	No data	No data	0.9952335456795736	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha5
GABRA3	0.6050331232348248	No data	No data	0.9952335456795736	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha3
GABRG3	0.6047591771269956	No data	No data	0.994782925133772	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit gamma3
GABRG1	0.6047591771269956	No data	No data	0.994782925133772	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit gamma1
MTNR1B	0.5971086582936785	No data	No data	0.9734678408482238	No data	0.17461123464733785	No data	No data	melatonin receptor 1B
MTNR1A	0.595604875786709	No data	No data	0.9734678408482238	No data	0.1251390739054407	No data	No data	melatonin receptor 1A
HCRTR2	0.5918637546784322	No data	No data	0.9651016546200974	No data	0.169385595504257	No data	No data	hypocretin receptor 2
GABRB3	0.5899728418897975	0.18237923928348632	No data	0.9241226900895936	No data	0.03343619386863916	No data	No data	gamma-aminobutyric acid type A receptor subunit beta3
HCRTR1	0.5881682768579568	No data	No data	0.9648947838591494	No data	0.051947402611444746	No data	No data	hypocretin receptor 1
HRH1	0.5790169789877037	No data	No data	0.9504134026806683	No data	0.04051122397838631	No data	No data	histamine receptor H1
HTR2A	0.563518448921055	No data	No data	0.9163342944303982	No data	0.21221528682025828	No data	No data	5-hydroxytryptamine receptor 2A
GABRB2	0.5618026440771635	No data	No data	0.9241226900895936	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit beta2
GABRA6	0.5500675587950127	No data	No data	0.9023876426914338	No data	0.04863446380892969	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha6
GABRA4	0.5485892393762739	No data	No data	0.9023876426914338	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha4
HTR2C	0.5479937555018589	No data	No data	0.9003442380391384	No data	0.021277577916406734	No data	No data	5-hydroxytryptamine receptor 2C
SLC6A4	0.5378695814314419	No data	No data	0.8829012747646773	No data	0.03706689168770857	No data	No data	solute carrier family 6 member 4
CRY1	0.5289383534462027	0.6957430239332997	No data	No data	No data	0.01730914076533088	No data	No data	cryptochrome circadian regulator 1
CACNA2D1	0.5137223820403424	No data	No data	0.8450343099224525	No data	No data	No data	No data	calcium voltage-gated channel auxiliary subunit alpha2delta 1
ADRA2A	0.49923790624123204	No data	No data	0.819232671991853	No data	0.03951550184475537	No data	No data	adrenoceptor alpha 2A
SLC6A2	0.4982963051857237	No data	No data	0.8196595848464684	No data	No data	No data	No data	solute carrier family 6 member 2
ADRA2C	0.49803677171350674	No data	No data	0.819232671991853	No data	No data	No data	No data	adrenoceptor alpha 2C
ADRA2B	0.49803677171350674	No data	No data	0.819232671991853	No data	No data	No data	No data	adrenoceptor alpha 2B
MEIS1	0.49132829558013136	0.7888769191560494	No data	No data	No data	0.38641637983603977	No data	No data	Meis homeobox 1
SLC6A3	0.4765260835452576	0.48792581758121856	No data	0.6618677689330521	No data	No data	No data	No data	solute carrier family 6 member 3
LIN28B	0.3852102080864311	0.6336415420962505	No data	No data	No data	No data	No data	No data	lin-28 homolog B
GSK3B	0.37419446981472326	No data	No data	0.607930797611621	No data	0.15181382973690202	No data	No data	glycogen synthase kinase 3 beta
ACHE	0.37013422446672883	No data	No data	0.607930797611621	No data	0.01823792392834863	No data	No data	acetylcholinesterase (Cartwright blood group)
SCN4A	0.3695798546847018	No data	No data	0.607930797611621	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 4
SCN3A	0.3695798546847018	No data	No data	0.607930797611621	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 3
SCN2A	0.3695798546847018	No data	No data	0.607930797611621	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 2
SCN10A	0.3695798546847018	No data	No data	0.607930797611621	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 10
SCN9A	0.3695798546847018	No data	No data	0.607930797611621	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 9
SCN11A	0.3695798546847018	No data	No data	0.607930797611621	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 11
IMPA1	0.3695798546847018	No data	No data	0.607930797611621	No data	No data	No data	No data	inositol monophosphatase 1
GSK3A	0.3695798546847018	No data	No data	0.607930797611621	No data	No data	No data	No data	glycogen synthase kinase 3 alpha
SCN8A	0.3695798546847018	No data	No data	0.607930797611621	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 8
SCN7A	0.3695798546847018	No data	No data	0.607930797611621	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 7
SCN1A	0.3695798546847018	No data	No data	0.607930797611621	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 1
SCN5A	0.3695798546847018	No data	No data	0.607930797611621	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 5
OLFM4	0.35085515307774795	0.5771300852928545	No data	No data	No data	No data	No data	No data	olfactomedin 4
CACNG5	0.34282166948665715	0.5215926547507781	No data	0.16929184016823612	No data	No data	No data	No data	calcium voltage-gated channel auxiliary subunit gamma 5
TENM4	0.335350706695992	0.5516264482955707	No data	No data	No data	No data	No data	No data	teneurin transmembrane protein 4
QARS1	0.3326218692162316	0.547137717850459	No data	No data	No data	No data	No data	No data	glutaminyl-tRNA synthetase 1
RASGEF1A	0.32466347252793104	0.5340467596039501	No data	No data	No data	No data	No data	No data	RasGEF domain family member 1A
MBP	0.32333335904511507	0.5318588239243602	No data	No data	No data	No data	No data	No data	myelin basic protein
GHR	0.31999405408582976	0.5263659208301192	No data	No data	No data	No data	No data	No data	growth hormone receptor
SCUBE2	0.31710089590065355	0.5216068953019792	No data	No data	No data	No data	No data	No data	signal peptide, CUB domain and EGF like domain containing 2
WDR27	0.3161027311063814	0.5179976584002128	No data	No data	No data	0.039346632178752144	No data	No data	WD repeat domain 27
FOXP2	0.31550731394625126	0.5189855739926081	No data	No data	No data	No data	No data	No data	forkhead box P2
PML	0.309989078301513	0.5099084953737625	No data	No data	No data	No data	No data	No data	PML nuclear body scaffold
NTF3	0.30761136560243946	0.5053894077332752	No data	No data	No data	0.012158615952232422	No data	No data	neurotrophin 3
PCDH9	0.3075973506063383	0.5059742849265025	No data	No data	No data	No data	No data	No data	protocadherin 9
CD200R1L	0.30664925842192736	0.5044147452747269	No data	No data	No data	No data	No data	No data	CD200 receptor 1 like
IL5RA	0.30507387766103256	0.5018233635466025	No data	No data	No data	No data	No data	No data	interleukin 5 receptor subunit alpha
EDARADD	0.3042902956286507	0.5005344306031485	No data	No data	No data	No data	No data	No data	EDAR associated via death domain
CCDC126	0.29851649154624044	0.49103696131043656	No data	No data	No data	No data	No data	No data	coiled-coil domain containing 126
