symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
SMN1	0.8756656341011742	0.9694727060473389	No data	0.6604306693563736	No data	0.3259546289374779	No data	0.5165940180502833	survival of motor neuron 1, telomeric
SOD1	0.8715956115337017	0.9505098644750167	No data	0.5792229543910723	No data	0.9908848535453516	No data	0.49059900576836823	superoxide dismutase 1
TARDBP	0.8493830457203918	0.9328432957597564	No data	No data	No data	0.9933675265656152	No data	0.6028563895326968	TAR DNA binding protein
SMN2	0.8470425309456163	0.9283512743238632	No data	0.9624991273086306	No data	0.6969955384937115	No data	0.5165940180502833	survival of motor neuron 2, centromeric
IGHMBP2	0.8391904108355241	0.9406457210257714	No data	No data	No data	0.14715176060989707	No data	0.5515839270134835	immunoglobulin mu DNA binding protein 2
UBQLN2	0.8338269594182772	0.9172591108462885	No data	No data	No data	0.8800368217257266	No data	No data	ubiquilin 2
FUS	0.8333108222809134	0.9151416097464256	No data	No data	No data	0.9775653442106861	No data	0.6114993956788096	FUS RNA binding protein
SQSTM1	0.8259871759132165	0.9086085494315083	No data	No data	No data	0.8813849611531633	No data	No data	sequestosome 1
DYNC1H1	0.8209916133834365	0.9029784258712725	No data	No data	No data	0.397399412066611	No data	0.6210747948194757	dynein cytoplasmic 1 heavy chain 1
BICD2	0.820696604928579	0.9218316059041967	No data	No data	No data	0.14051089690506918	No data	No data	BICD cargo adaptor 2
DCTN1	0.8133105049902116	0.91103760924376	No data	No data	No data	0.20966770232022164	No data	0.6432245010377516	dynactin subunit 1
TBK1	0.808597597097086	0.9052851937158763	No data	No data	No data	0.9173123377476651	No data	No data	TANK binding kinase 1
ATP7A	0.7944086489650553	0.8742337414222734	No data	No data	No data	0.41500902507955323	No data	0.3921609592693165	ATPase copper transporting alpha
SETX	0.7939204195667552	0.8899423042819309	No data	No data	No data	0.3546096070001869	No data	0.35263025915462076	senataxin
ASAH1	0.7904984799531785	0.8715395068749326	No data	No data	No data	0.12388124641882298	No data	No data	N-acylsphingosine amidohydrolase 1
OPTN	0.7865725261870259	0.8652622055022469	No data	No data	No data	0.8353616589881155	No data	No data	optineurin
TRPV4	0.7822295031693268	0.8785912640078366	No data	No data	No data	0.1425959053299351	No data	No data	transient receptor potential cation channel subfamily V member 4
VCP	0.7793970490263689	0.8942315900676007	No data	No data	No data	0.7732217096147596	No data	0.5085292336619062	valosin containing protein
PFN1	0.7788450990162872	0.8729032636479966	No data	No data	No data	0.6390237883096181	No data	No data	profilin 1
VRK1	0.7787282585265568	0.8987836101653731	No data	No data	No data	0.1788150135133836	No data	No data	VRK serine/threonine kinase 1
SEPSECS	0.7763218045378596	0.8969054165039566	No data	No data	No data	0.01823792392834863	No data	No data	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase
ALS2	0.7698406262372264	0.8846087612504533	No data	No data	No data	0.3808470311170578	No data	0.6093369289634187	alsin Rho guanine nucleotide exchange factor ALS2
FIG4	0.7695662645273558	0.8602764810021206	No data	No data	No data	0.5614443615658751	No data	0.4365323083599947	FIG4 phosphoinositide 5-phosphatase
SIGMAR1	0.7677990135414707	0.8520831138993514	No data	0.4665024523339175	No data	0.7091185351917546	No data	No data	sigma non-opioid intracellular receptor 1
BSCL2	0.7553439835265151	0.8722036430660352	No data	No data	No data	0.10058748364460067	No data	No data	BSCL2 lipid droplet biogenesis associated, seipin
TSEN54	0.7507839292957684	0.9070495417047988	No data	No data	No data	0.030987583711592354	No data	No data	tRNA splicing endonuclease subunit 54
CHCHD10	0.7461804451571287	0.8564234710670409	No data	No data	No data	0.7128418792973558	No data	0.44882428068746993	coiled-coil-helix-coiled-coil-helix domain containing 10
VAPB	0.7442673467192504	0.8172779725278997	No data	No data	No data	0.8636136488026297	No data	0.5948895342922289	VAMP associated protein B and C
HSPB8	0.7428937132628656	0.8324393997151682	No data	No data	No data	0.19257420204844883	No data	0.5130317146477605	heat shock protein family B (small) member 8
UBA1	0.7414982043121289	0.8322107955402943	No data	No data	No data	0.3015494451826028	No data	No data	ubiquitin like modifier activating enzyme 1
GARS1	0.7336727319048878	0.8807489915314595	No data	No data	No data	0.15213130470898814	No data	0.545731602102773	glycyl-tRNA synthetase 1
PLEKHG5	0.7323008888536631	0.8461435478304223	No data	No data	No data	No data	No data	No data	pleckstrin homology and RhoGEF domain containing G5
TSEN2	0.7231393539002455	0.8733250432230381	No data	No data	No data	0.06535256074324927	No data	No data	tRNA splicing endonuclease subunit 2
CHMP2B	0.7198789025088405	0.8284842578297753	No data	No data	No data	0.5883421452467993	No data	No data	charged multivesicular body protein 2B
EXOSC3	0.7183895563083098	0.8295924503220258	No data	No data	No data	0.08490507594505721	No data	No data	exosome component 3
ERBB4	0.7177398007987938	0.8027782798538654	No data	No data	No data	0.46305576688077993	No data	0.3810054291331432	erb-b2 receptor tyrosine kinase 4
DNAJB2	0.710625490253418	0.8209205855790707	No data	No data	No data	0.03166306237560527	No data	No data	DnaJ heat shock protein family (Hsp40) member B2
PRPH	0.6878093207865401	0.7901691851172499	No data	No data	No data	0.530980643011732	No data	No data	peripherin
ANG	0.6788199790175994	0.7764833431949968	No data	No data	No data	0.9067032033417833	No data	No data	angiogenin
TSEN34	0.6722606226179354	0.8122699861149558	No data	No data	No data	0.01823792392834863	No data	No data	tRNA splicing endonuclease subunit 34
C9orf72	0.6683618516576783	0.7344819257306695	No data	No data	No data	0.98154645566858	No data	No data	C9orf72-SMCR8 complex subunit
MATR3	0.6663552993757825	0.7662112337962868	No data	No data	No data	0.3039653988058105	No data	0.45354331222857863	matrin 3
SPG11	0.6648289730767379	0.8638793148230055	No data	No data	No data	0.20481555493856454	No data	0.5032728098856267	SPG11 vesicle trafficking associated, spatacsin
HNRNPA1	0.6551711460774554	0.755302712604153	No data	No data	No data	0.3061815255594851	No data	No data	heterogeneous nuclear ribonucleoprotein A1
ATXN2	0.6501356113861886	0.7479700337747027	No data	No data	No data	0.5756578821155888	No data	No data	ataxin 2
HSPB1	0.6317790282260409	0.8267983879088971	No data	No data	No data	0.25787446220147997	No data	No data	heat shock protein family B (small) member 1
ANXA11	0.6298020281866721	0.7532550947935103	No data	No data	No data	0.8570107616865557	No data	No data	annexin A11
TSEN15	0.6076508777440972	0.734355590012895	No data	No data	No data	No data	No data	No data	tRNA splicing endonuclease subunit 15
SCN4A	0.6025991330550222	No data	No data	0.9474729043436806	No data	0.03951550184475537	No data	0.8575758009464974	sodium voltage-gated channel alpha subunit 4
FBXO38	0.5959185970987386	0.7834661589942234	No data	No data	No data	0.04086645917278119	No data	No data	F-box protein 38
EXOSC9	0.595042045035104	0.7830391845556723	No data	No data	No data	No data	No data	No data	exosome component 9
SCN8A	0.594847823754663	No data	No data	0.9473395374671314	No data	0.05319394479101684	No data	0.5991575261387048	sodium voltage-gated channel alpha subunit 8
SCN1A	0.5905402315216542	No data	No data	0.9473395374671314	No data	0.12462581351038234	No data	0.4256967862408975	sodium voltage-gated channel alpha subunit 1
SCN5A	0.5783078325448323	No data	No data	0.9474729043436806	No data	0.07599134970145263	No data	No data	sodium voltage-gated channel alpha subunit 5
SCN11A	0.576286460476102	No data	No data	0.9473395374671314	No data	0.012158615952232422	No data	No data	sodium voltage-gated channel alpha subunit 11
SCN7A	0.576286460476102	No data	No data	0.9473395374671314	No data	0.012158615952232422	No data	No data	sodium voltage-gated channel alpha subunit 7
SCN10A	0.5759168806214173	No data	No data	0.9473395374671314	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 10
SCN2A	0.5759168806214173	No data	No data	0.9473395374671314	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 2
SCN3A	0.5759168806214173	No data	No data	0.9473395374671314	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 3
SCN9A	0.5759168806214173	No data	No data	0.9473395374671314	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 9
PGK1	0.5722789404832748	0.9145779081114996	No data	No data	No data	0.5355498813693175	No data	No data	phosphoglycerate kinase 1
MASP2	0.5703288157424742	0.9381475950603689	No data	No data	No data	No data	No data	No data	MBL associated serine protease 2
EXOSC8	0.5698754308743037	0.6879940466555687	No data	No data	No data	0.07723760783655645	No data	No data	exosome component 8
TUBA4A	0.5675166154798196	0.6824796252286517	No data	No data	No data	0.3672910529380793	No data	No data	tubulin alpha 4a
UNC13A	0.5650575776969433	0.7349088633996701	No data	No data	No data	0.48783282693021474	No data	No data	unc-13 homolog A
SLC5A7	0.5610170785597883	0.6774558943669612	No data	No data	No data	0.05901994826812821	No data	No data	solute carrier family 5 member 7
SPTBN4	0.5545489049632472	0.8888044463149547	No data	No data	No data	No data	No data	0.46772787462313437	spectrin beta, non-erythrocytic 4
MYH14	0.5471770562851408	0.66029867477048	No data	No data	No data	0.10598766847360602	No data	No data	myosin heavy chain 14
NAIP	0.523565099144038	0.8274613634158176	No data	No data	No data	0.6752693750834975	No data	No data	NLR family apoptosis inhibitory protein
NEFH	0.5231785493822393	0.6136491292979526	No data	No data	No data	0.8681090661720393	No data	0.5188266172816921	neurofilament heavy chain
RNASE4	0.5144279279495051	0.8461948793687359	No data	No data	No data	No data	No data	No data	ribonuclease A family member 4
ASCC1	0.5063066374101166	0.8274613634158176	No data	No data	No data	0.10749219380810338	No data	No data	activating signal cointegrator 1 complex subunit 1
MOB3B	0.5043287627491321	0.8283666578798379	No data	No data	No data	0.024317231904464845	No data	No data	MOB kinase activator 3B
ADRA2B	0.47850140284666964	No data	No data	0.7734230702947845	No data	No data	No data	0.27350806584546833	adrenoceptor alpha 2B
ADRB2	0.4752694270174519	No data	No data	0.7810222052649298	No data	0.015198269940290528	No data	No data	adrenoceptor beta 2
MATR3	0.47281009332953977	0.607930797611621	No data	No data	No data	0.8020442059036993	No data	No data	matrin 3 
DAO	0.4722059457823653	0.5424486438154175	No data	No data	No data	0.3715034109232032	No data	No data	D-amino acid oxidase
REEP1	0.4704541796673874	0.7447152270742359	No data	No data	No data	0.012158615952232422	No data	0.5775196793582853	receptor accessory protein 1
ADRA2A	0.4701877040155372	No data	No data	0.7734230702947845	No data	No data	No data	No data	adrenoceptor alpha 2A
ADRA2C	0.4701877040155372	No data	No data	0.7734230702947845	No data	No data	No data	No data	adrenoceptor alpha 2C
FGGY	0.464558694845477	0.7599134970145264	No data	No data	No data	0.08500561247270494	No data	No data	FGGY carbohydrate kinase domain containing
UBQLN4	0.46395617702127023	0.7599134970145264	No data	No data	No data	0.06518369107724604	No data	No data	ubiquilin 4
WARS1	0.463095187021494	0.7584887903592356	No data	No data	No data	0.06535256074324927	No data	No data	tryptophanyl-tRNA synthetase 1
CFAP410	0.46257545787508775	0.5526335470573984	No data	No data	No data	0.696467371410862	No data	No data	cilia and flagella associated protein 410
ADRA1D	0.4623443982105619	No data	No data	0.7599134970145264	No data	0.012158615952232422	No data	No data	adrenoceptor alpha 1D
ADRA1B	0.4619748183558772	No data	No data	0.7599134970145264	No data	No data	No data	No data	adrenoceptor alpha 1B
ADRA1A	0.4619748183558772	No data	No data	0.7599134970145264	No data	No data	No data	No data	adrenoceptor alpha 1A
ADRB3	0.4619748183558772	No data	No data	0.7599134970145264	No data	No data	No data	No data	adrenoceptor beta 3
ADRB1	0.4619748183558772	No data	No data	0.7599134970145264	No data	No data	No data	No data	adrenoceptor beta 1
