symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
SOD1	0.871550667593669	0.9505035041345987	No data	0.5792229543910723	No data	0.9899984915973982	No data	0.46562113843401326	superoxide dismutase 1
TARDBP	0.8493231949034975	0.9328172880432196	No data	No data	No data	0.9930254029624621	No data	0.5842112673583346	TAR DNA binding protein
UBQLN2	0.8338581478165769	0.9172591108462885	No data	No data	No data	0.8705387938738448	0.02882240242908652	No data	ubiquilin 2
FUS	0.8333118311866867	0.9151416097464256	No data	No data	No data	0.9780801072422788	No data	0.6113581156114376	FUS RNA binding protein
SQSTM1	0.8258226893115841	0.908607411618473	No data	No data	No data	0.8155115543958187	No data	No data	sequestosome 1
TBK1	0.808590210619997	0.9052808272579915	No data	No data	No data	0.916275646169456	No data	No data	TANK binding kinase 1
DCTN1	0.7993318348138818	0.9191693139986723	No data	No data	No data	0.20800141115595322	No data	0.6431200908857493	dynactin subunit 1
SETX	0.7940494134001674	0.890087712392486	No data	No data	No data	0.35439465658261504	No data	0.3527670435840834	senataxin
OPTN	0.7865707006542121	0.8652622549042042	No data	No data	No data	0.8346079065924858	No data	No data	optineurin
PFN1	0.7793505444555504	0.8729032636479966	No data	No data	No data	0.7886792744682937	No data	No data	profilin 1
VCP	0.77903040511622	0.8942315900676007	No data	No data	No data	0.7694850374519254	No data	0.40535179105499364	valosin containing protein
FIG4	0.7694725694179434	0.8602735999361248	No data	No data	No data	0.5348506949901094	No data	0.4478443637895862	FIG4 phosphoinositide 5-phosphatase
ALS2	0.7693105812205083	0.8842667884780787	No data	No data	No data	0.3804777564914783	No data	0.5614624239145339	alsin Rho guanine nucleotide exchange factor ALS2
SIGMAR1	0.7214703270754558	0.8177521392692083	No data	0.4665024523339175	No data	0.7096994761466531	No data	No data	sigma non-opioid intracellular receptor 1
CHMP2B	0.7198751713849196	0.8284842578297753	No data	No data	No data	0.5875749683050467	No data	No data	charged multivesicular body protein 2B
ERBB4	0.7176386069713653	0.8026032768822282	No data	No data	No data	0.4629937331259216	No data	0.39723718142937353	erb-b2 receptor tyrosine kinase 4
PRPH	0.6877607552775507	0.7901691851172499	No data	No data	No data	0.5245897170470968	No data	No data	peripherin
VAPB	0.6857254506149927	0.7853319150609768	No data	No data	No data	0.8628971811795259	No data	0.5500582849500515	VAMP associated protein B and C
ANG	0.6788101177697734	0.7764833431949968	No data	No data	No data	0.9054055230314819	No data	No data	angiogenin
C9orf72	0.6683598946468495	0.7344819257306695	No data	No data	No data	0.9807577677867706	No data	No data	C9orf72-SMCR8 complex subunit
MATR3	0.6663037869413343	0.7662112337962868	No data	No data	No data	0.3039653988058105	No data	0.44295155683251886	matrin 3
SPG11	0.6661664273309597	0.8655073561948121	No data	No data	No data	0.20471146202741441	No data	0.5107545160855533	SPG11 vesicle trafficking associated, spatacsin
HNRNPA1	0.6551429418833083	0.755302712604153	No data	No data	No data	0.30038230584196557	No data	No data	heterogeneous nuclear ribonucleoprotein A1
ATXN2	0.650399391134121	0.7479700337747027	No data	No data	No data	0.6298950890823766	No data	No data	ataxin 2
ANXA11	0.6299097769900106	0.7532550947935103	No data	No data	No data	0.8711898496698517	No data	No data	annexin A11
SCN4A	0.5992015375441408	No data	No data	0.9473395374671314	No data	0.03951550184475537	No data	0.7484674059687957	sodium voltage-gated channel alpha subunit 4
SCN8A	0.5927570923834964	No data	No data	0.9471967767975213	No data	0.04863446380892969	No data	0.5352572885259191	sodium voltage-gated channel alpha subunit 8
SCN1A	0.5819281596159713	No data	No data	0.9471967767975213	No data	0.20061716321183495	No data	No data	sodium voltage-gated channel alpha subunit 1
SCN5A	0.5782267547131967	No data	No data	0.9473395374671314	No data	0.07599134970145263	No data	No data	sodium voltage-gated channel alpha subunit 5
SCN7A	0.5761996718683584	No data	No data	0.9471967767975213	No data	0.012158615952232422	No data	No data	sodium voltage-gated channel alpha subunit 7
SCN2A	0.5758300920136737	No data	No data	0.9471967767975213	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 2
SCN9A	0.5758300920136737	No data	No data	0.9471967767975213	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 9
SCN3A	0.5758300920136737	No data	No data	0.9471967767975213	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 3
SCN10A	0.5758300920136737	No data	No data	0.9471967767975213	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 10
SCN11A	0.5758300920136737	No data	No data	0.9471967767975213	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 11
MASP2	0.5702275835748399	0.9379810758314832	No data	No data	No data	No data	No data	No data	MBL associated serine protease 2
TUBA4A	0.5675160999533164	0.6824796252286517	No data	No data	No data	0.3672232127819087	No data	No data	tubulin alpha 4a
UNC13A	0.565452749929594	0.7349088633996701	No data	No data	No data	0.5170841011527775	No data	No data	unc-13 homolog A
NEFH	0.5230419319198004	0.6676553356376713	No data	No data	No data	0.8678580564305345	No data	0.5207486141917894	neurofilament heavy chain
RNASE4	0.515531534460022	0.8461948793687359	No data	No data	No data	0.03630697819069404	No data	No data	ribonuclease A family member 4
MOB3B	0.5043287627491321	0.8283666578798379	No data	No data	No data	0.024317231904464845	No data	No data	MOB kinase activator 3B
MATR3	0.47280891670534914	0.607930797611621	No data	No data	No data	0.8019571103185014	No data	No data	matrin 3 
DAO	0.4721815848976381	0.5424486438154175	No data	No data	No data	0.36829766647690226	No data	No data	D-amino acid oxidase
FGGY	0.464558694845477	0.7599134970145264	No data	No data	No data	0.08500561247270494	No data	No data	FGGY carbohydrate kinase domain containing
UBQLN4	0.46391511259297197	0.7599134970145264	No data	No data	No data	0.06383273374922022	No data	No data	ubiquilin 4
CFAP410	0.46279003313125167	0.5526335470573984	No data	No data	No data	0.7247041716528533	No data	No data	cilia and flagella associated protein 410
SPTLC1	0.4533478179865082	0.5836135657071562	No data	No data	No data	0.7292600706539675	No data	No data	serine palmitoyltransferase long chain base subunit 1
GRN	0.44805753555529815	0.7207357345017775	No data	No data	No data	0.32569778176494574	No data	No data	granulin precursor
SYNE1	0.4356354552653518	0.6991204172533643	No data	No data	No data	0.034787151196664985	No data	0.3338755940483023	spectrin repeat containing nuclear envelope protein 1
CCNF	0.41744802685680465	0.5349791018982265	No data	No data	No data	0.8075892907421409	No data	No data	cyclin F
GLE1	0.4116736717120864	0.5349791018982265	No data	No data	No data	0.3801623820657274	No data	No data	GLE1 RNA export mediator
CHCHD10	0.410765035748246	0.5252522091364406	No data	No data	No data	0.7101940850162238	No data	0.26639527551341236	coiled-coil-helix-coiled-coil-helix domain containing 10
PLEKHG5	0.406537840153172	0.6687238773727833	No data	No data	No data	No data	No data	No data	pleckstrin homology and RhoGEF domain containing G5
PON1	0.4037577377734254	0.5252522091364406	No data	No data	No data	0.34135013877058434	No data	No data	paraoxonase 1
PPARGC1A	0.3880107802980014	0.607930797611621	No data	No data	No data	0.46129041923378206	No data	0.32638284696773906	PPARG coactivator 1 alpha
MOBP	0.38636916129445686	0.502471617497652	No data	No data	No data	0.33562846118141576	No data	No data	myelin associated oligodendrocyte basic protein
TMEM106B	0.3853470650443428	0.607930797611621	No data	No data	No data	0.36287083840735646	No data	0.35065448406238303	transmembrane protein 106B
CHRNA3	0.38354997319178347	0.6309105817613403	No data	No data	No data	No data	No data	No data	cholinergic receptor nicotinic alpha 3 subunit
TNNC2	0.3759698778014569	No data	No data	0.6184419004244077	No data	No data	No data	No data	troponin C2, fast skeletal type
TNNT3	0.3759698778014569	No data	No data	0.6184419004244077	No data	No data	No data	No data	troponin T3, fast skeletal type
