symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
IL4R	0.7215834559111767	0.8784322001801678	No data	0.9531784445694809	No data	0.6373574230220368	No data	No data	interleukin 4 receptor
FLG	0.7075059335609151	0.9259562458303916	No data	No data	No data	0.2856703634850844	No data	No data	filaggrin
ADORA1	0.7016090802614764	0.6442283894510021	No data	0.9905034621838338	No data	0.11398959584363837	No data	No data	adenosine A1 receptor
TSLP	0.6735748641842298	0.7874171965748702	No data	0.8905068703456905	No data	0.9278250959225925	No data	No data	thymic stromal lymphopoietin
PDE4D	0.6646646323727154	0.3893027896486526	No data	0.9911369683094475	No data	0.21870830179536793	No data	No data	phosphodiesterase 4D
IL33	0.657999761681882	0.8418513037033764	No data	0.16253705352810702	No data	0.8949126838098784	No data	No data	interleukin 33
ADRB2	0.6315300465026014	No data	No data	0.9991839675145293	No data	0.7927000989393183	No data	No data	adrenoceptor beta 2
IGHE	0.6291655577976041	No data	No data	0.9858675658694994	No data	0.9812400443047353	No data	No data	immunoglobulin heavy constant epsilon
NR3C1	0.6280371954940202	No data	No data	0.9988850764460169	No data	0.6837684265874643	No data	No data	nuclear receptor subfamily 3 group C member 1
IL5	0.625733265269745	0.14696491789272323	No data	0.9749436557991759	No data	0.7602123276087255	No data	No data	interleukin 5
CYSLTR1	0.6243405586003742	No data	No data	0.9974850051470504	No data	0.5901561127079493	No data	No data	cysteinyl leukotriene receptor 1
PDE4A	0.6209402547824321	No data	No data	0.9911369683094475	No data	0.6052520177620322	No data	No data	phosphodiesterase 4A
CHRM3	0.6088526020181816	No data	No data	0.9956532846530693	No data	0.11726027200509788	No data	No data	cholinergic receptor muscarinic 3
ADORA2A	0.6084752818526249	No data	No data	0.990400077821077	No data	0.20991114821993723	No data	No data	adenosine A2a receptor
PDE4B	0.6073330850790016	No data	No data	0.9911369683094475	No data	0.1575967992112025	No data	No data	phosphodiesterase 4B
PDE3B	0.6054224021153644	No data	No data	0.9904271631762837	No data	0.10432823298257066	0.010363727407316345	No data	phosphodiesterase 3B
ADORA2B	0.6045359036848311	No data	No data	0.990400077821077	No data	0.08031158908359157	No data	No data	adenosine A2b receptor
ADORA3	0.6034799468031914	No data	No data	0.990400077821077	No data	0.045572211319268224	No data	No data	adenosine A3 receptor
PDE3A	0.6029427299590139	No data	No data	0.9904271631762837	No data	0.02735688589252295	No data	No data	phosphodiesterase 3A
PDE4C	0.6025426876867265	No data	No data	0.9911369683094475	No data	No data	No data	No data	phosphodiesterase 4C
ADRA2A	0.601597430654241	No data	No data	0.9829455143933804	No data	0.13273155747853727	No data	No data	adrenoceptor alpha 2A
IL5RA	0.6010210354796913	No data	No data	0.9662469011759603	No data	0.44774129593372564	No data	No data	interleukin 5 receptor subunit alpha
ADRA1B	0.6006683479639918	No data	No data	0.9829455143933804	No data	0.102166147931953	No data	No data	adrenoceptor alpha 1B
ADRA1D	0.6002669073067963	No data	No data	0.9829455143933804	No data	0.08895935996290653	No data	No data	adrenoceptor alpha 1D
ADRB1	0.5995264882844906	No data	No data	0.9836561827750436	No data	0.050387330942043194	No data	No data	adrenoceptor beta 1
ADRB3	0.5986253926561514	No data	No data	0.9829455143933804	No data	0.03495602086266821	No data	No data	adrenoceptor beta 3
ADRA1A	0.5981163570864163	No data	No data	0.9838559905769492	No data	No data	No data	No data	adrenoceptor alpha 1A
ADRA2B	0.5979324304286175	No data	No data	0.9829455143933804	No data	0.012158615952232422	No data	No data	adrenoceptor alpha 2B
ADRA2C	0.5975628505739329	No data	No data	0.9829455143933804	No data	No data	No data	No data	adrenoceptor alpha 2C
VDR	0.59386276504102	No data	No data	0.945716899521925	No data	0.6228451025756974	No data	No data	vitamin D receptor
ALOX5	0.5629414071057594	No data	No data	0.9131513652036191	No data	0.2568900719641129	No data	No data	arachidonate 5-lipoxygenase
IL13	0.5579924251320639	0.7316194823001874	No data	0.6608941403961972	No data	0.9455468331334893	No data	No data	interleukin 13
HRH1	0.5540218045296071	No data	No data	0.9070437427362649	No data	0.08560114241759138	No data	No data	histamine receptor H1
SCN10A	0.5422095781972186	No data	No data	0.8897742701710087	No data	0.04238628616681025	No data	No data	sodium voltage-gated channel alpha subunit 10
SCN7A	0.5418451313960712	No data	No data	0.8897742701710087	No data	0.030396539880581056	No data	No data	sodium voltage-gated channel alpha subunit 7
SCN9A	0.5415679465050576	No data	No data	0.8897742701710087	No data	0.021277577916406734	No data	No data	sodium voltage-gated channel alpha subunit 9
CHRM1	0.5415658751083153	No data	No data	0.8845359032345552	No data	0.12597677083840814	No data	No data	cholinergic receptor muscarinic 1
SCN1A	0.5409211817593593	No data	No data	0.8897742701710087	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 1
SCN3A	0.5409211817593593	No data	No data	0.8897742701710087	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 3
SCN8A	0.5409211817593593	No data	No data	0.8897742701710087	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 8
SCN2A	0.5409211817593593	No data	No data	0.8897742701710087	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 2
SCN11A	0.5409211817593593	No data	No data	0.8897742701710087	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 11
SCN5A	0.5409211817593593	No data	No data	0.8897742701710087	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 5
SCN4A	0.5409211817593593	No data	No data	0.8897742701710087	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 4
OTULINL	0.5346315962802157	0.8745649332646587	No data	No data	No data	0.09726892761785938	No data	No data	OTU deubiquitinase with linear linkage specificity like
SMAD3	0.5297494675412299	0.8555470972934245	No data	No data	No data	0.31701102583347635	No data	No data	SMAD family member 3
BACH2	0.5295410492850543	0.8650630673252405	No data	No data	No data	0.11983498108587073	No data	No data	BTB domain and CNC homolog 2
IL1RL1	0.5279588634493665	0.8119662452276196	No data	0.12158615952232422	No data	0.8595284462445565	No data	No data	interleukin 1 receptor like 1
CARD11	0.5252312790921451	0.6890649639014133	No data	No data	No data	0.11854650553426611	No data	No data	caspase recruitment domain family member 11
PRR5L	0.5212161794193133	0.8559931932889547	No data	No data	No data	0.02735688589252295	No data	No data	proline rich 5 like
TNFRSF11A	0.5176626626645974	0.8418954363490845	No data	No data	No data	0.19240672005075798	No data	No data	TNF receptor superfamily member 11a
IL18R1	0.5150958610568198	0.8334575432308169	No data	No data	No data	0.2767207076243827	No data	No data	interleukin 18 receptor 1
IL2RA	0.51330117429371	0.811285393432971	No data	0.12158615952232422	No data	0.1196784832185432	No data	No data	interleukin 2 receptor subunit alpha
NOD2	0.506736915706103	0.8095263955974228	No data	No data	No data	0.4803470526666418	No data	No data	nucleotide binding oligomerization domain containing 2
JAZF1	0.5021372438127853	0.8253697064359896	No data	No data	No data	0.012158615952232422	No data	No data	JAZF zinc finger 1
GATA3	0.496717359792676	0.788512731903509	No data	No data	No data	0.5709921533123415	No data	No data	GATA binding protein 3
CD247	0.4950512658696286	0.8058107104108299	No data	No data	No data	0.17022062333125393	No data	No data	CD247 molecule
TNFSF4	0.4939126023428241	0.755759196935687	No data	0.1587374860430344	No data	0.7652321141223125	No data	No data	TNF superfamily member 4
TESPA1	0.49071333006822215	0.7883403118510393	No data	No data	No data	0.3769170945192051	No data	No data	thymocyte expressed, positive selection associated 1
PTPRC	0.488786126224119	0.795643698228348	No data	No data	No data	0.1674472872733475	No data	No data	protein tyrosine phosphatase receptor type C
ADAMTSL3	0.4827173178789077	0.7934254028899729	No data	No data	No data	0.012158615952232422	No data	No data	ADAMTS like 3
TNFAIP8	0.48172007261598604	0.7908731139599753	No data	No data	No data	0.030396539880581056	No data	No data	TNF alpha induced protein 8
RORA	0.47362689079378933	0.7535906525695991	No data	No data	No data	0.5097923765458106	No data	No data	RAR related orphan receptor A
SERPINB7	0.47093071787641	0.7746452716765732	No data	No data	No data	No data	No data	No data	serpin family B member 7
ATP4A	0.4701877040155372	No data	No data	0.7734230702947845	No data	No data	No data	No data	ATPase H+/K+ transporting subunit alpha
PRKCQ	0.468306484623618	0.7688087802478718	No data	No data	No data	0.030396539880581056	No data	No data	protein kinase C theta
ITGB8	0.46748486225598007	0.7689771008354713	No data	No data	No data	No data	No data	No data	integrin subunit beta 8
IL6	0.4674311609689353	0.7075579104443481	No data	0.15198269940290526	No data	0.8888777850263408	No data	No data	interleukin 6
ZBTB10	0.4645297574144601	0.7620475243529081	No data	No data	No data	0.04137306817079087	No data	No data	zinc finger and BTB domain containing 10
TBL1XR1	0.46200193900863074	0.7599581084289506	No data	No data	No data	No data	No data	No data	TBL1X/Y related 1
ALDH5A1	0.4619748183558772	No data	No data	0.7599134970145264	No data	No data	No data	No data	aldehyde dehydrogenase 5 family member A1
SLC6A2	0.4619748183558772	No data	No data	0.7599134970145264	No data	No data	No data	No data	solute carrier family 6 member 2
AHI1	0.4580357114554371	0.7534339652719074	No data	No data	No data	No data	No data	No data	Abelson helper integration site 1
RUNX3	0.45447565012877117	0.7351839809839522	No data	No data	No data	0.24787907464177367	No data	No data	RUNX family transcription factor 3
BCL2L11	0.45446439063235067	0.7442917856622352	No data	No data	No data	0.06535256074324927	No data	No data	BCL2 like 11
ZNF217	0.453751824887208	0.7463872971559653	No data	No data	No data	No data	No data	No data	zinc finger protein 217
ZDHHC12	0.4519343525574815	0.7433976931798765	No data	No data	No data	No data	No data	No data	zinc finger DHHC-type palmitoyltransferase 12
PTGS1	0.45166747001142105	No data	No data	0.7340595511494321	No data	0.17798281014788894	No data	No data	prostaglandin-endoperoxide synthase 1
RAD51B	0.4509799476982632	0.7418277696573837	No data	No data	No data	No data	No data	No data	RAD51 paralog B
PLXNC1	0.449249443145529	0.7389812210707143	No data	No data	No data	No data	No data	No data	plexin C1
