symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
KRT18	0.6093705020695471	0.7914879889734727	No data	No data	No data	0.29185484009441126	No data	0.4212014757318916	keratin 18
NR1H4	0.6002936399012015	No data	No data	0.9616800349821879	No data	0.5151484099449132	No data	No data	nuclear receptor subfamily 1 group H member 4
SLC12A1	0.5973144912992426	No data	No data	0.9800757068632079	No data	0.04922550763994099	No data	No data	solute carrier family 12 member 1
IMPDH1	0.5937497185158149	No data	No data	0.9766732017007209	No data	No data	No data	No data	inosine monophosphate dehydrogenase 1
KRT8	0.5567520054285461	0.7312732016603789	No data	No data	No data	0.07754719265111874	No data	No data	keratin 8
AVPR2	0.5435153254084999	No data	No data	0.8850025815927912	No data	0.18077715799359856	No data	No data	arginine vasopressin receptor 2
NR3C2	0.5289709593730808	No data	No data	0.865457038266544	No data	0.09320046992978191	No data	No data	nuclear receptor subfamily 3 group C member 2
PNPLA3	0.5173378491404554	0.8050264008886236	No data	No data	No data	0.7995958723605071	No data	0.26888779178362	patatin like phospholipase domain containing 3
ADRB2	0.5149879142050541	No data	No data	0.8386574222718315	No data	0.16917183931578242	No data	No data	adrenoceptor beta 2
ADRB1	0.5121683823702432	No data	No data	0.8386574222718315	No data	0.0764135238664607	No data	No data	adrenoceptor beta 1
GABRA2	0.51058483535399	No data	No data	0.8337939758909385	No data	0.12158615952232422	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha2
IFNAR1	0.5101507061289183	No data	No data	0.8257268307035843	No data	0.03926219734575053	No data	0.25119700557312186	interferon alpha and beta receptor subunit 1
SSTR2	0.5084135537077175	No data	No data	0.8274613634158176	No data	0.17680654030537976	No data	No data	somatostatin receptor 2
GABRG2	0.5078129864438548	No data	No data	0.8337939758909385	No data	0.030396539880581056	No data	No data	gamma-aminobutyric acid type A receptor subunit gamma2
GABRG1	0.5072586166618277	No data	No data	0.8337939758909385	No data	0.012158615952232422	No data	No data	gamma-aminobutyric acid type A receptor subunit gamma1
GABRA5	0.506889036807143	No data	No data	0.8337939758909385	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha5
GABRA1	0.506889036807143	No data	No data	0.8337939758909385	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha1
GABRA3	0.506889036807143	No data	No data	0.8337939758909385	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha3
GABRG3	0.506889036807143	No data	No data	0.8337939758909385	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit gamma3
SSTR1	0.5054800136111576	No data	No data	0.8274613634158176	No data	0.08029752618453495	No data	No data	somatostatin receptor 1
SSTR5	0.5053953182277924	No data	No data	0.8274613634158176	No data	0.07751117669548169	No data	No data	somatostatin receptor 5
SSTR4	0.5052567257822856	No data	No data	0.8274613634158176	No data	0.07295169571339452	No data	No data	somatostatin receptor 4
SSTR3	0.5052567257822856	No data	No data	0.8274613634158176	No data	0.07295169571339452	No data	No data	somatostatin receptor 3
HMGCR	0.5052427912296706	No data	No data	0.8289191758012089	No data	0.043337022386408415	No data	No data	3-hydroxy-3-methylglutaryl-CoA reductase
IFNAR2	0.5042176490876661	No data	No data	0.8257268307035843	No data	0.07345830471140422	No data	No data	interferon alpha and beta receptor subunit 2
FARSB	0.49781379815321886	0.8181059839192389	No data	No data	No data	0.015198269940290528	No data	No data	phenylalanyl-tRNA synthetase subunit beta
AVPR1A	0.4957092462029308	No data	No data	0.8147961384655754	No data	0.012158615952232422	No data	No data	arginine vasopressin receptor 1A
SCNN1A	0.4912197003425656	0.1924224408540105	No data	0.7599134970145264	No data	No data	No data	No data	sodium channel epithelial 1 subunit alpha
AVPR1B	0.49071991816468735	No data	No data	0.8071970034954302	No data	No data	No data	No data	arginine vasopressin receptor 1B
IL12RB2	0.4872854052899923	0.7834074122955058	No data	No data	No data	0.3628015662853328	No data	No data	interleukin 12 receptor subunit beta 2
IL12A	0.4703219311893365	0.7519448494667383	No data	No data	No data	0.43398028673320616	No data	No data	interleukin 12A
STAT4	0.4687387219966615	0.7424306419170748	No data	No data	No data	0.5721792596471645	No data	No data	signal transducer and activator of transcription 4
SLC12A3	0.46553715751075475	No data	No data	0.7599134970145264	No data	0.11719554820624029	No data	No data	solute carrier family 12 member 3
IL7R	0.4591493978313698	0.7509145107533737	No data	No data	No data	0.08702768082564345	No data	No data	interleukin 7 receptor
TNFSF15	0.4568582796295555	0.7329946093093986	No data	No data	No data	0.37005140029968375	No data	No data	TNF superfamily member 15
PDE5A	0.4530591033358183	No data	No data	0.7316278279589856	No data	0.2723998969087915	No data	No data	phosphodiesterase 5A
RAD51B	0.44714941239740863	0.7347669164548902	No data	No data	No data	0.015198269940290528	No data	No data	RAD51 paralog B
GABRA6	0.43554985874592106	No data	No data	0.7143186871936548	No data	0.04255515583281348	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha6
GABRB1	0.4346259091092093	No data	No data	0.7143186871936548	No data	0.012158615952232422	No data	No data	gamma-aminobutyric acid type A receptor subunit beta1
GABRD	0.4342563292545246	No data	No data	0.7143186871936548	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit delta
GABRB2	0.4342563292545246	No data	No data	0.7143186871936548	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit beta2
GABRE	0.4342563292545246	No data	No data	0.7143186871936548	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit epsilon
GABRA4	0.4342563292545246	No data	No data	0.7143186871936548	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha4
GABRP	0.4342563292545246	No data	No data	0.7143186871936548	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit pi
GABRB3	0.4342563292545246	No data	No data	0.7143186871936548	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit beta3
GABRQ	0.4342563292545246	No data	No data	0.7143186871936548	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit theta
ELMO1	0.42988663814685785	0.7053915195659093	No data	No data	No data	0.034787151196664985	No data	No data	engulfment and cell motility 1
NAB1	0.42792044802386825	0.7038966436723393	No data	No data	No data	No data	No data	No data	NGFI-A binding protein 1
TET2	0.4261891241242138	0.7010487473222016	No data	No data	No data	No data	No data	No data	tet methylcytosine dioxygenase 2
PLCL2	0.42385523883438697	0.6958418389449595	No data	No data	No data	0.02735688589252295	No data	No data	phospholipase C like 2
MANBA	0.4234074328405864	0.6764862537587707	No data	No data	No data	0.39973645248622125	No data	No data	mannosidase beta
RIN3	0.41938859806172735	0.6769833843870466	No data	No data	No data	No data	No data	0.2575802789480438	Ras and Rab interactor 3
CD226	0.418988514858014	0.657135942269886	No data	No data	No data	0.6413669914802602	No data	No data	CD226 molecule
NFKB1	0.4187319274701675	0.6613914440713681	No data	No data	No data	0.5478156200599951	No data	No data	nuclear factor kappa B subunit 1
TMEM163	0.41809381615531693	0.6839330129301374	No data	No data	No data	0.07599134970145263	No data	No data	transmembrane protein 163
CD58	0.41454629634001255	0.6754157086075145	No data	No data	No data	0.12962942171405797	No data	No data	CD58 molecule
