symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
NOD2	0.866452322756437	0.952273462604676	No data	No data	No data	0.9009847735410603	No data	0.4354330681561132	nucleotide binding oligomerization domain containing 2
IL10RA	0.8169263565380518	0.9089186613220109	No data	No data	0.5611809192752875	0.6823828474246253	No data	0.870178042739531	interleukin 10 receptor subunit alpha
IL10RB	0.7872543954299536	0.9057876352168587	No data	No data	No data	0.4940890177161233	No data	0.2756966167168702	interleukin 10 receptor subunit beta
ADAM17	0.7125181211974091	0.8530990225706621	No data	No data	No data	0.610672288864901	No data	0.40528044362110727	ADAM metallopeptidase domain 17
ITGA4	0.7038354239510877	0.6793122187858052	No data	0.9851407832787061	No data	0.1254145507881405	No data	No data	integrin subunit alpha 4
IL12B	0.6960909192136985	0.7467826380847715	No data	0.9398332274333826	No data	0.8319518464210719	No data	No data	interleukin 12B
JAK2	0.652919308510086	0.7176973964754831	0.3039653988058105	0.8536222449398299	No data	0.5745725641161951	No data	No data	Janus kinase 2
TNF	0.6462881341217734	0.06866811454018058	No data	0.9949179754384949	No data	0.9881860704198261	No data	0.6514141432237571	tumor necrosis factor
IL10	0.6401518298155924	0.7309018100114603	No data	No data	No data	0.972931314130311	No data	0.8455973320864573	interleukin 10
PPARG	0.6317112882454781	No data	No data	0.9952479731312749	No data	0.7612984759665753	0.011063152234845115	0.2549661765183139	peroxisome proliferator activated receptor gamma
PTGS2	0.6311428038395152	No data	No data	0.9953747792952267	No data	0.5314678133810605	0.03498287865703037	0.6111905310780559	prostaglandin-endoperoxide synthase 2
ITGB7	0.6217567603375707	No data	No data	0.983949394544069	No data	0.2859932061849982	No data	0.6487571941998957	integrin subunit beta 7
NR3C1	0.6198482441888631	No data	No data	0.9979512915789819	No data	0.43304006223795144	No data	No data	nuclear receptor subfamily 3 group C member 1
ALOX5	0.6141804513275396	No data	No data	0.9952390584640226	No data	0.3008229468614403	No data	No data	arachidonate 5-lipoxygenase
PTGS1	0.6133611654037328	No data	No data	0.9952986062873393	No data	0.27267872772028495	No data	No data	prostaglandin-endoperoxide synthase 1
JAK3	0.6100991788980263	No data	0.4559480982087158	0.8539334712610197	0.49066094675233934	0.20861674642900588	0.02581070472161097	0.5260046791471318	Janus kinase 3
TYK2	0.6017146918534163	0.46785238866545037	No data	0.8545471827899647	No data	0.6653616340628005	No data	0.2783107191466001	tyrosine kinase 2
BACH2	0.6007601892206723	0.7796224086970435	No data	No data	No data	0.3105413364216277	No data	0.44078022480830586	BTB domain and CNC homolog 2
PPAT	0.5953628207651837	No data	No data	0.9793266324130752	No data	No data	No data	No data	phosphoribosyl pyrophosphate amidotransferase
VDR	0.5928294338615941	No data	No data	0.9229276447263466	No data	0.9015687909270513	No data	0.32189935733535335	vitamin D receptor
INAVA	0.5896280132324033	0.6781070595810456	No data	No data	No data	0.08929219959262646	No data	0.5045621456750258	innate immunity activator
GABRA2	0.5876327252536819	0.38146530481160873	No data	0.8708181332141892	No data	No data	0.019203878236169605	No data	gamma-aminobutyric acid type A receptor subunit alpha2
IL21	0.5857807883463739	0.655143718435419	No data	No data	No data	0.8440723801525205	No data	No data	interleukin 21
MMP7	0.5847029810006559	No data	No data	0.9156084886248198	No data	0.742150317277686	0.027208835034120086	0.39311507288223474	matrix metallopeptidase 7
IL23R	0.5821648092437177	0.7498394704783001	No data	No data	No data	0.9142905387753189	No data	No data	interleukin 23 receptor
MMP1	0.5759933385496261	No data	No data	0.9156084886248198	No data	0.5878775837983597	0.11083217123741362	No data	matrix metallopeptidase 1
TNFSF15	0.5701225650697308	0.887225145959476	No data	No data	No data	0.8764868578674035	No data	0.304147778045094	TNF superfamily member 15
DHFR	0.5687609045602616	No data	No data	0.9331916596729932	No data	0.0475368109799087	No data	No data	dihydrofolate reductase
MMP13	0.5687498361234617	No data	No data	0.9156084886248198	No data	0.39883609718187274	No data	No data	matrix metallopeptidase 13
MMP8	0.5657083372669408	No data	No data	0.9156084886248198	No data	0.29877540381117734	No data	No data	matrix metallopeptidase 8
TET2	0.5523705881812196	0.7853184503727076	0.4559480982087158	No data	No data	0.2749753230155272	No data	0.25533093499688087	tet methylcytosine dioxygenase 2
GPR65	0.5490124443216404	0.8014871692506862	No data	No data	0.6821287514601194	0.7230336759850619	0.02104835889650001	No data	G protein-coupled receptor 65
RIPK1	0.54252951050358	0.8479363796287446	No data	0.13678442946261474	No data	0.46293128259584193	No data	No data	receptor interacting serine/threonine kinase 1
EGFR	0.5423205152926927	0.6161848106595451	0.3039653988058105	No data	No data	0.487783561058876	No data	No data	epidermal growth factor receptor
GRIN2A	0.5384265177402376	No data	0.4559480982087158	0.7716837127349514	No data	No data	No data	No data	glutamate ionotropic receptor NMDA type subunit 2A
TRIM22	0.5320683320968449	0.8274613634158176	No data	No data	0.3200755649425185	0.325566258743022	0.040511193362359706	No data	tripartite motif containing 22
TGFB1	0.5314979056600712	0.8159951130941984	No data	No data	No data	0.9287018183385739	No data	0.532957163181099	transforming growth factor beta 1
HSPA1L	0.5311809507818697	0.8479363796287446	No data	No data	No data	0.5163190038048697	No data	No data	heat shock protein family A (Hsp70) member 1 like
S1PR1	0.5308201867243435	No data	No data	0.8563419465407986	No data	0.33633907594985757	No data	No data	sphingosine-1-phosphate receptor 1
GABRA1	0.5306906917909614	No data	No data	0.8708181332141892	No data	0.04255515583281348	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha1
GABRG2	0.5303211119362767	No data	No data	0.8708181332141892	No data	0.030396539880581056	No data	No data	gamma-aminobutyric acid type A receptor subunit gamma2
JAK1	0.529884037435155	No data	No data	0.8619703386265114	No data	0.19297334431568328	No data	No data	Janus kinase 1
GABRA3	0.5293971622995649	No data	No data	0.8708181332141892	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha3
GABRG1	0.5293971622995649	No data	No data	0.8708181332141892	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit gamma1
GABRA5	0.5293971622995649	No data	No data	0.8708181332141892	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit alpha5
GABRG3	0.5293971622995649	No data	No data	0.8708181332141892	No data	No data	No data	No data	gamma-aminobutyric acid type A receptor subunit gamma3
FKBP1A	0.5247143625264109	No data	No data	0.8600756291788045	No data	0.06079307976116211	No data	No data	FKBP prolyl isomerase 1A
SNX20	0.5237517704208952	0.7833475455354527	No data	No data	0.6113960031580074	0.06807642845588133	0.01976294355584433	No data	sorting nexin 20
PTPN2	0.5202495150886135	0.8071788219565941	No data	No data	No data	0.8496349242029154	No data	0.2749670997597362	protein tyrosine phosphatase non-receptor type 2
SMAD3	0.5193372078496966	0.8239354829064531	No data	No data	No data	0.4868388482824995	No data	0.2696781018205151	SMAD family member 3
ATP4A	0.5137310829037635	No data	No data	0.8375719177198038	No data	0.14953408924585845	No data	No data	ATPase H+/K+ transporting subunit alpha
LRRK2	0.51311191517976	0.7888329415410279	No data	No data	0.3060931565974512	0.762099847907732	No data	No data	leucine rich repeat kinase 2
ANKRD55	0.507765310949217	0.8333408315335463	No data	No data	No data	0.03789097565780432	No data	No data	ankyrin repeat domain 55
ATG16L1	0.5043007123788165	0.6043886996106783	No data	No data	No data	0.5516963420602962	No data	No data	autophagy related 16 like 1
SYK	0.5029600066226756	0.6348881716557297	No data	No data	No data	0.7033977235311362	No data	0.2964878499951876	spleen associated tyrosine kinase
IRGM	0.5021709947284375	0.6024580610771649	No data	No data	No data	0.48166352131613144	No data	No data	immunity related GTPase M
PUS10	0.5012285888690536	0.8206200752383269	No data	No data	No data	0.07725787219647684	No data	No data	pseudouridine synthase 10
