symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
ACE	0.7903213085202172	0.7640465308754274	No data	0.9753196367410693	No data	0.8327376115782789	No data	No data	angiotensin I converting enzyme
PKD1	0.7009606999711906	0.9186759059827345	No data	No data	No data	0.21070092843141736	No data	No data	polycystin 1, transient receptor potential channel interacting
SLC12A3	0.6291800433800848	No data	No data	0.9948495494927522	No data	0.7423998349739105	0.13427345369402982	No data	solute carrier family 12 member 3
VDR	0.6235986386284379	No data	No data	0.990529817423651	No data	0.7048518268249291	No data	No data	vitamin D receptor
AGTR1	0.6202274636483068	No data	No data	0.9815961596514852	No data	0.7726184450973897	No data	No data	angiotensin II receptor type 1
EPOR	0.6078645893022753	No data	No data	0.9798712848020641	No data	0.3790261781825726	0.04808243913010762	No data	erythropoietin receptor
CASR	0.600831127707567	No data	No data	0.9550614447173001	No data	0.6652027478097601	No data	No data	calcium sensing receptor
NR3C2	0.5987511709524748	No data	No data	0.9651630337725176	No data	0.39474354821424096	No data	No data	nuclear receptor subfamily 3 group C member 2
SLC5A2	0.5965274888540101	No data	No data	0.9352333544499615	No data	0.9066210521662864	0.03051071658262758	No data	solute carrier family 5 member 2
NR3C1	0.5964313684748724	No data	No data	0.9708546690694405	No data	0.20459286375861693	No data	No data	nuclear receptor subfamily 3 group C member 1
FKBP1A	0.5947967168116499	No data	No data	0.9751521235902834	No data	No data	0.06486621610515998	No data	FKBP prolyl isomerase 1A
PKD2	0.5945890270244583	0.7809768759125333	No data	No data	No data	0.08247175089634647	No data	No data	polycystin 2, transient receptor potential cation channel
CFHR5	0.5908460575412632	0.7739634532259949	No data	No data	No data	0.19991625070833013	No data	No data	complement factor H related 5
HMGCR	0.5868104541436217	No data	No data	0.9589402540784951	No data	0.12636769299670872	No data	No data	3-hydroxy-3-methylglutaryl-CoA reductase
IMPDH1	0.5860182146543186	No data	No data	0.9639554649256289	No data	No data	No data	No data	inosine monophosphate dehydrogenase 1
IMPDH2	0.5860182146543186	No data	No data	0.9639554649256289	No data	No data	No data	No data	inosine monophosphate dehydrogenase 2
SERPINC1	0.5788015882467124	No data	No data	0.93402352783931	No data	0.36122269253267913	No data	No data	serpin family C member 1
