symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
DRD2	0.6583725517463364	0.5758149666337664	No data	0.9259673374623141	No data	0.587329930440069	No data	No data	dopamine receptor D2
SLC6A3	0.6465394330949951	No data	No data	0.9982434761666518	No data	0.9257975894204853	No data	0.8538713126562274	solute carrier family 6 member 3
SLC6A2	0.6308636670238009	No data	No data	0.998680229311823	No data	0.780851990146123	No data	No data	solute carrier family 6 member 2
SLC18A2	0.6094379315598374	No data	No data	0.9927084206655702	No data	0.19541400475780726	No data	No data	solute carrier family 18 member A2
ADRA2A	0.6084347409904276	No data	No data	0.986064547827448	No data	0.29528801529409765	No data	No data	adrenoceptor alpha 2A
ADRA2C	0.6029191953040827	No data	No data	0.986064547827448	No data	0.11383493846318461	No data	No data	adrenoceptor alpha 2C
ADRA2B	0.6013069063307064	No data	No data	0.986064547827448	No data	0.06079307976116211	No data	No data	adrenoceptor alpha 2B
SLC6A4	0.5866345787856062	No data	No data	0.9224074727630808	No data	0.3159661506391592	No data	0.7108078868374477	solute carrier family 6 member 4
HTR2A	0.5840585917866192	No data	No data	0.9142000639155571	No data	0.3151685568400627	No data	0.790564489707841	5-hydroxytryptamine receptor 2A
GRIN2A	0.5726077714563367	0.6472768426947622	No data	0.7734230702947845	No data	0.2994310436859713	No data	No data	glutamate ionotropic receptor NMDA type subunit 2A
OPRD1	0.5205766320475325	No data	No data	0.8274613634158176	No data	0.03343619386863916	No data	0.5620928154717049	opioid receptor delta 1
OPRM1	0.5144005192178969	No data	No data	0.8274613634158176	No data	0.04667219828997217	No data	0.3530254141730684	opioid receptor mu 1
SORCS3	0.5117471392217622	0.8360522765679546	No data	No data	No data	0.11465817808495034	No data	No data	sortilin related VPS10 domain containing receptor 3
OPRK1	0.5039169988090536	No data	No data	0.8274613634158176	No data	0.028876712886552	No data	No data	opioid receptor kappa 1
ADGRL1	0.49589198290885833	0.8137288821764351	No data	No data	No data	0.03951550184475537	No data	No data	adhesion G protein-coupled receptor L1
GRIN1	0.49121433388139885	No data	No data	0.7734230702947845	No data	No data	No data	0.6917441902423433	glutamate ionotropic receptor NMDA type subunit 1
TPH2	0.4904433853241132	0.5646403372377811	No data	No data	No data	0.2979344217742866	No data	No data	tryptophan hydroxylase 2
HTR1A	0.4871381985900207	No data	No data	0.7858856516458228	No data	0.30839390240715375	No data	No data	5-hydroxytryptamine receptor 1A
SEMA6D	0.48206328457115355	0.7880391695367626	No data	No data	No data	0.09836658044688036	No data	No data	semaphorin 6D
GRIN2B	0.4793024880477133	No data	No data	0.7734230702947845	No data	0.2998625523821232	No data	No data	glutamate ionotropic receptor NMDA type subunit 2B
HTR2C	0.4742847245494405	No data	No data	0.7734230702947845	No data	0.13478575357587508	No data	No data	5-hydroxytryptamine receptor 2C
GRIN2C	0.4701877040155372	No data	No data	0.7734230702947845	No data	No data	No data	No data	glutamate ionotropic receptor NMDA type subunit 2C
GRIN3A	0.4701877040155372	No data	No data	0.7734230702947845	No data	No data	No data	No data	glutamate ionotropic receptor NMDA type subunit 3A
GRIN2D	0.4701877040155372	No data	No data	0.7734230702947845	No data	No data	No data	No data	glutamate ionotropic receptor NMDA type subunit 2D
GRIN3B	0.4701877040155372	No data	No data	0.7734230702947845	No data	No data	No data	No data	glutamate ionotropic receptor NMDA type subunit 3B
ALDH5A1	0.46419229748398544	No data	No data	0.7599134970145264	No data	0.07295169571339452	No data	No data	aldehyde dehydrogenase 5 family member A1
DCC	0.4633416661121878	0.761401944287653	No data	No data	No data	0.015198269940290528	No data	No data	DCC netrin 1 receptor
TCF4	0.4498950780275844	0.7394353106290246	No data	No data	No data	0.012158615952232422	No data	No data	transcription factor 4
MEF2C	0.44629348025582033	0.7241185938215292	No data	No data	No data	0.20000585502090326	No data	No data	myocyte enhancer factor 2C
MANBA	0.4432169549872208	0.7185732951775794	No data	No data	No data	0.20969881876510138	No data	No data	mannosidase beta
PCDH7	0.42928017711104954	0.7061332947723054	No data	No data	No data	No data	No data	No data	protocadherin 7
EFNA5	0.4284392947476348	0.7017104531472361	No data	No data	No data	0.06079307976116211	No data	No data	ephrin A5
DUSP6	0.42789156869525957	0.7018818077607374	No data	No data	No data	0.039346632178752144	No data	No data	dual specificity phosphatase 6
VRK2	0.42702005790678443	0.7018076395015392	No data	No data	No data	0.012158615952232422	No data	No data	VRK serine/threonine kinase 2
CRY1	0.4235019661274827	0.6839221473130737	No data	No data	No data	0.2541285829749379	No data	No data	cryptochrome circadian regulator 1
TMEM161B	0.4209901718343121	0.6908250558844545	No data	No data	No data	0.03343619386863916	No data	No data	transmembrane protein 161B
NPAS3	0.4172341355799726	0.6863184711469811	No data	No data	No data	No data	No data	No data	neuronal PAS domain protein 3
RFX3	0.411508011506536	0.4973138682968864	No data	No data	No data	No data	No data	No data	regulatory factor X3
CDH8	0.4090648308577409	0.6713607582055278	No data	No data	No data	0.030396539880581056	No data	No data	cadherin 8
IMMP2L	0.4079495559711513	0.6680369541188867	No data	No data	No data	0.06018177157023042	No data	No data	inner mitochondrial membrane peptidase subunit 2
ZNF804A	0.40642183811975197	0.6566150861580237	No data	No data	No data	0.23835953356355644	No data	No data	zinc finger protein 804A
SCN2A	0.3952540361182161	0.6392454526424121	No data	0.037995674850726316	No data	0.06383273374922022	No data	No data	sodium voltage-gated channel alpha subunit 2
RUNX1T1	0.394758103453985	0.649347104974566	No data	No data	No data	No data	No data	No data	RUNX1 partner transcriptional co-repressor 1
VDR	0.3944103852049056	No data	No data	0.6298838541920406	No data	0.37782561332230247	No data	No data	vitamin D receptor
TFAP2B	0.393425886267494	0.6429001932788903	No data	No data	No data	0.08511031166562696	No data	No data	transcription factor AP-2 beta
SOX6	0.39023812346874764	0.5133135117194765	No data	No data	No data	0.012158615952232422	No data	No data	SRY-box transcription factor 6
ADRA1B	0.3899991416560316	No data	No data	0.6383273374922022	No data	0.06383273374922022	No data	No data	adrenoceptor alpha 1B
GRM3	0.3891708950623511	0.620139098955701	No data	No data	No data	0.03343619386863916	No data	0.38548891876552893	glutamate metabotropic receptor 3
ADRB2	0.3891624539294537	No data	No data	0.6383273374922022	No data	0.03630697819069404	No data	No data	adrenoceptor beta 2
