symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
NKX2-5	0.872830575144495	0.9498664348607186	0.6839221473130737	No data	No data	0.777365092103314	No data	0.8584738313053967	NK2 homeobox 5
SCN5A	0.8463805409146434	0.9291514066885137	No data	0.13678442946261474	No data	0.2634492402744531	No data	0.9108827590553075	sodium voltage-gated channel alpha subunit 5
KCNJ2	0.8418449113660262	0.9268556552296074	No data	No data	No data	0.41191093617515023	No data	0.25198731561001697	potassium inwardly rectifying channel subfamily J member 2
KCNE1	0.83311504826581	0.9041494778556983	No data	No data	No data	0.5444089533043667	No data	0.43117280733521723	potassium voltage-gated channel subfamily E regulatory subunit 1
ZIC3	0.8324047590926015	0.9329164147055887	No data	No data	No data	0.2373655107266333	No data	0.5124514521096928	Zic family member 3
GATA4	0.8271371519667317	0.9083380876818337	No data	No data	No data	0.8836977072856778	No data	0.7313750895952463	GATA binding protein 4
TFAP2B	0.805648103844754	0.8862834978335378	No data	No data	No data	0.24169018683299426	No data	0.6569215764158176	transcription factor AP-2 beta
FOXF1	0.7996817508480786	0.8966398116286545	No data	No data	No data	0.20359408539549884	No data	0.4054987076644165	forkhead box F1
GATA6	0.7937041146072612	0.8906682119593226	No data	No data	No data	0.35839957977253073	No data	No data	GATA binding protein 6
ELN	0.7895268952210518	0.9077508007972908	No data	No data	No data	0.2617669819948927	No data	0.6216755333050141	elastin
CACNA1C	0.7829159922317853	0.898132323155877	No data	No data	No data	0.6873492108270698	No data	0.6745337644001179	calcium voltage-gated channel subunit alpha1 C
NODAL	0.779813572539363	0.8736496984669372	No data	No data	No data	0.1576712261546266	No data	0.613287223865005	nodal growth differentiation factor
MYH7	0.7769951407436608	0.9331129417436903	No data	No data	No data	0.2859535565414787	No data	0.45919883927927796	myosin heavy chain 7
KCNQ1	0.7730385962430165	0.8490944278800286	No data	No data	No data	0.46294469405667593	No data	0.9342080483017735	potassium voltage-gated channel subfamily Q member 1
ACTC1	0.7710877613712248	0.9266929823801768	No data	No data	No data	0.2068273872244954	No data	0.4315265892854939	actin alpha cardiac muscle 1
CALM2	0.7632020730382263	0.8550956305089644	No data	No data	No data	0.6987585549108664	No data	No data	calmodulin 2
