symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
GCK	0.8493403387425207	0.9387176548333341	No data	0.6100545828182684	No data	0.7800893764952239	No data	0.9244038808536866	glucokinase
ABCC8	0.8511464017600802	0.9008646079824413	0.6189714963749121	0.9985898812706624	No data	0.31510989566014896	No data	0.7691330049255768	ATP binding cassette subfamily C member 8
PPARG	0.8372197657805347	0.8918606935215095	No data	0.997441549929462	No data	0.5170456227523286	No data	0.6846024556495344	peroxisome proliferator activated receptor gamma
HNF1B	0.7718738123570038	0.8898889501454718	No data	No data	No data	0.3522516840547939	No data	No data	HNF1 homeobox B
KCNJ11	0.8524047095217673	0.8875759544159392	0.7133145042531812	0.9985947627830777	No data	0.31341323770579593	No data	0.3739382336109081	potassium inwardly rectifying channel subfamily J member 11
WFS1	0.739264697867441	0.8873655336874073	No data	No data	No data	0.23531620116758104	No data	0.5078940961679688	wolframin ER transmembrane glycoprotein
GLIS3	0.5505191613595012	0.8687903980839319	No data	No data	No data	0.7354363944989687	No data	No data	GLIS family zinc finger 3
MTNR1B	0.5547829820460173	0.8655903971497949	No data	No data	No data	0.7229080064639024	No data	0.4878036720035647	melatonin receptor 1B
HNF4A	0.7500191945984067	0.8570722257428599	0.19757750922377684	No data	No data	0.33922422249688006	No data	0.7738904170954486	hepatocyte nuclear factor 4 alpha
RASGRP1	0.5191066562009568	0.8487067333257263	No data	No data	No data	0.10368597492598204	No data	No data	RAS guanyl releasing protein 1
BCL2	0.5188212663183153	0.8466816837489597	No data	No data	No data	0.13479807273319147	No data	No data	BCL2 apoptosis regulator
CMIP	0.5174088585032696	0.8457328723152878	No data	No data	No data	0.10730822926175128	No data	No data	c-Maf inducing protein
HNF1A	0.7397136202861079	0.8443063940616451	0.24610727383978453	No data	No data	0.8936067418454404	No data	No data	HNF1 homeobox A
JAZF1	0.5262059130423162	0.8439235068775244	No data	No data	No data	0.43290527259890677	No data	No data	JAZF zinc finger 1
TLE1	0.5149198492252666	0.8433785896548319	No data	No data	No data	0.07250925718846607	No data	No data	TLE family member 1, transcriptional corepressor
DGKB	0.513829536907745	0.8424911788762454	No data	No data	No data	0.054387853329659674	No data	No data	diacylglycerol kinase beta
ETS1	0.5111639007126705	0.8373703068712641	No data	No data	No data	0.06910991081182108	No data	No data	ETS proto-oncogene 1, transcription factor
RFX6	0.5103641804089327	0.8323150874604474	No data	No data	No data	0.1439047155400494	No data	No data	regulatory factor X6
ADCY5	0.5121901930627571	0.8314977799471399	No data	No data	No data	0.22032390902092996	No data	No data	adenylate cyclase 5
CDKN2B	0.5120587431041836	0.8293827430379502	No data	No data	No data	0.25830014319571587	No data	No data	cyclin dependent kinase inhibitor 2B
NFATC2	0.5054586339550683	0.8282494351267399	No data	No data	No data	0.06383273374922022	No data	No data	nuclear factor of activated T cells 2
SLC2A2	0.6940095395283464	0.8264312927177049	0.19892846655180269	No data	No data	0.2841338161871167	0.01451421064690412	0.33217338781498973	solute carrier family 2 member 2
LAMA1	0.5109234923588214	0.8237206954737061	No data	No data	No data	0.33419306902038837	No data	No data	laminin subunit alpha 1
IGF2BP2	0.5111126909478418	0.8206397109638293	No data	No data	No data	0.40203710546798255	No data	No data	insulin like growth factor 2 mRNA binding protein 2
CCND2	0.5028145858536925	0.8179582916548238	No data	No data	No data	0.18267043606775044	No data	No data	cyclin D2
GLP1R	0.7464555096715924	0.815605635144139	No data	0.9973197797042993	No data	0.7473288053485827	No data	0.7784925376682015	glucagon like peptide 1 receptor
