symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
NR3C1	0.6846907492850699	No data	No data	0.9956719515425421	0.49839408043646427	0.2697219103474714	No data	No data	nuclear receptor subfamily 3 group C member 1
HMGCR	0.6620994421392159	No data	No data	0.8856880919654808	0.8055170742702947	0.09161759347388984	No data	No data	3-hydroxy-3-methylglutaryl-CoA reductase
KEAP1	0.6353963246602367	0.24750779144572602	No data	0.9816905380071611	No data	0.07250492626738646	No data	No data	kelch like ECH associated protein 1
IL2RA	0.6119835074468967	0.7657477673440987	No data	0.8086126682451745	No data	0.29775554383504643	No data	No data	interleukin 2 receptor subunit alpha
KCNH8	0.6109573582556235	0.1543783007286377	No data	0.9663838872610871	No data	No data	No data	No data	potassium voltage-gated channel subfamily H member 8
IFNAR1	0.6083293160556361	No data	No data	0.992876858857961	No data	0.15557347443404512	No data	No data	interferon alpha and beta receptor subunit 1
S1PR1	0.6077964226576656	No data	No data	0.9904142757956741	No data	0.18729375217152477	No data	No data	sphingosine-1-phosphate receptor 1
IFNAR2	0.6066628945030885	No data	No data	0.992876858857961	No data	0.10075073608637765	No data	No data	interferon alpha and beta receptor subunit 2
S1PR2	0.602637740921913	No data	No data	0.9846957546825623	No data	0.13195137962160236	No data	No data	sphingosine-1-phosphate receptor 2
S1PR3	0.6008025171480408	No data	No data	0.9846957546825623	No data	0.0715753045458768	No data	No data	sphingosine-1-phosphate receptor 3
MS4A1	0.6003465098890892	No data	No data	0.9869164917973149	No data	0.012158615952232422	No data	No data	membrane spanning 4-domains A1
S1PR5	0.5997172814779043	No data	No data	0.9846957546825623	No data	0.03587269910459746	No data	No data	sphingosine-1-phosphate receptor 5
S1PR4	0.5986268755489472	No data	No data	0.9846957546825623	No data	No data	No data	No data	sphingosine-1-phosphate receptor 4
ITGA4	0.5976185601423852	No data	No data	0.9759455207456011	No data	0.14183263315365915	No data	No data	integrin subunit alpha 4
KCNA3	0.5949257280328875	No data	No data	0.9663838872610871	No data	0.24447521594335575	No data	No data	potassium voltage-gated channel subfamily A member 3
GRIN1	0.5931431426339857	No data	No data	0.8297356089415386	0.5815977542462042	0.024317231904464845	No data	No data	glutamate ionotropic receptor NMDA type subunit 1
DHODH	0.5906343342527985	No data	No data	0.9597554006251923	No data	0.23586461047314064	No data	No data	dihydroorotate dehydrogenase (quinone)
