CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
11x13_1   ;4.000043  ;3.221892  ;2.4202598 ;1.64210858
11x14_1   ;4.000043  ;3.221892  ;2.0915584 ;1.31340716
11x15_1   ;4.000043  ;3.221892  ;2.2218922 ;1.44374093
11x16_1   ;4.000043  ;3.221892  ;2.0915584 ;1.31340716
11x17_1   ;4.000043  ;3.221892  ;2.2218922 ;1.44374093
11x18_1   ;4.000043  ;3.221892  ;2.2218922 ;1.44374093
11x19_1   ;4.000043  ;3.221892  ;2.2218922 ;1.44374093
11x22_1   ;4.000043  ;3.221892  ;2.4202598 ;1.64210858
12x11_1   ;4.000043  ;3.221892  ;2.4202598 ;1.64210858
12x12_1   ;4.000043  ;3.221892  ;2.2218922 ;1.44374093
12x13_1   ;4.000043  ;3.221892  ;2.9208622 ;2.14271093
12x14_1   ;4.000043  ;3.221892  ;2.9208622 ;2.14271093
12x15_1   ;4.000043  ;3.221892  ;2.9208622 ;2.14271093
12x16_1   ;4.000043  ;3.221892  ;2.9208622 ;2.14271093
12x17_1   ;4.000043  ;3.221892  ;2.9208622 ;2.14271093
12x18_1   ;4.000043  ;3.221892  ;2.9208622 ;2.14271093
12x19_1   ;4.000043  ;3.221892  ;2.9208622 ;2.14271093
12x20_1   ;4.000043  ;3.221892  ;2.2218922 ;1.44374093
12x22_1   ;4.000043  ;3.221892  ;2.4202598 ;1.64210858
12x23_1   ;4.000043  ;3.221892  ;2.4202598 ;1.64210858
12x24_1   ;4.000043  ;3.221892  ;2.4202598 ;1.64210858
13x10_1   ;4.000043  ;3.221892  ;2.2218922 ;1.44374093
13x11_1   ;4.000043  ;3.221892  ;2.9208622 ;2.14271093
13x12_1   ;4.000043  ;3.221892  ;2.2218922 ;1.44374093
13x13_1   ;4.000043  ;3.221892  ;2.9208622 ;2.14271093
13x14_1   ;4.000043  ;3.221892  ;2.9208622 ;2.14271093
13x15_1   ;4.000043  ;3.221892  ;2.9208622 ;2.14271093
13x16_1   ;4.000043  ;3.221892  ;2.9208622 ;2.14271093
13x17_1   ;4.000043  ;3.221892  ;2.9208622 ;2.14271093
13x18_1   ;4.000043  ;3.221892  ;2.9208622 ;2.14271093
13x19_1   ;4.000043  ;3.221892  ;2.9208622 ;2.14271093
13x20_1   ;4.000043  ;3.221892  ;2.0915584 ;1.31340716
13x22_1   ;2.431842  ;1.653690  ;0.4276366 ;0.00000000
13x23_1   ;4.000043  ;3.221892  ;2.4202598 ;1.64210858
13x24_1   ;4.000043  ;3.221892  ;2.4202598 ;1.64210858
13x25_1   ;4.000043  ;3.221892  ;2.4202598 ;1.64210858
