CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g
11x13_1  ;0.3410786;0.000000 
11x14_1  ;0.4643696;0.000000 
11x15_1  ;0.5735322;0.000000 
11x16_1  ;0.4643696;0.000000 
11x17_1  ;0.5735322;0.000000 
11x18_1  ;0.5735322;0.000000 
11x19_1  ;0.5735322;0.000000 
11x22_1  ;0.3410786;0.000000 
12x11_1  ;0.3410786;0.000000 
12x12_1  ;0.5735322;0.000000 
12x13_1  ;0.4697156;0.000000 
12x14_1  ;0.4697156;0.000000 
12x15_1  ;0.4697156;0.000000 
12x16_1  ;0.4697156;0.000000 
12x17_1  ;0.4697156;0.000000 
12x18_1  ;0.4697156;0.000000 
12x19_1  ;0.4697156;0.000000 
12x20_1  ;0.5735322;0.000000 
12x22_1  ;0.3410786;0.000000 
12x23_1  ;0.3410786;0.000000 
12x24_1  ;0.3410786;0.000000 
13x10_1  ;0.5735322;0.000000 
13x11_1  ;0.4697156;0.000000 
13x12_1  ;0.5735322;0.000000 
13x13_1  ;0.4697156;0.000000 
13x14_1  ;0.4697156;0.000000 
13x15_1  ;0.4697156;0.000000 
13x16_1  ;0.4697156;0.000000 
13x17_1  ;0.4697156;0.000000 
13x18_1  ;0.4697156;0.000000 
13x19_1  ;0.4697156;0.000000 
13x20_1  ;0.4643696;0.000000 
13x22_1  ;0.9535483;0.175397 
13x23_1  ;0.3410786;0.000000 
13x24_1  ;0.3410786;0.000000 
13x25_1  ;0.3410786;0.000000 
14x10_1  ;0.3410786;0.000000 
14x11_1  ;0.4697156;0.000000 
14x12_1  ;0.4697156;0.000000 
14x13_1  ;0.4697156;0.000000 
14x14_1  ;0.4697156;0.000000 
14x15_1  ;0.9535483;0.175397 
14x16_1  ;0.9535483;0.175397 
14x17_1  ;0.9535483;0.175397 
14x18_1  ;0.9535483;0.175397 
14x19_1  ;0.4697156;0.000000 
14x20_1  ;0.4697156;0.000000 
14x21_1  ;0.4643696;0.000000 
14x22_1  ;0.3410786;0.000000 
14x23_1  ;0.3410786;0.000000 
14x24_1  ;0.3410786;0.000000 
14x25_1  ;0.3410786;0.000000 
14x26_1  ;0.3410786;0.000000 
