CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
7x11_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
8x11_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
8x12_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
8x13_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
8x14_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
9x7_1      ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
9x8_1      ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
9x9_1      ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
9x10_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
9x11_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
9x12_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
9x13_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
9x14_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
9x15_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
10x6_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
10x7_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
10x8_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
10x9_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
10x10_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
10x11_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
10x12_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
10x13_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
10x14_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
10x15_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
10x16_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
11x6_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
11x7_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
11x8_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
11x9_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
11x10_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
11x11_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
11x12_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
11x13_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
11x14_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
11x15_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
11x16_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
11x17_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
11x18_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
12x4_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
12x5_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
12x6_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
12x7_1     ;0.134702522;0.000000   ;4.0000434  ;3.3979834  
12x8_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
12x9_1     ;0.134702522;0.000000   ;4.0000434  ;3.3979834  
12x10_1    ;0.134702522;0.000000   ;4.0000434  ;3.3979834  
12x11_1    ;0.134702522;0.000000   ;4.0000434  ;3.3979834  
12x12_1    ;0.134702522;0.000000   ;4.0000434  ;3.3979834  
12x13_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
12x14_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
12x15_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
12x16_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
12x17_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
12x18_1    ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
12x19_1    ;0.416051628;0.000000   ;2.2147136  ;1.6126536  
12x24_1    ;0.416051628;0.000000   ;2.2147136  ;1.6126536  
13x4_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
13x5_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
13x6_1     ;0.009393839;0.000000   ;4.0000434  ;3.3979834  
