CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
7x11_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
8x11_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
8x12_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
8x13_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
8x14_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
9x7_1    ;4.000043 ;3.3979834;3.0458009;2.4437409
9x8_1    ;4.000043 ;3.3979834;3.0458009;2.4437409
9x9_1    ;4.000043 ;3.3979834;3.0458009;2.4437409
9x10_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
9x11_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
9x12_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
9x13_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
9x14_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
9x15_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
10x6_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
10x7_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
10x8_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
10x9_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
10x10_1  ;4.000043 ;3.3979834;3.0458009;2.4437409
10x11_1  ;4.000043 ;3.3979834;3.0458009;2.4437409
10x12_1  ;4.000043 ;3.3979834;3.0458009;2.4437409
10x13_1  ;4.000043 ;3.3979834;3.0458009;2.4437409
10x14_1  ;4.000043 ;3.3979834;3.0458009;2.4437409
10x15_1  ;4.000043 ;3.3979834;3.0458009;2.4437409
10x16_1  ;4.000043 ;3.3979834;3.0458009;2.4437409
11x6_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
11x7_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
11x8_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
11x9_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
11x10_1  ;4.000043 ;3.3979834;3.0458009;2.4437409
11x11_1  ;4.000043 ;3.3979834;3.0458009;2.4437409
11x12_1  ;4.000043 ;3.3979834;3.0458009;2.4437409
11x13_1  ;4.000043 ;3.3979834;3.0458009;2.4437409
11x14_1  ;4.000043 ;3.3979834;3.0458009;2.4437409
11x15_1  ;4.000043 ;3.3979834;3.0458009;2.4437409
11x16_1  ;4.000043 ;3.3979834;3.0458009;2.4437409
11x17_1  ;4.000043 ;3.3979834;3.0458009;2.4437409
11x18_1  ;4.000043 ;3.3979834;3.0458009;2.4437409
12x4_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
12x5_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
12x6_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
12x7_1   ;4.000043 ;3.3979834;2.7959234;2.1938635
12x8_1   ;4.000043 ;3.3979834;3.0458009;2.4437409
12x9_1   ;4.000043 ;3.3979834;2.7959234;2.1938635
12x10_1  ;4.000043 ;3.3979834;2.7959234;2.1938635
12x11_1  ;4.000043 ;3.3979834;2.7959234;2.1938635
12x12_1  ;4.000043 ;3.3979834;2.7959234;2.1938635
12x13_1  ;4.000043 ;3.3979834;3.0458009;2.4437409
12x14_1  ;4.000043 ;3.3979834;3.0458009;2.4437409
