CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g
4x46_1  ;4.000043;3.221892
5x43_1  ;4.000043;3.221892
5x45_1  ;4.000043;3.221892
5x47_1  ;4.000043;3.221892
5x49_1  ;4.000043;3.221892
6x42_1  ;4.000043;3.221892
6x44_1  ;4.000043;3.221892
6x46_1  ;4.000043;3.221892
6x48_1  ;4.000043;3.221892
6x50_1  ;4.000043;3.221892
6x52_1  ;4.000043;3.221892
7x43_1  ;4.000043;3.221892
7x45_1  ;4.000043;3.221892
7x47_1  ;4.000043;3.221892
7x49_1  ;4.000043;3.221892
7x51_1  ;4.000043;3.221892
8x42_1  ;4.000043;3.221892
8x44_1  ;4.000043;3.221892
8x46_1  ;4.000043;3.221892
8x48_1  ;4.000043;3.221892
8x50_1  ;4.000043;3.221892
8x52_1  ;4.000043;3.221892
9x43_1  ;4.000043;3.221892
9x45_1  ;4.000043;3.221892
9x47_1  ;4.000043;3.221892
9x49_1  ;4.000043;3.221892
9x51_1  ;4.000043;3.221892
9x53_1  ;4.000043;3.221892
10x42_1 ;4.000043;3.221892
10x44_1 ;4.000043;3.221892
10x46_1 ;4.000043;3.221892
10x48_1 ;4.000043;3.221892
10x50_1 ;4.000043;3.221892
10x52_1 ;4.000043;3.221892
11x41_1 ;4.000043;3.221892
11x43_1 ;4.000043;3.221892
11x45_1 ;4.000043;3.221892
11x47_1 ;4.000043;3.221892
11x49_1 ;4.000043;3.221892
11x51_1 ;4.000043;3.221892
11x53_1 ;4.000043;3.221892
12x40_1 ;4.000043;3.221892
12x42_1 ;4.000043;3.221892
12x44_1 ;4.000043;3.221892
12x46_1 ;4.000043;3.221892
12x48_1 ;4.000043;3.221892
12x50_1 ;4.000043;3.221892
12x52_1 ;4.000043;3.221892
12x54_1 ;4.000043;3.221892
13x37_1 ;4.000043;3.221892
13x39_1 ;4.000043;3.221892
13x41_1 ;4.000043;3.221892
13x43_1 ;4.000043;3.221892
13x45_1 ;4.000043;3.221892
13x47_1 ;4.000043;3.221892
13x49_1 ;4.000043;3.221892
13x51_1 ;4.000043;3.221892
13x53_1 ;4.000043;3.221892
13x55_1 ;4.000043;3.221892
14x32_1 ;4.000043;3.221892
14x34_1 ;4.000043;3.221892
14x36_1 ;4.000043;3.221892
14x38_1 ;4.000043;3.221892
14x40_1 ;4.000043;3.221892
14x42_1 ;4.000043;3.221892
14x44_1 ;4.000043;3.221892
14x46_1 ;4.000043;3.221892
14x48_1 ;4.000043;3.221892
14x50_1 ;4.000043;3.221892
14x52_1 ;4.000043;3.221892
14x54_1 ;4.000043;3.221892
15x29_1 ;4.000043;3.221892
