CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
7x11_1   ;0.2844579;0.0000000;2.6383156;2.0362556
8x11_1   ;0.2844579;0.0000000;2.6383156;2.0362556
8x12_1   ;0.2844579;0.0000000;2.6383156;2.0362556
8x13_1   ;0.2844579;0.0000000;2.6383156;2.0362556
8x14_1   ;0.2844579;0.0000000;2.6383156;2.0362556
9x7_1    ;0.2844579;0.0000000;2.6383156;2.0362556
9x8_1    ;0.2844579;0.0000000;2.6383156;2.0362556
9x9_1    ;0.2844579;0.0000000;2.6383156;2.0362556
9x10_1   ;0.2844579;0.0000000;2.6383156;2.0362556
9x11_1   ;0.2844579;0.0000000;2.6383156;2.0362556
9x12_1   ;0.2844579;0.0000000;2.6383156;2.0362556
9x13_1   ;0.2844579;0.0000000;2.6383156;2.0362556
9x14_1   ;0.2844579;0.0000000;2.6383156;2.0362556
9x15_1   ;0.2844579;0.0000000;2.6383156;2.0362556
10x6_1   ;0.2844579;0.0000000;2.6383156;2.0362556
10x7_1   ;0.2844579;0.0000000;2.6383156;2.0362556
10x8_1   ;0.2844579;0.0000000;2.6383156;2.0362556
10x9_1   ;0.2844579;0.0000000;2.6383156;2.0362556
10x10_1  ;0.2844579;0.0000000;2.6383156;2.0362556
10x11_1  ;0.2844579;0.0000000;2.6383156;2.0362556
10x12_1  ;0.2844579;0.0000000;2.6383156;2.0362556
10x13_1  ;0.2844579;0.0000000;2.6383156;2.0362556
10x14_1  ;0.2844579;0.0000000;2.6383156;2.0362556
10x15_1  ;0.2844579;0.0000000;2.6383156;2.0362556
10x16_1  ;0.2844579;0.0000000;2.6383156;2.0362556
11x6_1   ;0.2844579;0.0000000;2.6383156;2.0362556
11x7_1   ;0.2844579;0.0000000;2.6383156;2.0362556
11x8_1   ;0.2844579;0.0000000;2.6383156;2.0362556
11x9_1   ;0.2844579;0.0000000;2.6383156;2.0362556
11x10_1  ;0.2844579;0.0000000;2.6383156;2.0362556
11x11_1  ;0.2844579;0.0000000;2.6383156;2.0362556
11x12_1  ;0.2844579;0.0000000;2.6383156;2.0362556
11x13_1  ;0.2844579;0.0000000;2.6383156;2.0362556
11x14_1  ;0.2844579;0.0000000;2.6383156;2.0362556
11x15_1  ;0.2844579;0.0000000;2.6383156;2.0362556
11x16_1  ;0.2844579;0.0000000;2.6383156;2.0362556
11x17_1  ;0.2844579;0.0000000;2.6383156;2.0362556
11x18_1  ;0.2844579;0.0000000;2.6383156;2.0362556
12x4_1   ;0.2844579;0.0000000;2.6383156;2.0362556
12x5_1   ;0.2844579;0.0000000;2.6383156;2.0362556
12x6_1   ;0.2844579;0.0000000;2.6383156;2.0362556
12x7_1   ;0.1948145;0.0000000;2.4437409;1.8416809
12x8_1   ;0.2844579;0.0000000;2.6383156;2.0362556
12x9_1   ;0.1948145;0.0000000;2.4437409;1.8416809
12x10_1  ;0.1948145;0.0000000;2.4437409;1.8416809
12x11_1  ;0.1948145;0.0000000;2.4437409;1.8416809
12x12_1  ;0.1948145;0.0000000;2.4437409;1.8416809
12x13_1  ;0.2844579;0.0000000;2.6383156;2.0362556
12x14_1  ;0.2844579;0.0000000;2.6383156;2.0362556
12x15_1  ;0.2844579;0.0000000;2.6383156;2.0362556
12x16_1  ;0.2844579;0.0000000;2.6383156;2.0362556
12x17_1  ;0.2844579;0.0000000;2.6383156;2.0362556
12x18_1  ;0.2844579;0.0000000;2.6383156;2.0362556
12x19_1  ;0.1911576;0.0000000;1.5969229;0.9948629
12x24_1  ;0.1911576;0.0000000;1.5969229;0.9948629
13x4_1   ;0.2844579;0.0000000;2.6383156;2.0362556
13x5_1   ;0.2844579;0.0000000;2.6383156;2.0362556
13x6_1   ;0.2844579;0.0000000;2.6383156;2.0362556
13x7_1   ;0.2844579;0.0000000;2.6383156;2.0362556
