CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
4x46_1   ;1.978854 ;1.200703 ;0.9897435;0.2115922
5x43_1   ;2.013272 ;1.235120 ;1.0200401;0.2418888
5x45_1   ;1.978854 ;1.200703 ;0.9897435;0.2115922
5x47_1   ;2.292473 ;1.514322 ;1.0670626;0.2889114
5x49_1   ;2.130812 ;1.352660 ;1.1778753;0.3997241
6x42_1   ;2.244169 ;1.466017 ;1.3307265;0.5525753
6x44_1   ;2.244169 ;1.466017 ;1.3307265;0.5525753
6x46_1   ;1.978854 ;1.200703 ;0.9897435;0.2115922
6x48_1   ;2.130812 ;1.352660 ;1.1778753;0.3997241
6x50_1   ;2.130812 ;1.352660 ;1.1778753;0.3997241
6x52_1   ;2.130812 ;1.352660 ;1.1778753;0.3997241
7x43_1   ;2.013272 ;1.235120 ;1.0200401;0.2418888
7x45_1   ;1.978854 ;1.200703 ;0.9897435;0.2115922
7x47_1   ;2.013272 ;1.235120 ;1.0200401;0.2418888
7x49_1   ;2.130812 ;1.352660 ;1.1778753;0.3997241
7x51_1   ;2.130812 ;1.352660 ;1.1778753;0.3997241
8x42_1   ;2.013272 ;1.235120 ;1.0200401;0.2418888
8x44_1   ;1.978854 ;1.200703 ;0.9897435;0.2115922
8x46_1   ;2.292473 ;1.514322 ;1.0670626;0.2889114
8x48_1   ;2.130812 ;1.352660 ;1.1778753;0.3997241
8x50_1   ;2.013272 ;1.235120 ;1.0200401;0.2418888
8x52_1   ;2.130812 ;1.352660 ;1.1778753;0.3997241
9x43_1   ;2.244169 ;1.466017 ;1.3307265;0.5525753
9x45_1   ;2.244169 ;1.466017 ;1.3307265;0.5525753
9x47_1   ;2.130812 ;1.352660 ;1.1778753;0.3997241
9x49_1   ;2.244169 ;1.466017 ;1.3307265;0.5525753
9x51_1   ;2.130812 ;1.352660 ;1.1778753;0.3997241
9x53_1   ;2.130812 ;1.352660 ;1.1778753;0.3997241
10x42_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
10x44_1  ;2.013272 ;1.235120 ;1.0200401;0.2418888
10x46_1  ;2.013272 ;1.235120 ;1.0200401;0.2418888
10x48_1  ;2.130812 ;1.352660 ;1.1778753;0.3997241
10x50_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
10x52_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
11x41_1  ;1.978854 ;1.200703 ;0.9897435;0.2115922
11x43_1  ;1.978854 ;1.200703 ;0.9897435;0.2115922
11x45_1  ;2.292473 ;1.514322 ;1.0670626;0.2889114
11x47_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
11x49_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
11x51_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
11x53_1  ;2.292473 ;1.514322 ;1.0670626;0.2889114
12x40_1  ;2.130812 ;1.352660 ;1.1778753;0.3997241
12x42_1  ;2.013272 ;1.235120 ;1.0200401;0.2418888
12x44_1  ;2.292473 ;1.514322 ;1.0670626;0.2889114
12x46_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
12x48_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
12x50_1  ;2.013272 ;1.235120 ;1.0200401;0.2418888
12x52_1  ;2.292473 ;1.514322 ;1.0670626;0.2889114
12x54_1  ;2.130812 ;1.352660 ;1.1778753;0.3997241
13x37_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
13x39_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
13x41_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
13x43_1  ;1.978854 ;1.200703 ;0.9897435;0.2115922
13x45_1  ;2.292473 ;1.514322 ;1.0670626;0.2889114
13x47_1  ;1.978854 ;1.200703 ;0.9897435;0.2115922
13x49_1  ;2.013272 ;1.235120 ;1.0200401;0.2418888
13x51_1  ;2.292473 ;1.514322 ;1.0670626;0.2889114
13x53_1  ;2.013272 ;1.235120 ;1.0200401;0.2418888
13x55_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
14x32_1  ;2.292473 ;1.514322 ;1.0670626;0.2889114
14x34_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
14x36_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
14x38_1  ;1.978854 ;1.200703 ;0.9897435;0.2115922
14x40_1  ;1.978854 ;1.200703 ;0.9897435;0.2115922
14x42_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
14x44_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
14x46_1  ;1.978854 ;1.200703 ;0.9897435;0.2115922
14x48_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
14x50_1  ;2.292473 ;1.514322 ;1.0670626;0.2889114
14x52_1  ;2.292473 ;1.514322 ;1.0670626;0.2889114
14x54_1  ;2.130812 ;1.352660 ;1.1778753;0.3997241
15x29_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
15x31_1  ;1.978854 ;1.200703 ;0.9897435;0.2115922
15x33_1  ;2.292473 ;1.514322 ;1.0670626;0.2889114
15x35_1  ;2.292473 ;1.514322 ;1.0670626;0.2889114
15x37_1  ;1.978854 ;1.200703 ;0.9897435;0.2115922
15x39_1  ;2.292473 ;1.514322 ;1.0670626;0.2889114
15x41_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
15x43_1  ;1.978854 ;1.200703 ;0.9897435;0.2115922
15x45_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
15x47_1  ;1.978854 ;1.200703 ;0.9897435;0.2115922
15x49_1  ;2.013272 ;1.235120 ;1.0200401;0.2418888
15x51_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
15x53_1  ;2.013272 ;1.235120 ;1.0200401;0.2418888
15x55_1  ;2.130812 ;1.352660 ;1.1778753;0.3997241
16x28_1  ;1.978854 ;1.200703 ;0.9897435;0.2115922
16x30_1  ;1.978854 ;1.200703 ;0.9897435;0.2115922
16x32_1  ;1.978854 ;1.200703 ;0.9897435;0.2115922
16x34_1  ;2.292473 ;1.514322 ;1.0670626;0.2889114
16x36_1  ;1.978854 ;1.200703 ;0.9897435;0.2115922
16x38_1  ;1.978854 ;1.200703 ;0.9897435;0.2115922
16x40_1  ;1.978854 ;1.200703 ;0.9897435;0.2115922
16x42_1  ;2.244169 ;1.466017 ;1.3307265;0.5525753
16x44_1  ;2.167535 ;1.389383 ;1.0630273;0.2848761
16x46_1  ;2.292473 ;1.514322 ;1.0670626;0.2889114
