CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
4x46_1  ;3.096953;2.318802;3.096953;2.318802
5x43_1  ;3.096953;2.318802;3.154945;2.376794
5x45_1  ;3.096953;2.318802;3.096953;2.318802
5x47_1  ;3.045801;2.267650;2.657621;1.879469
5x49_1  ;3.397983;2.619832;3.221892;2.443741
6x42_1  ;3.096953;2.318802;3.397983;2.619832
6x44_1  ;3.096953;2.318802;3.397983;2.619832
6x46_1  ;3.096953;2.318802;3.096953;2.318802
6x48_1  ;3.397983;2.619832;3.221892;2.443741
6x50_1  ;3.397983;2.619832;3.221892;2.443741
6x52_1  ;3.397983;2.619832;3.221892;2.443741
7x43_1  ;3.096953;2.318802;3.154945;2.376794
7x45_1  ;3.096953;2.318802;3.096953;2.318802
7x47_1  ;3.096953;2.318802;3.154945;2.376794
7x49_1  ;3.397983;2.619832;3.221892;2.443741
7x51_1  ;3.397983;2.619832;3.221892;2.443741
8x42_1  ;3.096953;2.318802;3.154945;2.376794
8x44_1  ;3.096953;2.318802;3.096953;2.318802
8x46_1  ;3.045801;2.267650;2.657621;1.879469
8x48_1  ;3.397983;2.619832;3.221892;2.443741
8x50_1  ;3.096953;2.318802;3.154945;2.376794
8x52_1  ;3.397983;2.619832;3.221892;2.443741
9x43_1  ;3.096953;2.318802;3.397983;2.619832
9x45_1  ;3.096953;2.318802;3.397983;2.619832
9x47_1  ;3.397983;2.619832;3.221892;2.443741
9x49_1  ;3.096953;2.318802;3.397983;2.619832
9x51_1  ;3.397983;2.619832;3.221892;2.443741
9x53_1  ;3.397983;2.619832;3.221892;2.443741
10x42_1 ;3.096953;2.318802;3.397983;2.619832
10x44_1 ;3.096953;2.318802;3.154945;2.376794
10x46_1 ;3.096953;2.318802;3.154945;2.376794
10x48_1 ;3.397983;2.619832;3.221892;2.443741
10x50_1 ;3.096953;2.318802;3.397983;2.619832
10x52_1 ;3.096953;2.318802;3.397983;2.619832
11x41_1 ;3.096953;2.318802;3.096953;2.318802
11x43_1 ;3.096953;2.318802;3.096953;2.318802
11x45_1 ;3.045801;2.267650;2.657621;1.879469
11x47_1 ;3.096953;2.318802;3.397983;2.619832
11x49_1 ;3.096953;2.318802;3.397983;2.619832
11x51_1 ;3.096953;2.318802;3.397983;2.619832
11x53_1 ;3.045801;2.267650;2.657621;1.879469
12x40_1 ;3.397983;2.619832;3.221892;2.443741
12x42_1 ;3.096953;2.318802;3.154945;2.376794
12x44_1 ;3.045801;2.267650;2.657621;1.879469
12x46_1 ;3.096953;2.318802;3.397983;2.619832
12x48_1 ;3.096953;2.318802;3.397983;2.619832
12x50_1 ;3.096953;2.318802;3.154945;2.376794
12x52_1 ;3.045801;2.267650;2.657621;1.879469
12x54_1 ;3.397983;2.619832;3.221892;2.443741
13x37_1 ;3.096953;2.318802;3.397983;2.619832
13x39_1 ;3.096953;2.318802;3.397983;2.619832
13x41_1 ;3.096953;2.318802;3.397983;2.619832
13x43_1 ;3.096953;2.318802;3.096953;2.318802
13x45_1 ;3.045801;2.267650;2.657621;1.879469
13x47_1 ;3.096953;2.318802;3.096953;2.318802
13x49_1 ;3.096953;2.318802;3.154945;2.376794
13x51_1 ;3.045801;2.267650;2.657621;1.879469
13x53_1 ;3.096953;2.318802;3.154945;2.376794
13x55_1 ;3.096953;2.318802;3.397983;2.619832
14x32_1 ;3.045801;2.267650;2.657621;1.879469
14x34_1 ;3.096953;2.318802;3.397983;2.619832
14x36_1 ;3.096953;2.318802;3.397983;2.619832
14x38_1 ;3.096953;2.318802;3.096953;2.318802
14x40_1 ;3.096953;2.318802;3.096953;2.318802
14x42_1 ;3.096953;2.318802;3.397983;2.619832
14x44_1 ;3.096953;2.318802;3.397983;2.619832
14x46_1 ;3.096953;2.318802;3.096953;2.318802
14x48_1 ;3.096953;2.318802;3.397983;2.619832
14x50_1 ;3.045801;2.267650;2.657621;1.879469
14x52_1 ;3.045801;2.267650;2.657621;1.879469
14x54_1 ;3.397983;2.619832;3.221892;2.443741
15x29_1 ;3.096953;2.318802;3.397983;2.619832
15x31_1 ;3.096953;2.318802;3.096953;2.318802
15x33_1 ;3.045801;2.267650;2.657621;1.879469
15x35_1 ;3.045801;2.267650;2.657621;1.879469
15x37_1 ;3.096953;2.318802;3.096953;2.318802
15x39_1 ;3.045801;2.267650;2.657621;1.879469
15x41_1 ;3.096953;2.318802;3.397983;2.619832
15x43_1 ;3.096953;2.318802;3.096953;2.318802
15x45_1 ;3.096953;2.318802;3.397983;2.619832
15x47_1 ;3.096953;2.318802;3.096953;2.318802
15x49_1 ;3.096953;2.318802;3.154945;2.376794
15x51_1 ;3.096953;2.318802;3.397983;2.619832
15x53_1 ;3.096953;2.318802;3.154945;2.376794
15x55_1 ;3.397983;2.619832;3.221892;2.443741
