CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
4x46_1    ;0.08877926;0         ;0.2406778 ;0         
5x43_1    ;0.03441846;0         ;0.3669792 ;0         
5x45_1    ;0.08877926;0         ;0.2406778 ;0         
5x47_1    ;0.02622310;0         ;0.6874430 ;0         
5x49_1    ;0.08649447;0         ;0.6578182 ;0         
6x42_1    ;0.06072390;0         ;0.3965743 ;0         
6x44_1    ;0.06072390;0         ;0.3965743 ;0         
6x46_1    ;0.08877926;0         ;0.2406778 ;0         
6x48_1    ;0.08649447;0         ;0.6578182 ;0         
6x50_1    ;0.08649447;0         ;0.6578182 ;0         
6x52_1    ;0.08649447;0         ;0.6578182 ;0         
7x43_1    ;0.03441846;0         ;0.3669792 ;0         
7x45_1    ;0.08877926;0         ;0.2406778 ;0         
7x47_1    ;0.03441846;0         ;0.3669792 ;0         
7x49_1    ;0.08649447;0         ;0.6578182 ;0         
7x51_1    ;0.08649447;0         ;0.6578182 ;0         
8x42_1    ;0.03441846;0         ;0.3669792 ;0         
8x44_1    ;0.08877926;0         ;0.2406778 ;0         
8x46_1    ;0.02622310;0         ;0.6874430 ;0         
8x48_1    ;0.08649447;0         ;0.6578182 ;0         
8x50_1    ;0.03441846;0         ;0.3669792 ;0         
8x52_1    ;0.08649447;0         ;0.6578182 ;0         
9x43_1    ;0.06072390;0         ;0.3965743 ;0         
9x45_1    ;0.06072390;0         ;0.3965743 ;0         
9x47_1    ;0.08649447;0         ;0.6578182 ;0         
9x49_1    ;0.06072390;0         ;0.3965743 ;0         
9x51_1    ;0.08649447;0         ;0.6578182 ;0         
9x53_1    ;0.08649447;0         ;0.6578182 ;0         
10x42_1   ;0.06072390;0         ;0.3965743 ;0         
10x44_1   ;0.03441846;0         ;0.3669792 ;0         
10x46_1   ;0.03441846;0         ;0.3669792 ;0         
10x48_1   ;0.08649447;0         ;0.6578182 ;0         
10x50_1   ;0.06072390;0         ;0.3965743 ;0         
10x52_1   ;0.06072390;0         ;0.3965743 ;0         
11x41_1   ;0.08877926;0         ;0.2406778 ;0         
11x43_1   ;0.08877926;0         ;0.2406778 ;0         
11x45_1   ;0.02622310;0         ;0.6874430 ;0         
11x47_1   ;0.06072390;0         ;0.3965743 ;0         
11x49_1   ;0.06072390;0         ;0.3965743 ;0         
11x51_1   ;0.06072390;0         ;0.3965743 ;0         
11x53_1   ;0.02622310;0         ;0.6874430 ;0         
12x40_1   ;0.08649447;0         ;0.6578182 ;0         
12x42_1   ;0.03441846;0         ;0.3669792 ;0         
12x44_1   ;0.02622310;0         ;0.6874430 ;0         
12x46_1   ;0.06072390;0         ;0.3965743 ;0         
12x48_1   ;0.06072390;0         ;0.3965743 ;0         
12x50_1   ;0.03441846;0         ;0.3669792 ;0         
12x52_1   ;0.02622310;0         ;0.6874430 ;0         
12x54_1   ;0.08649447;0         ;0.6578182 ;0         
13x37_1   ;0.06072390;0         ;0.3965743 ;0         
13x39_1   ;0.06072390;0         ;0.3965743 ;0         
13x41_1   ;0.06072390;0         ;0.3965743 ;0         
13x43_1   ;0.08877926;0         ;0.2406778 ;0         
13x45_1   ;0.02622310;0         ;0.6874430 ;0         
13x47_1   ;0.08877926;0         ;0.2406778 ;0         
13x49_1   ;0.03441846;0         ;0.3669792 ;0         
13x51_1   ;0.02622310;0         ;0.6874430 ;0         
13x53_1   ;0.03441846;0         ;0.3669792 ;0         
13x55_1   ;0.06072390;0         ;0.3965743 ;0         
14x32_1   ;0.02622310;0         ;0.6874430 ;0         
14x34_1   ;0.06072390;0         ;0.3965743 ;0         
14x36_1   ;0.06072390;0         ;0.3965743 ;0         
14x38_1   ;0.08877926;0         ;0.2406778 ;0         
14x40_1   ;0.08877926;0         ;0.2406778 ;0         
14x42_1   ;0.06072390;0         ;0.3965743 ;0         
14x44_1   ;0.06072390;0         ;0.3965743 ;0         
14x46_1   ;0.08877926;0         ;0.2406778 ;0         
14x48_1   ;0.06072390;0         ;0.3965743 ;0         
14x50_1   ;0.02622310;0         ;0.6874430 ;0         
14x52_1   ;0.02622310;0         ;0.6874430 ;0         
14x54_1   ;0.08649447;0         ;0.6578182 ;0         
15x29_1   ;0.06072390;0         ;0.3965743 ;0         
15x31_1   ;0.08877926;0         ;0.2406778 ;0         
15x33_1   ;0.02622310;0         ;0.6874430 ;0         
15x35_1   ;0.02622310;0         ;0.6874430 ;0         
15x37_1   ;0.08877926;0         ;0.2406778 ;0         
15x39_1   ;0.02622310;0         ;0.6874430 ;0         
15x41_1   ;0.06072390;0         ;0.3965743 ;0         
15x43_1   ;0.08877926;0         ;0.2406778 ;0         
15x45_1   ;0.06072390;0         ;0.3965743 ;0         
15x47_1   ;0.08877926;0         ;0.2406778 ;0         
15x49_1   ;0.03441846;0         ;0.3669792 ;0         
15x51_1   ;0.06072390;0         ;0.3965743 ;0         
15x53_1   ;0.03441846;0         ;0.3669792 ;0         
15x55_1   ;0.08649447;0         ;0.6578182 ;0         
16x28_1   ;0.08877926;0         ;0.2406778 ;0         
16x30_1   ;0.08877926;0         ;0.2406778 ;0         
16x32_1   ;0.08877926;0         ;0.2406778 ;0         
16x34_1   ;0.02622310;0         ;0.6874430 ;0         
16x36_1   ;0.08877926;0         ;0.2406778 ;0         
16x38_1   ;0.08877926;0         ;0.2406778 ;0         
16x40_1   ;0.08877926;0         ;0.2406778 ;0         
16x42_1   ;0.06072390;0         ;0.3965743 ;0         
16x44_1   ;0.06368051;0         ;0.2955497 ;0         
16x46_1   ;0.02622310;0         ;0.6874430 ;0         
16x48_1   ;0.08877926;0         ;0.2406778 ;0         
16x50_1   ;0.02622310;0         ;0.6874430 ;0         
16x52_1   ;0.06072390;0         ;0.3965743 ;0         
16x54_1   ;0.06072390;0         ;0.3965743 ;0         
17x27_1   ;0.08877926;0         ;0.2406778 ;0         
17x29_1   ;0.06072390;0         ;0.3965743 ;0         
17x31_1   ;0.03441846;0         ;0.3669792 ;0         
17x33_1   ;0.03441846;0         ;0.3669792 ;0         
17x35_1   ;0.03441846;0         ;0.3669792 ;0         
17x37_1   ;0.03441846;0         ;0.3669792 ;0         
17x39_1   ;0.06072390;0         ;0.3965743 ;0         
17x41_1   ;0.08877926;0         ;0.2406778 ;0         
17x43_1   ;0.06072390;0         ;0.3965743 ;0         
17x45_1   ;0.06072390;0         ;0.3965743 ;0         
17x47_1   ;0.03441846;0         ;0.3669792 ;0         
17x49_1   ;0.08877926;0         ;0.2406778 ;0         
17x51_1   ;0.08877926;0         ;0.2406778 ;0         
17x53_1   ;0.06072390;0         ;0.3965743 ;0         
17x55_1   ;0.08649447;0         ;0.6578182 ;0         
18x26_1   ;0.03441846;0         ;0.3669792 ;0         
18x28_1   ;0.06368051;0         ;0.2955497 ;0         
18x30_1   ;0.03441846;0         ;0.3669792 ;0         
18x32_1   ;0.08877926;0         ;0.2406778 ;0         
18x34_1   ;0.03441846;0         ;0.3669792 ;0         
18x36_1   ;0.08877926;0         ;0.2406778 ;0         
18x38_1   ;0.08877926;0         ;0.2406778 ;0         
18x40_1   ;0.06072390;0         ;0.3965743 ;0         
18x42_1   ;0.03441846;0         ;0.3669792 ;0         
18x44_1   ;0.08649447;0         ;0.6578182 ;0         
18x46_1   ;0.02622310;0         ;0.6874430 ;0         
