CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
4x46_1   ;0.1479906;0        ;3.045801 ;2.267650 
5x43_1   ;0.1404248;0        ;3.000043 ;2.221892 
5x45_1   ;0.1479906;0        ;3.045801 ;2.267650 
5x47_1   ;0.1382701;0        ;3.221892 ;2.443741 
5x49_1   ;0.2152122;0        ;3.397983 ;2.619832 
6x42_1   ;0.1745524;0        ;3.522922 ;2.744771 
6x44_1   ;0.1745524;0        ;3.522922 ;2.744771 
6x46_1   ;0.1479906;0        ;3.045801 ;2.267650 
6x48_1   ;0.2152122;0        ;3.397983 ;2.619832 
6x50_1   ;0.2152122;0        ;3.397983 ;2.619832 
6x52_1   ;0.2152122;0        ;3.397983 ;2.619832 
7x43_1   ;0.1404248;0        ;3.000043 ;2.221892 
7x45_1   ;0.1479906;0        ;3.045801 ;2.267650 
7x47_1   ;0.1404248;0        ;3.000043 ;2.221892 
7x49_1   ;0.2152122;0        ;3.397983 ;2.619832 
7x51_1   ;0.2152122;0        ;3.397983 ;2.619832 
8x42_1   ;0.1404248;0        ;3.000043 ;2.221892 
8x44_1   ;0.1479906;0        ;3.045801 ;2.267650 
8x46_1   ;0.1382701;0        ;3.221892 ;2.443741 
8x48_1   ;0.2152122;0        ;3.397983 ;2.619832 
8x50_1   ;0.1404248;0        ;3.000043 ;2.221892 
8x52_1   ;0.2152122;0        ;3.397983 ;2.619832 
9x43_1   ;0.1745524;0        ;3.522922 ;2.744771 
9x45_1   ;0.1745524;0        ;3.522922 ;2.744771 
9x47_1   ;0.2152122;0        ;3.397983 ;2.619832 
9x49_1   ;0.1745524;0        ;3.522922 ;2.744771 
9x51_1   ;0.2152122;0        ;3.397983 ;2.619832 
9x53_1   ;0.2152122;0        ;3.397983 ;2.619832 
10x42_1  ;0.1745524;0        ;3.522922 ;2.744771 
10x44_1  ;0.1404248;0        ;3.000043 ;2.221892 
10x46_1  ;0.1404248;0        ;3.000043 ;2.221892 
10x48_1  ;0.2152122;0        ;3.397983 ;2.619832 
10x50_1  ;0.1745524;0        ;3.522922 ;2.744771 
10x52_1  ;0.1745524;0        ;3.522922 ;2.744771 
11x41_1  ;0.1479906;0        ;3.045801 ;2.267650 
11x43_1  ;0.1479906;0        ;3.045801 ;2.267650 
11x45_1  ;0.1382701;0        ;3.221892 ;2.443741 
11x47_1  ;0.1745524;0        ;3.522922 ;2.744771 
11x49_1  ;0.1745524;0        ;3.522922 ;2.744771 
11x51_1  ;0.1745524;0        ;3.522922 ;2.744771 
11x53_1  ;0.1382701;0        ;3.221892 ;2.443741 
12x40_1  ;0.2152122;0        ;3.397983 ;2.619832 
12x42_1  ;0.1404248;0        ;3.000043 ;2.221892 
12x44_1  ;0.1382701;0        ;3.221892 ;2.443741 
12x46_1  ;0.1745524;0        ;3.522922 ;2.744771 
12x48_1  ;0.1745524;0        ;3.522922 ;2.744771 
12x50_1  ;0.1404248;0        ;3.000043 ;2.221892 
12x52_1  ;0.1382701;0        ;3.221892 ;2.443741 
12x54_1  ;0.2152122;0        ;3.397983 ;2.619832 
13x37_1  ;0.1745524;0        ;3.522922 ;2.744771 
13x39_1  ;0.1745524;0        ;3.522922 ;2.744771 
13x41_1  ;0.1745524;0        ;3.522922 ;2.744771 
13x43_1  ;0.1479906;0        ;3.045801 ;2.267650 
13x45_1  ;0.1382701;0        ;3.221892 ;2.443741 
13x47_1  ;0.1479906;0        ;3.045801 ;2.267650 
13x49_1  ;0.1404248;0        ;3.000043 ;2.221892 
13x51_1  ;0.1382701;0        ;3.221892 ;2.443741 
13x53_1  ;0.1404248;0        ;3.000043 ;2.221892 
13x55_1  ;0.1745524;0        ;3.522922 ;2.744771 
14x32_1  ;0.1382701;0        ;3.221892 ;2.443741 
14x34_1  ;0.1745524;0        ;3.522922 ;2.744771 
14x36_1  ;0.1745524;0        ;3.522922 ;2.744771 
14x38_1  ;0.1479906;0        ;3.045801 ;2.267650 
