CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
4x46_1   ;1.721290 ;0.9431386;2.619832 ;1.841681 
5x43_1   ;1.649795 ;0.8716442;2.638316 ;1.860164 
5x45_1   ;1.721290 ;0.9431386;2.619832 ;1.841681 
5x47_1   ;1.540651 ;0.7624997;2.366575 ;1.588424 
5x49_1   ;1.826857 ;1.0487059;3.045801 ;2.267650 
6x42_1   ;1.744771 ;0.9666197;2.886100 ;2.107949 
6x44_1   ;1.744771 ;0.9666197;2.886100 ;2.107949 
6x46_1   ;1.721290 ;0.9431386;2.619832 ;1.841681 
6x48_1   ;1.826857 ;1.0487059;3.045801 ;2.267650 
6x50_1   ;1.826857 ;1.0487059;3.045801 ;2.267650 
6x52_1   ;1.826857 ;1.0487059;3.045801 ;2.267650 
7x43_1   ;1.649795 ;0.8716442;2.638316 ;1.860164 
7x45_1   ;1.721290 ;0.9431386;2.619832 ;1.841681 
7x47_1   ;1.649795 ;0.8716442;2.638316 ;1.860164 
7x49_1   ;1.826857 ;1.0487059;3.045801 ;2.267650 
7x51_1   ;1.826857 ;1.0487059;3.045801 ;2.267650 
8x42_1   ;1.649795 ;0.8716442;2.638316 ;1.860164 
8x44_1   ;1.721290 ;0.9431386;2.619832 ;1.841681 
8x46_1   ;1.540651 ;0.7624997;2.366575 ;1.588424 
8x48_1   ;1.826857 ;1.0487059;3.045801 ;2.267650 
8x50_1   ;1.649795 ;0.8716442;2.638316 ;1.860164 
8x52_1   ;1.826857 ;1.0487059;3.045801 ;2.267650 
9x43_1   ;1.744771 ;0.9666197;2.886100 ;2.107949 
9x45_1   ;1.744771 ;0.9666197;2.886100 ;2.107949 
9x47_1   ;1.826857 ;1.0487059;3.045801 ;2.267650 
9x49_1   ;1.744771 ;0.9666197;2.886100 ;2.107949 
9x51_1   ;1.826857 ;1.0487059;3.045801 ;2.267650 
9x53_1   ;1.826857 ;1.0487059;3.045801 ;2.267650 
10x42_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
10x44_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
10x46_1  ;1.649795 ;0.8716442;2.638316 ;1.860164 
10x48_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
10x50_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
10x52_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
11x41_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
11x43_1  ;1.721290 ;0.9431386;2.619832 ;1.841681 
11x45_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
11x47_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
11x49_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
11x51_1  ;1.744771 ;0.9666197;2.886100 ;2.107949 
11x53_1  ;1.540651 ;0.7624997;2.366575 ;1.588424 
12x40_1  ;1.826857 ;1.0487059;3.045801 ;2.267650 
