"ADHD.cluster";"ADHD.set";"ADHD.steam_pval";"ADHD.steam_pval_adj";"ADHD.gsMap_pval";"ADHD.gsMap_pval_adj";"ASD.cluster";"ASD.set";"ASD.steam_pval";"ASD.steam_pval_adj";"ASD.gsMap_pval";"ASD.gsMap_pval_adj";"BIP.cluster";"BIP.set";"BIP.steam_pval";"BIP.steam_pval_adj";"BIP.gsMap_pval";"BIP.gsMap_pval_adj";"ALZ.cluster";"ALZ.set";"ALZ.steam_pval";"ALZ.steam_pval_adj";"ALZ.gsMap_pval";"ALZ.gsMap_pval_adj";"SCZ.cluster";"SCZ.set";"SCZ.steam_pval";"SCZ.steam_pval_adj";"SCZ.gsMap_pval";"SCZ.gsMap_pval_adj"
"0";"all_genes";0,98610139004662;1;0,150874416895204;0,905246501371227;"0";"all_genes";0,976602338772284;1;0,263120343026431;1;"0";"all_genes";0,178582130570053;1;0,00333525757969366;0,020011545478162;"0";"all_genes";0,00229976785854645;0,0137986071512787;1,04277649071172e-07;6,2566589442703e-07;"0";"all_genes";0,947305262678292;1;0,004797759945259;0,028786559671554
"1";"all_genes";0,986601340035361;1;0,179685630092272;1;"1";"all_genes";0,981201880788531;1;0,163509315385002;0,981055892310011;"1";"all_genes";0,221677849654351;1;0,020395415212681;0,122372491276086;"1";"all_genes";0,00309968812849727;0,0185981287709836;2,52691578772613e-09;1,51614947263568e-08;"1";"all_genes";0,943105678985383;1;0,00354702048833588;0,0212821229300153
"2";"all_genes";0,985201480957086;1;0,0820618503734132;0,492371102240479;"2";"all_genes";0,98610139004662;1;0,190784204051545;1;"2";"all_genes";0,218178172649007;1;0,00546624382851013;0,0327974629710608;"2";"all_genes";0,00269972793281818;0,0161983675969091;3,20201849041135e-05;0,000192121109424681;"2";"all_genes";0,942705736860649;1;0,00559139308959022;0,0335483585375413
"3";"all_genes";0,989201080346309;1;0,393347479054657;1;"3";"all_genes";0,983101690733012;1;0,151537963106274;0,909227778637645;"3";"all_genes";0,217078294081397;1;0,0177241144764491;0,106344686858694;"3";"all_genes";0,00459953576301489;0,0275972145780894;5,33088847509688e-08;3,19853308505813e-07;"3";"all_genes";0,945305467951098;1;0,00162615314937786;0,00975691889626717
"4";"all_genes";0,993500650951528;1;0,111886092347872;0,671316554087231;"4";"all_genes";0,984001600904811;1;0,410516488713056;1;"4";"all_genes";0,230376937120426;1;0,000118280242052515;0,000709681452315092;"4";"all_genes";0,00239976104936679;0,0143985662962007;0,000280547802627762;0,00168328681576657;"4";"all_genes";0,964803521590996;1;0,00142799501287005;0,00856797007722032
"5";"all_genes";0,990300968992778;1;0,55015980645355;1;"5";"all_genes";0,986201380210014;1;0,280038001407271;1;"5";"all_genes";0,297470223667241;1;0,124441159154369;0,746646954926216;"5";"all_genes";0,0027997225804281;0,0167983354825686;0,0716202145668453;0,429721287401072;"5";"all_genes";0,965303475863661;1;0,0818653870364966;0,49119232221898
"0";"top_NA";NA;NA;NA;NA;"0";"top_NA";NA;NA;NA;NA;"0";"top140";0,332866737947318;1;NA;NA;"0";"top70";9,99900993742445e-05;0,000599940596245467;NA;NA;"0";"top_NA";NA;NA;NA;NA
"1";"top_NA";NA;NA;NA;NA;"1";"top_NA";NA;NA;NA;NA;"1";"top140";0,32706728058235;1;NA;NA;"1";"top70";9,99900993742445e-05;0,000599940596245467;NA;NA;"1";"top_NA";NA;NA;NA;NA
"2";"top_NA";NA;NA;NA;NA;"2";"top_NA";NA;NA;NA;NA;"2";"top140";0,322667704899433;1;NA;NA;"2";"top70";9,99900993742445e-05;0,000599940596245467;NA;NA;"2";"top_NA";NA;NA;NA;NA
"3";"top_NA";NA;NA;NA;NA;"3";"top_NA";NA;NA;NA;NA;"3";"top140";0,38466157013444;1;NA;NA;"3";"top70";9,99900993742445e-05;0,000599940596245467;NA;NA;"3";"top_NA";NA;NA;NA;NA
"4";"top_NA";NA;NA;NA;NA;"4";"top_NA";NA;NA;NA;NA;"4";"top140";0,414158615343992;1;NA;NA;"4";"top70";9,99900993742445e-05;0,000599940596245467;NA;NA;"4";"top_NA";NA;NA;NA;NA
"5";"top_NA";NA;NA;NA;NA;"5";"top_NA";NA;NA;NA;NA;"5";"top140";0,325067461649745;1;NA;NA;"5";"top70";9,99900993742445e-05;0,000599940596245467;NA;NA;"5";"top_NA";NA;NA;NA;NA
