"ADHD.cluster";"ADHD.set";"ADHD.steam_pval";"ADHD.steam_pval_adj";"ADHD.gsMap_pval";"ADHD.gsMap_pval_adj";"ASD.cluster";"ASD.set";"ASD.steam_pval";"ASD.steam_pval_adj";"ASD.gsMap_pval";"ASD.gsMap_pval_adj";"BIP.cluster";"BIP.set";"BIP.steam_pval";"BIP.steam_pval_adj";"BIP.gsMap_pval";"BIP.gsMap_pval_adj";"ALZ.cluster";"ALZ.set";"ALZ.steam_pval";"ALZ.steam_pval_adj";"ALZ.gsMap_pval";"ALZ.gsMap_pval_adj";"SCZ.cluster";"SCZ.set";"SCZ.steam_pval";"SCZ.steam_pval_adj";"SCZ.gsMap_pval";"SCZ.gsMap_pval_adj"
"0";"all_genes";0,461053894671534;1;1,14154146845236e-05;0,000194062049636901;"0";"all_genes";0,00119987996013845;0,0227977192426306;0,00031147836481582;0,00529513220186895;"0";"all_genes";0,391360860268383;1;8,35020941281073e-12;1,41953560017782e-10;"0";"all_genes";0,54194585625604;1;0,0314489563557588;0,5346322580479;"0";"all_genes";0,33966603371485;1;2,07611705604904e-14;3,52939899528337e-13
"1";"all_genes";0,0117988201171932;0,224177582226671;7,14685935665482e-06;0,000121496609063132;"1";"all_genes";9,99900072800019e-05;0,00189981013832004;0,00196244862081763;0,0333616265538996;"1";"all_genes";0,0142985701367895;0,271672832599;9,14429627608997e-18;1,5545303669353e-16;"1";"all_genes";0,278772095732355;1;0,749572965385312;1;"1";"all_genes";0,00089991000451822;0,0170982900858462;7,02384604686564e-20;1,19405382796716e-18
"2";"all_genes";0,403659633912558;1;0,489407865372556;1;"2";"all_genes";0,000499950031408482;0,00949905059676117;0,2241577801861;1;"2";"all_genes";0,260073989655028;1;0,537063993969198;1;"2";"all_genes";0,289771053684494;1;0,000103448208251478;0,00175861954027512;"2";"all_genes";0,0715928415350623;1;0,0340574455458345;0,578976574279186
"3";"all_genes";0,0231976802525929;0,440755924799265;1,20825887206522e-06;2,05404008251087e-05;"3";"all_genes";9,99900072800019e-05;0,00189981013832004;0,0210856471492835;0,35845600153782;"3";"all_genes";0,0334966503534788;0,636436356716097;1,11493592136469e-10;1,89539106631997e-09;"3";"all_genes";0,23897611687748;1;0,291764514594507;1;"3";"all_genes";0,00459953999934584;0,087391259987571;8,4848139625393e-10;1,44241837363168e-08
"4";"all_genes";0,228077192280884;1;1,79479670631144e-05;0,000305115440072945;"4";"all_genes";9,99900072800019e-05;0,00189981013832004;0,00490605229991847;0,083402889098614;"4";"all_genes";0,203179683746416;1;5,44815185377079e-06;9,26185815141034e-05;"4";"all_genes";0,425357505105407;1;0,0194934402389525;0,331388484062192;"4";"all_genes";0,0931906819882561;1;3,08098512036281e-07;5,23767470461678e-06
"5";"all_genes";0,014598540162538;0,277372263088222;1,6616915510248e-08;2,82487563674216e-07;"5";"all_genes";9,99900072800019e-05;0,00189981013832004;0,000132432375223535;0,00225135037880009;"5";"all_genes";0,0192980701160669;0,366663332205271;1,12349516349819e-17;1,90994177794693e-16;"5";"all_genes";0,484751542838838;1;0,0179965937882441;0,30594209440015;"5";"all_genes";9,99900003729372e-05;0,00189981000708581;1,3773798077608e-23;2,34154567319336e-22
"6";"all_genes";0,0444955504752751;0,845415459030226;0,0327081320973597;0,556038245655115;"6";"all_genes";9,99900072800019e-05;0,00189981013832004;0,697660537804075;1;"6";"all_genes";0,0262973701895305;0,49965003360108;0,000119082996604347;0,0020244109422739;"6";"all_genes";0,390560933406309;1;0,078677641472534;1;"6";"all_genes";0,00269973004637913;0,0512948708812035;0,0001537245904355;0,0026133180374035
"7";"all_genes";0,00349965003440492;0,0664933506536935;2,23038549762578e-05;0,000379165534596382;"7";"all_genes";9,99900072800019e-05;0,00189981013832004;0,000867711007210392;0,0147510871225767;"7";"all_genes";0,00439956005200543;0,0835916409881031;3,41187466167695e-19;5,80018692485081e-18;"7";"all_genes";0,378762086238526;1;0,13807887199612;1;"7";"all_genes";9,99900003729372e-05;0,00189981000708581;2,73472352587657e-21;4,64902999399017e-20
"8";"all_genes";0,00879912009055811;0,167183281720604;8,63070614975925e-10;1,46722004545907e-08;"8";"all_genes";9,99900072800019e-05;0,00189981013832004;6,27442244043319e-05;0,00106665181487364;"8";"all_genes";0,0119988001539497;0,227977202925044;8,003433409771e-22;1,36058367966107e-20;"8";"all_genes";0,504749503012551;1;0,0151897364468812;0,25822551959698;"8";"all_genes";0,000299970004765975;0,00569943009055352;5,87971293504871e-29;9,99551198958282e-28
"9";"all_genes";0,00159984001460202;0,0303969602774384;2,85895740472775e-05;0,000486022758803717;"9";"all_genes";9,99900072800019e-05;0,00189981013832004;0,000672768349538111;0,0114370619421479;"9";"all_genes";0,00689931001402044;0,131086890266388;3,00806601726357e-17;5,11371222934807e-16;"9";"all_genes";0,462553743392466;1;0,136814341590415;1;"9";"all_genes";9,99900003729372e-05;0,00189981000708581;1,57500324468238e-20;2,67750551596005e-19
"10";"all_genes";0,0708929107242401;1;1,02412737956747e-07;1,74101654526471e-06;"10";"all_genes";9,99900072800019e-05;0,00189981013832004;0,00479002990149391;0,0814305083253964;"10";"all_genes";0,0970902903826883;1;8,87179218977963e-12;1,50820467226254e-10;"10";"all_genes";0,453554625102329;1;0,4941541500602;1;"10";"all_genes";0,0156984303329343;0,298270176325753;8,99851304581034e-11;1,52974721778776e-09
"11";"all_genes";0,0128987101283222;0,245075492438122;1,50417623800969e-06;2,55709960461648e-05;"11";"all_genes";9,99900072800019e-05;0,00189981013832004;9,32461858853539e-05;0,00158518516005102;"11";"all_genes";0,0323967601054191;0,615538442002964;1,98650978895354e-17;3,37706664122101e-16;"11";"all_genes";0,335966441951826;1;0,055128226628056;0,937179852676953;"11";"all_genes";0,00229977002966606;0,0436956305636551;1,51803213847449e-19;2,58065463540664e-18
"12";"all_genes";0,310768923213584;1;0,000147093630802342;0,00250059172363981;"12";"all_genes";0,000899910045960608;0,0170982908732516;0,000614490679371249;0,0104463415493112;"12";"all_genes";0,483651634712241;1;2,36843877843285e-12;4,02634592333584e-11;"12";"all_genes";0,411458842488406;1;0,51009816395159;1;"12";"all_genes";0,377162286560707;1;3,77720077437971e-12;6,4212413164455e-11
"13";"all_genes";0,0574942505202981;1;0,000466307010701605;0,00792721918192729;"13";"all_genes";9,99900072800019e-05;0,00189981013832004;0,000293930143768883;0,00499681244407102;"13";"all_genes";0,027297270287813;0,518648135468447;8,21565038222616e-15;1,39666056497845e-13;"13";"all_genes";0,479551992732108;1;0,064550172595593;1;"13";"all_genes";0,00359964000706609;0,0683931601342558;2,22384288636263e-16;3,78053290681648e-15
"14";"all_genes";0,277272272580552;1;0,0737000109581936;1;"14";"all_genes";9,99900072800019e-05;0,00189981013832004;0,705062509964336;1;"14";"all_genes";0,112088792329255;1;0,999868724589432;1;"14";"all_genes";0,214378584976964;1;0,00202715154803079;0,0344615763165235;"14";"all_genes";0,0486951300454299;0,925207470863168;0,00447234104350391;0,0760297977395665
"15";"all_genes";0,0168983101558779;0,321067892961679;0,000149626110722001;0,00254364388227402;"15";"all_genes";9,99900072800019e-05;0,00189981013832004;0,000433441541208723;0,0073685062005483;"15";"all_genes";0,0289971002484349;0,550944904720263;1,99840144432528e-15;3,39728245535298e-14;"15";"all_genes";0,654434520966777;1;0,172240346992308;1;"15";"all_genes";0,00709929004741745;0,134886510900932;1,45952844474474e-19;2,48119835606606e-18
"16";"all_genes";0,00609939006473105;0,11588841122989;0,000156150968214086;0,00265456645963946;"16";"all_genes";9,99900072800019e-05;0,00189981013832004;3,07352848601949e-05;0,000522499842623314;"16";"all_genes";0,00379962004377097;0,0721927808316483;2,59155552238136e-18;4,40564438804832e-17;"16";"all_genes";0,51624837781287;1;0,0187096210508171;0,31806355786389;"16";"all_genes";9,99900003729372e-05;0,00189981000708581;9,45728555296264e-21;1,60773854400365e-19
"17";"all_genes";0,992700729438283;1;NA;NA;"17";"all_genes";0,716428410849255;1;NA;NA;"17";"all_genes";0,904509557098858;1;NA;NA;"17";"all_genes";0,0599939974079395;1;NA;NA;"17";"all_genes";0,899710025780466;1;NA;NA
