"ADHD.cluster";"ADHD.set";"ADHD.steam_pval";"ADHD.steam_pval_adj";"ADHD.gsMap_pval";"ADHD.gsMap_pval_adj";"ASD.cluster";"ASD.set";"ASD.steam_pval";"ASD.steam_pval_adj";"ASD.gsMap_pval";"ASD.gsMap_pval_adj";"BIP.cluster";"BIP.set";"BIP.steam_pval";"BIP.steam_pval_adj";"BIP.gsMap_pval";"BIP.gsMap_pval_adj";"ALZ.cluster";"ALZ.set";"ALZ.steam_pval";"ALZ.steam_pval_adj";"ALZ.gsMap_pval";"ALZ.gsMap_pval_adj";"SCZ.cluster";"SCZ.set";"SCZ.steam_pval";"SCZ.steam_pval_adj";"SCZ.gsMap_pval";"SCZ.gsMap_pval_adj"
"0";"all_genes";0,998400159915359;1;0,106365784897744;0,531828924488719;"0";"all_genes";0,999600039923716;1;0,144941424037127;0,724707120185637;"0";"all_genes";0,586041403815516;1;0,00287769251502856;0,0143884625751428;"0";"all_genes";0,115088492117363;0,690530952704175;4,68844572742988e-06;2,34422286371494e-05;"0";"all_genes";0,953304668843444;1;0,0172968579802528;0,0864842899012641
"1";"all_genes";0,999100090015809;1;0,133196344178985;0,665981720894925;"1";"all_genes";0,999800019990335;1;0,0265841123380157;0,132920561690079;"1";"all_genes";0,627837280202809;1;0,00167876207084305;0,00839381035421527;"1";"all_genes";0,126787313598982;0,760723881593892;1,01159800294237e-05;5,05799001471186e-05;"1";"all_genes";0,962903709966774;1;0,00413536316938778;0,0206768158469389
"2";"all_genes";0,998300170071532;1;0,0886139124243221;0,443069562121611;"2";"all_genes";0,99930006992465;1;0,0704297970818991;0,352148985409496;"2";"all_genes";0,561843809385376;1;0,00056493773565347;0,00282468867826735;"2";"all_genes";0,133386660626332;0,80031996375799;5,87492503534293e-08;2,93746251767146e-07;"2";"all_genes";0,953404659303186;1;0,00257829626941675;0,0128914813470837
"3";"all_genes";0,99930006992465;1;0,07448564722115;0,37242823610575;"3";"all_genes";1;1;0,233958204706743;1;"3";"all_genes";0,643835619677201;1;0,0105612844684092;0,052806422342046;"3";"all_genes";0,112788728303434;0,676732369820606;2,40151437698177e-05;0,000120075718849089;"3";"all_genes";0,971602849888621;1;0,00570937037130492;0,0285468518565246
"4";"all_genes";0,997800219865365;1;0,0825221801879634;0,412610900939817;"4";"all_genes";0,999000100002527;1;0,69267882940531;1;"4";"all_genes";0,551544807127861;1;0,000769433993492719;0,00384716996746359;"4";"all_genes";0,113888611977462;0,68333167186477;0,000634700318137393;0,00317350159068697;"4";"all_genes";0,944505540824526;1;0,0141429076366779;0,0707145381833896
"5";"all_genes";0,999500050046668;1;NA;NA;"5";"all_genes";0,999700029905595;1;NA;NA;"5";"all_genes";0,501149844571376;1;NA;NA;"5";"all_genes";0,131086902052337;0,786521412314022;NA;NA;"5";"all_genes";0,962003805442992;1;NA;NA
"0";"top_NA";NA;NA;NA;NA;"0";"top_NA";NA;NA;NA;NA;"0";"top_NA";NA;NA;NA;NA;"0";"top70";0,00299970122186096;0,0179982073311658;NA;NA;"0";"top_NA";NA;NA;NA;NA
"1";"top_NA";NA;NA;NA;NA;"1";"top_NA";NA;NA;NA;NA;"1";"top_NA";NA;NA;NA;NA;"1";"top70";0,00439955751941581;0,0263973451164949;NA;NA;"1";"top_NA";NA;NA;NA;NA
"2";"top_NA";NA;NA;NA;NA;"2";"top_NA";NA;NA;NA;NA;"2";"top_NA";NA;NA;NA;NA;"2";"top70";0,00359963942687272;0,0215978365612363;NA;NA;"2";"top_NA";NA;NA;NA;NA
"3";"top_NA";NA;NA;NA;NA;"3";"top_NA";NA;NA;NA;NA;"3";"top_NA";NA;NA;NA;NA;"3";"top70";0,00299970122186096;0,0179982073311658;NA;NA;"3";"top_NA";NA;NA;NA;NA
"4";"top_NA";NA;NA;NA;NA;"4";"top_NA";NA;NA;NA;NA;"4";"top_NA";NA;NA;NA;NA;"4";"top70";0,00249975243444079;0,0149985146066448;NA;NA;"4";"top_NA";NA;NA;NA;NA
"5";"top_NA";NA;NA;NA;NA;"5";"top_NA";NA;NA;NA;NA;"5";"top_NA";NA;NA;NA;NA;"5";"top70";0,00389960842499138;0,0233976505499483;NA;NA;"5";"top_NA";NA;NA;NA;NA
