Gene,Annotation,Median_GSS,PCC
CABP1,4.0,2.1875,0.7455730044355318
BEX5,2.0,2.30859375,0.7440985785292098
MEF2C,2.0,2.30078125,0.7439557801509035
NSF,6.0,2.275390625,0.7417385791468151
HPCA,6.0,2.5,0.740704401902855
SLC12A5,2.0,2.3203125,0.7391682172981351
GRINA,2.0,2.25,0.7385870839298101
CREG2,2.0,2.40234375,0.7381229568849509
FAM131A,2.0,2.353515625,0.7368223533964038
GABRA1,4.0,2.22265625,0.7366208653002391
NRXN1,2.0,2.337890625,0.7362709260140111
SLC25A4,6.0,2.22265625,0.7358052232563259
ATP2B2,4.0,2.212890625,0.7354240839892615
NRCAM,6.0,2.240234375,0.7348673460035562
COX5A,6.0,2.091796875,0.7345629901430603
SLC39A10,6.0,2.279296875,0.7317241928333738
GUCY1B1,2.0,2.134765625,0.7315499646065542
BEX2,2.0,2.23828125,0.7314213742240545
PJA2,6.0,2.177734375,0.7289642280836132
SLC25A3,2.0,2.17578125,0.7286237908624598
CAMKK2,2.0,2.373046875,0.7285198169734648
GHITM,6.0,2.09765625,0.7285104625402757
RGS4,2.0,2.166015625,0.7282457967650886
CDK5R1,2.0,2.328125,0.7280781848562501
NPTXR,2.0,2.41015625,0.7274975018419826
ATP6V0A1,6.0,2.083984375,0.727255201213935
GABBR2,2.0,2.3203125,0.7256291344738321
ATP2A2,6.0,2.1875,0.7243480594458981
ENSA,2.0,2.162109375,0.7239343146624934
NRN1,6.0,2.44921875,0.7239276941257018
INA,1.0,2.25,0.7233118297057224
BEX1,6.0,2.123046875,0.722971703290242
TAGLN3,6.0,2.21875,0.722324005415648
NUDT4,6.0,2.33984375,0.7220335934310474
GNG3,4.0,2.033203125,0.7210075937265722
PREPL,6.0,2.177734375,0.7201833151804563
UQCRFS1,2.0,2.111328125,0.7200012407356787
RBFOX1,2.0,2.279296875,0.7194771538162268
RAB3C,6.0,2.25390625,0.7191213227205193
PTMS,2.0,2.244140625,0.7189602404638026
TMOD2,6.0,2.36328125,0.7185093598905785
CLSTN3,2.0,2.146484375,0.7180895388544288
ATP5IF1,6.0,2.095703125,0.7180011398757942
SNAP91,6.0,2.3671875,0.7175534727644087
ISCU,2.0,2.1875,0.7175367309558963
SCG5,6.0,2.138671875,0.7173967678664489
NDRG3,2.0,2.095703125,0.7171770843413184
